"AUDIOFILE","FOREIGNWORD","LEVEL","NATIVEWORD"
"/st/snw/carry.mp3","carry","A1","visz, cipel, hord"
"/st/snw/catch.mp3","catch","A1","elkap, megfog, megragad"
"/st/snw/come.mp3","come","A1","jön"
"/st/snw/come.mp3","come","A1","jön, eljön vkivel"
"/st/snw/come.mp3","come","A1","megérkezik vhová, ér vhová"
"/st/snw/do.mp3","do","A1","csinál, tesz, megtesz, elvégez"
"/st/snw/go.mp3","go","A1","megy"
"/st/snw/go.mp3","go","A1","megy vhova"
"/st/snw/kick.mp3","kick","A1","rúg, megrúg, rugdos, rugdal"
"/st/snw/leave.mp3","leave","A1","elmegy, elindul, elhagy"
"/st/snw/make.mp3","make","A1","készít, csinál"
"/st/snw/put.mp3","put","A1","tesz, letesz, odatesz; rak, odarak; helyez, elhelyez"
"/st/snw/run.mp3","run","A1","fut, szalad"
"/st/snw/sit.mp3","sit","A1","ül"
"/st/snw/take.mp3","take","A1","visz, elvisz, magával visz vmit"
"/st/snw/walk.mp3","walk","A1","megy, gyalogol; sétál"
"/st/snw/do.mp3","do","A1","segédige kérdésekben/tagadásnál egy másik igével együtt használva"
"/st/snw/to.mp3","to","A1","-ni"
"/st/snk/r1265.mp3","get here/there/home/to work, etc.","A1","ide-/oda-/haza-/munkába/stb. ér   vmit"
"/st/snk/r2240.mp3","put sth down/in/on, etc.","A1","le/be/rá/stb. tesz/rak/helyez   vmit"
