"AUDIOFILE","FOREIGNWORD","LEVEL","NATIVEWORD"
"/st/snw/adult.mp3","adult","A1","felnőtt"
"/st/snw/age.mp3","age","A1","kor, életkor"
"/st/snw/baby.mp3","baby","A1","csecsemő, kisbaba"
"/st/snw/boy.mp3","boy","A1","fiú"
"/st/snw/child.mp3","child","A1","gyerek"
"/st/snw/girl.mp3","girl","A1","lány; lánya vkinek; fiatal nő"
"/st/snw/man.mp3","man","A1","férfi"
"/st/snw/people.mp3","people","A1","emberek"
"/st/snw/person.mp3","person","A1","személy"
"/st/snw/woman.mp3","woman","A1","asszony, nő"
"/st/snw/little.mp3","little","A1","kicsi, kis"
"/st/snw/old.mp3","old","A1","öreg, koros, idős"
"/st/snw/old.mp3","old","A1","vmennyi idős, vhány éves"
"/st/snw/small.mp3","small","A1","kis, kicsi"
"/st/snw/young.mp3","young","A1","fiatal"
"/st/snk/r435.mp3","be ... years old","A1","... éves"
"/st/snw/address.mp3","address","A1","cím"
"/st/snw/miss.mp3","Miss","A1","kisasszony"
"/st/snw/mr.mp3","Mr","A1","úr"
"/st/snw/mrs.mp3","Mrs","A1","-né, asszony"
"/st/snw/name.mp3","name","A1","név"
"/st/snw/nationality.mp3","nationality","A1","állampolgárság"
"/st/snw/clever.mp3","clever","A1","okos, értelmes"
"/st/snw/good.mp3","good","A1","jó vmiben, ért vmihez"
"/st/snw/from.mp3","from","A1","-ból, -ből"
"/st/snk/r898.mp3","come from swh/sth","A1","jön , származik  vhonnan vhonnan/vmiből"
"/st/snk/r478.mp3","be called sth","A1","hívják , nevezik  vhogy vhogy  vhol"
"/st/snk/r1808.mp3","live in/at, etc.","A1","lakik  vhogy vhogy  vhol"
"/st/snk/r105.mp3","Road","A1","... út  vhogy vhogy  vhol"
"/st/snk/r106.mp3","Street","A1","utca  vhogy vhogy  vhol"
