"AUDIOFILE","FOREIGNWORD","LEVEL","NATIVEWORD"
"/st/snw/bottom.mp3","bottom","A1","alja vminek, alsó része vminek"
"/st/snw/place.mp3","place","A1","hely, helyszín"
"/st/snw/close_adj.mp3","close","A1","közel, közeli"
"/st/snw/above.mp3","above","A1","felett, felül, fent; fölé"
"/st/snw/back.mp3","back","A1","vissza"
"/st/snw/below.mp3","below","A1","alatt, alá"
"/st/snw/down.mp3","down","A1","le"
"/st/snw/here.mp3","here","A1","itt; ide; innen"
"/st/snw/there.mp3","there","A1","ott, oda"
"/st/snw/there.mp3","there","A1","oda"
"/st/snw/up.mp3","up","A1","fel"
"/st/snw/where.mp3","where","A1","hol? hova?"
"/st/snw/at.mp3","at","A1","-on, -en, -ön, -ban, -ben, -nál, -nél"
"/st/snw/at.mp3","at","A1","-ra, -re"
"/st/snw/behind.mp3","behind","A1","mögött, mögé"
"/st/snw/between.mp3","between","A1","között, közé"
"/st/snw/from.mp3","from","A1","-tól, -től, -ról, -ről, -ból, -ből"
"/st/snw/from.mp3","from","A1","-tól, -től"
"/st/snw/in.mp3","in","A1","-ban, -ben, -ba, -be"
"/st/snw/inside_prep.mp3","inside","A1","belül"
"/st/snw/into.mp3","into","A1","-ba, -be"
"/st/snw/near.mp3","near","A1","közel"
"/st/snw/on.mp3","on","A1","-on, -en, -ön, -ra, -re"
"/st/snw/on.mp3","on","A1","-on, -en, -ön, -ra, -re"
"/st/snw/to.mp3","to","A1","-ba, -be, -hoz, -hez, -höz, -ra, -re"
"/st/snw/under.mp3","under","A1","alatt, alá"
