"AUDIOFILE","FOREIGNWORD","LEVEL","NATIVEWORD"
"/st/snw/kind.mp3","kind","A1","fajta, -féle"
"/st/snw/problem.mp3","problem","A1","gond, probléma"
"/st/snw/all_right.mp3","all right","A1","jól, rendben"
"/st/snw/bad.mp3","bad","A1","rossz"
"/st/snw/beautiful.mp3","beautiful","A1","gyönyörű, szép"
"/st/snw/beautiful.mp3","beautiful","A1","pompás, remek, csodálatos"
"/st/snw/difficult.mp3","difficult","A1","nehéz, bonyolult"
"/st/snw/easy.mp3","easy","A1","könnyű, egyszerű; kényelmes, gondtalan"
"/st/snw/good.mp3","good","A1","jó"
"/st/snw/good.mp3","good","A1","jó"
"/st/snw/great.mp3","great","A1","klassz, csodás"
"/st/snw/hard.mp3","hard","A1","nehéz"
"/st/snw/important.mp3","important","A1","fontos"
"/st/snw/right.mp3","right","A1","helyes, igaz"
"/st/snw/wrong.mp3","wrong","A1","rossz, helytelen, hibás"
"/st/snw/well.mp3","well","A1","jól"
"/st/snw/a.mp3","a","A1","egy vmi"
