"AUDIOFILE","FOREIGNWORD","LEVEL","NATIVEWORD"
"/st/snw/enjoy.mp3","enjoy","A1","élvez vmit, nagyon szeret csinálni vmit"
"/st/snw/like.mp3","like","A1","szeret, kedvel, tetszik vkinek vmi/vki"
"/st/snw/love.mp3","love","A1","nagyon szeret, imád vmit"
"/st/snw/love.mp3","love","A1","nagyon szeret vkit, imád vkit"
"/st/snw/bored.mp3","bored","A1","unatkozó, unott"
"/st/snw/boring.mp3","boring","A1","unalmas"
"/st/snw/excited.mp3","excited","A1","izgatott, lelkes"
"/st/snw/exciting.mp3","exciting","A1","izgalmas"
"/st/snw/favourite.mp3","favourite","A1","kedvenc, legkedveltebb"
"/st/snw/good.mp3","good","A1","jó, kedves, segítőkész"
"/st/snw/happy.mp3","happy","A1","boldog"
"/st/snw/interesting.mp3","interesting","A1","érdekes"
"/st/snw/nice.mp3","nice","A1","kellemes"
"/st/snw/nice.mp3","nice","A1","kedves"
"/st/snw/sad.mp3","sad","A1","szomorú; elszomorító; sajnálatos"
"/st/snk/r52.mp3","Don't worry (about sth)","A1","ne aggódj"
