"AUDIOFILE","FOREIGNWORD","LEVEL","NATIVEWORD"
"/st/snw/eat.mp3","eat","A1","eszik, étkezik"
"/st/snw/beer.mp3","beer","A1","sör"
"/st/snw/biscuit.mp3","biscuit","A1","keksz"
"/st/snw/breakfast.mp3","breakfast","A1","reggeli"
"/st/snw/cake.mp3","cake","A1","sütemény, torta"
"/st/snw/chip.mp3","chip","A1","hasábburgonya"
"/st/snw/chocolate.mp3","chocolate","A1","csokoládé; csokoládés desszert"
"/st/snw/coffee.mp3","coffee","A1","kávé"
"/st/snw/dinner.mp3","dinner","A1","vacsora, ebéd"
"/st/snw/drink.mp3","drink","A1","ital, innivaló"
"/st/snw/ice_cream.mp3","ice cream","A1","fagylalt"
"/st/snw/juice.mp3","juice","A1","lé, gyümölcslé, zöldséglé"
"/st/snw/lunch.mp3","lunch","A1","ebéd"
"/st/snw/meal.mp3","meal","A1","étkezés; étel"
"/st/snw/pizza.mp3","pizza","A1","pizza"
"/st/snw/soup.mp3","soup","A1","leves"
"/st/snw/tea.mp3","tea","A1","tea"
"/st/snw/wine.mp3","wine","A1","bor"
"/st/snw/cook.mp3","cook","A1","főz ; fő, sül"
"/st/snw/drink.mp3","drink","A1","iszik"
"/st/snw/eat.mp3","eat","A1","eszik, megeszik"
"/st/snw/have.mp3","have","A1","eszik/iszik vmit"
"/st/snw/apple.mp3","apple","A1","alma"
"/st/snw/banana.mp3","banana","A1","banán"
"/st/snw/bread.mp3","bread","A1","kenyér"
"/st/snw/butter.mp3","butter","A1","vaj"
"/st/snw/cheese.mp3","cheese","A1","sajt"
"/st/snw/egg.mp3","egg","A1","tojás"
"/st/snw/fish.mp3","fish","A1","hal"
"/st/snw/food.mp3","food","A1","ennivaló, élelmiszer"
"/st/snw/fruit.mp3","fruit","A1","gyümölcs"
"/st/snw/meat.mp3","meat","A1","hús"
"/st/snw/milk.mp3","milk","A1","tej"
"/st/snw/orange.mp3","orange","A1","narancs"
"/st/snw/potato.mp3","potato","A1","burgonya, krumpli"
"/st/snw/rice.mp3","rice","A1","rizs"
"/st/snw/salt.mp3","salt","A1","só, konyhasó"
"/st/snw/sandwich.mp3","sandwich","A1","szendvics"
"/st/snw/sugar.mp3","sugar","A1","cukor"
"/st/snw/tomato.mp3","tomato","A1","paradicsom"
"/st/snw/vegetable.mp3","vegetable","A1","zöldség"
"/st/snw/hungry.mp3","hungry","A1","éhes"
