"AUDIOFILE"                   ,"FOREIGNWORD"           ,"LEVEL","NATIVEWORD"
"/st/snw/close_verb.mp3"      ,"close"                 ,"A2"   ,"bezár, becsuk"
"/st/snw/come.mp3"            ,"come"                  ,"A2"   ,"kapható, van"
"/st/snw/open.mp3"            ,"open"                  ,"A2"   ,"kinyit"
"/st/snw/sell.mp3"            ,"sell"                  ,"A2"   ,"elad vmit vkinek"
"/st/snw/sell.mp3"            ,"sell"                  ,"A2"   ,"árul, árusít"
"/st/snw/shut.mp3"            ,"shut"                  ,"A2"   ,"zár, bezár"
"/st/snw/bookshop.mp3"        ,"bookshop"              ,"A2"   ,"könyvesbolt"
"/st/snw/cigarette.mp3"       ,"cigarette"             ,"A2"   ,"cigaretta"
"/st/snw/department.mp3"      ,"department"            ,"A2"   ,"osztály, részleg ; tanszék; minisztérium"
"/st/snw/department_store.mp3","department store"      ,"A2"   ,"áruház"
"/st/snw/market.mp3"          ,"market"                ,"A2"   ,"piac, vásár"
"/st/snw/model.mp3"           ,"model"                 ,"A2"   ,"modell"
"/st/snw/shop_assistant.mp3"  ,"shop assistant"        ,"A2"   ,"bolti eladó"
"/st/snk/r214.mp3"            ,"a sales/shop assistant","A2"   ,"kiszolgáló"
"/st/snk/r1206.mp3"           ,"for sale"              ,"A2"   ,"eladó"
"/st/snw/book.mp3"            ,"book"                  ,"A2"   ,"előre lefoglal vmit, előre vált"
"/st/snw/change.mp3"          ,"change"                ,"A2"   ,"pénzt vált/felvált/átvált"
"/st/snw/cost.mp3"            ,"cost"                  ,"A2"   ,"kerül vmibe/vmennyibe"
"/st/snw/order.mp3"           ,"order"                 ,"A2"   ,"rendel"
"/st/snw/post.mp3"            ,"post"                  ,"A2"   ,"felad"
"/st/snw/rent.mp3"            ,"rent"                  ,"A2"   ,"bérel vmit"
"/st/snw/save.mp3"            ,"save"                  ,"A2"   ,"megspórol, gyűjt vmire"
"/st/snw/serve.mp3"           ,"serve"                 ,"A2"   ,"kiszolgál, felszolgál"
"/st/snw/bill.mp3"            ,"bill"                  ,"A2"   ,"számla"
"/st/snw/cash.mp3"            ,"cash"                  ,"A2"   ,"készpénz"
"/st/snw/cent.mp3"            ,"cent"                  ,"A2"   ,"cent"
"/st/snw/cheque.mp3"          ,"cheque"                ,"A2"   ,"csekk"
"/st/snw/customer.mp3"        ,"customer"              ,"A2"   ,"vevő, vendég"
"/st/snw/discount.mp3"        ,"discount"              ,"A2"   ,"árengedmény"
"/st/snw/euro.mp3"            ,"euro"                  ,"A2"   ,"euró"
"/st/snw/fast_food.mp3"       ,"fast food"             ,"A2"   ,"gyorséttermi étel"
"/st/snw/guest.mp3"           ,"guest"                 ,"A2"   ,"vendég"
"/st/snw/mail.mp3"            ,"mail"                  ,"A2"   ,"posta"
"/st/snw/mail.mp3"            ,"mail"                  ,"A2"   ,"posta"
"/st/snw/menu.mp3"            ,"menu"                  ,"A2"   ,"étlap"
"/st/snw/order.mp3"           ,"order"                 ,"A2"   ,"rendelés, megrendelés"
"/st/snw/pence.mp3"           ,"pence"                 ,"A2"   ,""
"/st/snw/post.mp3"            ,"post"                  ,"A2"   ,""
"/st/snw/post.mp3"            ,"post"                  ,"A2"   ,"posta"
"/st/snw/post_office.mp3"     ,"post office"           ,"A2"   ,"posta, postahivatal"
"/st/snw/pound.mp3"           ,"pound"                 ,"A2"   ,""
"/st/snw/price.mp3"           ,"price"                 ,"A2"   ,"ár"
"/st/snw/receipt.mp3"         ,"receipt"               ,"A2"   ,"átvételi elismervény, nyugta"
"/st/snw/receptionist.mp3"    ,"receptionist"          ,"A2"   ,"recepciós"
"/st/snw/shopping.mp3"        ,"shopping"              ,"A2"   ,"vásárolt dolgok"
"/st/snw/stamp.mp3"           ,"stamp"                 ,"A2"   ,"bélyeg"
"/st/snw/free.mp3"            ,"free"                  ,"A2"   ,"ingyen, ingyenes"
"/st/snw/half-price.mp3"      ,"half-price"            ,"A2"   ,"félárú; féláron"
"/st/snw/single.mp3"          ,"single"                ,"A2"   ,"egyszemélyes"
"/st/snw/free.mp3"            ,"free"                  ,"A2"   ,"ingyen, ingyenesen"
"/st/snw/for.mp3"             ,"for"                   ,"A2"   ,"-ért, vmiért cserébe"
"/st/snw/on.mp3"              ,"on"                    ,"A2"   ,"-ra, -re"
"/st/snk/r1620.mp3"           ,"in the sale"           ,"A2"   ,"leértékelés, kiárusítás     vmennyiért"
"/st/snk/r2053.mp3"           ,"on sale"               ,"A2"   ,"akciós     vmennyiért"
"/st/snk/r2401.mp3"           ,"sell for/at sth"       ,"A2"   ,"árulják/kapható     vmennyiért"
