"AUDIOFILE"              ,"FOREIGNWORD"        ,"LEVEL","NATIVEWORD"
"/st/snw/tonight.mp3"    ,"tonight"            ,"A2"   ,"ma este/éjjel"
"/st/snw/old.mp3"        ,"old"                ,"A2"   ,"régi, volt, egykori"
"/st/snw/ago.mp3"        ,"ago"                ,"A2"   ,"ezelőtt"
"/st/snw/already.mp3"    ,"already"            ,"A2"   ,"már"
"/st/snw/ever.mp3"       ,"ever"               ,"A2"   ,"valaha"
"/st/snw/just.mp3"       ,"just"               ,"A2"   ,"épp, éppen"
"/st/snw/now.mp3"        ,"now"                ,"A2"   ,"most, azonnal"
"/st/snw/soon.mp3"       ,"soon"               ,"A2"   ,"hamarosan; hamar, gyorsan"
"/st/snw/by.mp3"         ,"by"                 ,"A2"   ,"-ra, -re"
"/st/snw/for.mp3"        ,"for"                ,"A2"   ,"-ra, -re"
"/st/snw/when.mp3"       ,"when"               ,"A2"   ,"amikor"
"/st/snk/r350.mp3"       ,"as soon as possible","A2"   ,"amint/mihelyt lehetséges"
"/st/snk/r402.mp3"       ,"at the moment"      ,"A2"   ,"most, pillanatnyilag"
"/st/snk/r1672.mp3"      ,"just now"           ,"A2"   ,"épp most, pár perce"
"/st/snk/r2082.mp3"      ,"one day"            ,"A2"   ,"egy nap, egyszer"
"/st/snk/r2856.mp3"      ,"these days"         ,"A2"   ,"mostanában, manapság"
"/st/snw/minute_noun.mp3","minute"             ,"A2"   ,"perc, pillanat"
"/st/snw/moment.mp3"     ,"moment"             ,"A2"   ,"pillanat"
"/st/snw/time.mp3"       ,"time"               ,"A2"   ,"idő, időtartam"
"/st/snw/time.mp3"       ,"time"               ,"A2"   ,"idő"
"/st/snw/time.mp3"       ,"time"               ,"A2"   ,"alkalom; idő, időszak; időtöltés, időzés"
"/st/snw/quick.mp3"      ,"quick"              ,"A2"   ,"gyors"
"/st/snw/always.mp3"     ,"always"             ,"A2"   ,"mindig, mindig is"
"/st/snw/always.mp3"     ,"always"             ,"A2"   ,"mindig, örökké"
"/st/snw/anymore.mp3"    ,"anymore"            ,"A2"   ,"többé nem, már nem"
"/st/snw/fast.mp3"       ,"fast"               ,"A2"   ,"gyorsan, sebesen"
"/st/snw/immediately.mp3","immediately"        ,"A2"   ,"azonnal"
"/st/snw/just.mp3"       ,"just"               ,"A2"   ,"azonnal, mindjárt"
"/st/snw/long.mp3"       ,"long"               ,"A2"   ,"sokáig, hosszú ideig; régóta"
"/st/snw/quickly.mp3"    ,"quickly"            ,"A2"   ,"gyorsan"
"/st/snw/quickly.mp3"    ,"quickly"            ,"A2"   ,"gyorsan, hamar"
"/st/snw/slowly.mp3"     ,"slowly"             ,"A2"   ,"lassan"
"/st/snw/still.mp3"      ,"still"              ,"A2"   ,"még, még mindig"
"/st/snw/yet.mp3"        ,"yet"                ,"A2"   ,"még nem"
"/st/snw/during.mp3"     ,"during"             ,"A2"   ,"folyamán, idején vminek, vmi alatt"
"/st/snw/during.mp3"     ,"during"             ,"A2"   ,"folyamán, közben"
"/st/snw/in.mp3"         ,"in"                 ,"A2"   ,"vmennyi időn belül"
"/st/snw/since.mp3"      ,"since"              ,"A2"   ,"óta"
"/st/snw/till.mp3"       ,"till"               ,"A2"   ,"-ig"
"/st/snk/r318.mp3"       ,"any more"           ,"A2"   ,"már nem"
"/st/snk/r1227.mp3"      ,"from ... to ..."    ,"A2"   ,"-tól -ig"
"/st/snw/beginning.mp3"  ,"beginning"          ,"A2"   ,"kezdet, az eleje vminek"
"/st/snw/delay.mp3"      ,"delay"              ,"A2"   ,"késedelem, késés"
"/st/snw/early.mp3"      ,"early"              ,"A2"   ,"korai, kezdeti"
"/st/snw/last.mp3"       ,"last"               ,"A2"   ,"utolsó, legutolsó"
"/st/snw/last.mp3"       ,"last"               ,"A2"   ,"előző"
"/st/snw/next.mp3"       ,"next"               ,"A2"   ,"következő"
"/st/snw/after.mp3"      ,"after"              ,"A2"   ,"után"
"/st/snw/afterwards.mp3" ,"afterwards"         ,"A2"   ,"azután, utána, később"
"/st/snw/before.mp3"     ,"before"             ,"A2"   ,"előzőleg, korábban"
"/st/snw/early.mp3"      ,"early"              ,"A2"   ,"korán"
"/st/snw/finally.mp3"    ,"finally"            ,"A2"   ,"végül"
"/st/snw/late.mp3"       ,"late"               ,"A2"   ,"későn; későig"
"/st/snw/later.mp3"      ,"later"              ,"A2"   ,"később"
"/st/snw/next.mp3"       ,"next"               ,"A2"   ,""
"/st/snw/yet.mp3"        ,"yet"                ,"A2"   ,"még"
"/st/snw/before.mp3"     ,"before"             ,"A2"   ,"mielőtt"
"/st/snw/while.mp3"      ,"while"              ,"A2"   ,"míg, amíg, mialatt, miközben"
"/st/snw/autumn.mp3"     ,"autumn"             ,"A2"   ,"ősz"
"/st/snw/century.mp3"    ,"century"            ,"A2"   ,"század, évszázad"
"/st/snw/day.mp3"        ,"day"                ,"A2"   ,"nap, nappal"
"/st/snw/midday.mp3"     ,"midday"             ,"A2"   ,"dél"
"/st/snw/midnight.mp3"   ,"midnight"           ,"A2"   ,"éjfél"
"/st/snw/noon.mp3"       ,"noon"               ,"A2"   ,"dél"
"/st/snw/second.mp3"     ,"second"             ,"A2"   ,"másodperc"
"/st/snw/spring.mp3"     ,"spring"             ,"A2"   ,"tavasz"
"/st/snw/weekday.mp3"    ,"weekday"            ,"A2"   ,"hétköznap"
"/st/snw/daily.mp3"      ,"daily"              ,"A2"   ,"napi"
"/st/snw/weekly.mp3"     ,"weekly"             ,"A2"   ,"heti; hetenként"
"/st/snw/again.mp3"      ,"again"              ,"A2"   ,"újra, megint"
"/st/snw/daily.mp3"      ,"daily"              ,"A2"   ,"naponta"
"/st/snw/once.mp3"       ,"once"               ,"A2"   ,"egyszer"
"/st/snw/a.mp3"          ,"a"                  ,"A2"   ,"egy"
"/st/snk/r294.mp3"       ,"all the time"       ,"A2"   ,"végig, mindvégig, az egész idő alatt"
