"AUDIOFILE"              ,"FOREIGNWORD" ,"LEVEL","NATIVEWORD"
"/st/snw/biology.mp3"    ,"biology"     ,"A2"   ,"biológia"
"/st/snw/blackboard.mp3" ,"blackboard"  ,"A2"   ,"iskolatábla"
"/st/snw/chemistry.mp3"  ,"chemistry"   ,"A2"   ,"kémia, vegyészet"
"/st/snw/classmate.mp3"  ,"classmate"   ,"A2"   ,"osztálytárs"
"/st/snw/geography.mp3"  ,"geography"   ,"A2"   ,"földrajz"
"/st/snw/head.mp3"       ,"head"        ,"A2"   ,"iskolaigazgató"
"/st/snw/headteacher.mp3","headteacher" ,"A2"   ,"iskolaigazgató"
"/st/snw/history.mp3"    ,"history"     ,"A2"   ,"történelem"
"/st/snw/maths.mp3"      ,"maths"       ,"A2"   ,"matek"
"/st/snw/pupil.mp3"      ,"pupil"       ,"A2"   ,"tanuló, iskolás"
"/st/snw/rubber.mp3"     ,"rubber"      ,"A2"   ,"radír"
"/st/snw/ruler.mp3"      ,"ruler"       ,"A2"   ,"vonalzó"
"/st/snw/school.mp3"     ,"school"      ,"A2"   ,"iskola, tanítás"
"/st/snw/schoolchild.mp3","schoolchild" ,"A2"   ,"iskolásgyerek"
"/st/snw/textbook.mp3"   ,"textbook"    ,"A2"   ,"tankönyv"
"/st/snw/year.mp3"       ,"year"        ,"A2"   ,"év"
"/st/snw/fail.mp3"       ,"fail"        ,"A2"   ,"megbukik"
"/st/snw/pass.mp3"       ,"pass"        ,"A2"   ,"átmegy"
"/st/snw/answer.mp3"     ,"answer"      ,"A2"   ,"válasz, megoldás"
"/st/snw/exam.mp3"       ,"exam"        ,"A2"   ,"vizsga"
"/st/snw/examination.mp3","examination" ,"A2"   ,"vizsga"
"/st/snw/exercise.mp3"   ,"exercise"    ,"A2"   ,""
"/st/snw/key.mp3"        ,"key"         ,"A2"   ,"kulcs, megoldás, megfejtés; jelmagyarázat"
"/st/snw/level.mp3"      ,"level"       ,"A2"   ,"szint, színvonal"
"/st/snw/mark.mp3"       ,"mark"        ,"A2"   ,"jegy, érdemjegy, osztályzat, pontszám"
"/st/snw/paper.mp3"      ,"paper"       ,"A2"   ,"írásbeli vizsga/dolgozat"
"/st/snw/project.mp3"    ,"project"     ,"A2"   ,""
"/st/snw/question.mp3"   ,"question"    ,"A2"   ,"kérdés, tesztkérdés"
"/st/snw/timetable.mp3"  ,"timetable"   ,"A2"   ,"órarend"
"/st/snw/advanced.mp3"   ,"advanced"    ,"A2"   ,"haladó"
"/st/snk/r2605.mp3"      ,"take an exam","A2"   ,"vizsgázik, vizsgát tesz"
"/st/snw/college.mp3"    ,"college"     ,"A2"   ,"kb. főiskola"
"/st/snw/diploma.mp3"    ,"diploma"     ,"A2"   ,"oklevél, bizonyítvány"
"/st/snw/physics.mp3"    ,"physics"     ,"A2"   ,"fizika"
"/st/snw/science.mp3"    ,"science"     ,"A2"   ,"természettudomány"
"/st/snw/term.mp3"       ,"term"        ,"A2"   ,"tanulmányi időszak"
"/st/snk/r2580.mp3"      ,"studies"     ,"A2"   ,"tanulmányok"
