"AUDIOFILE"                 ,"FOREIGNWORD"    ,"LEVEL","NATIVEWORD"
"/st/snw/cross.mp3"         ,"cross"          ,"A2"   ,"átmegy"
"/st/snw/park.mp3"          ,"park"           ,"A2"   ,"parkol"
"/st/snw/take.mp3"          ,"take"           ,"A2"   ,"vmilyen úton megy"
"/st/snw/turn.mp3"          ,"turn"           ,"A2"   ,"fordul vmerre; fordít, irányít vmerre; kanyarodik"
"/st/snw/bicycle.mp3"       ,"bicycle"        ,"A2"   ,"kerékpár, bicikli"
"/st/snw/bike.mp3"          ,"bike"           ,"A2"   ,"bicikli, bringa, bicaj"
"/st/snw/cycling.mp3"       ,"cycling"        ,"A2"   ,"kerékpározás"
"/st/snw/directions.mp3"    ,"directions"     ,"A2"   ,"útbaigazítás; használati utasítás/előírás"
"/st/snw/engine.mp3"        ,"engine"         ,"A2"   ,"motor"
"/st/snw/lift.mp3"          ,"lift"           ,"A2"   ,"utazás"
"/st/snw/map.mp3"           ,"map"            ,"A2"   ,"térkép"
"/st/snw/motorbike.mp3"     ,"motorbike"      ,"A2"   ,"motorbicikli"
"/st/snw/petrol.mp3"        ,"petrol"         ,"A2"   ,"benzin"
"/st/snw/scooter.mp3"       ,"scooter"        ,"A2"   ,"robogó ; roller"
"/st/snw/tyre.mp3"          ,"tyre"           ,"A2"   ,"gumiabroncs, kerékgumi"
"/st/snw/way.mp3"           ,"way"            ,"A2"   ,"út, útvonal"
"/st/snw/wheel.mp3"         ,"wheel"          ,"A2"   ,"kerék"
"/st/snw/lost.mp3"          ,"lost"           ,"A2"   ,"eltévedt"
"/st/snk/r2042.mp3"         ,"on foot"        ,"A2"   ,"gyalog"
"/st/snw/change.mp3"        ,"change"         ,"A2"   ,"átszáll"
"/st/snw/miss.mp3"          ,"miss"           ,"A2"   ,""
"/st/snw/stop.mp3"          ,"stop"           ,"A2"   ,"megáll vhol"
"/st/snw/take.mp3"          ,"take"           ,"A2"   ,"közlekedik vmivel"
"/st/snw/aeroplane.mp3"     ,"aeroplane"      ,"A2"   ,"repülőgép"
"/st/snw/air.mp3"           ,"air"            ,"A2"   ,"légi"
"/st/snw/airport.mp3"       ,"airport"        ,"A2"   ,"repülőtér"
"/st/snw/bridge.mp3"        ,"bridge"         ,"A2"   ,"híd"
"/st/snw/bus_station.mp3"   ,"bus station"    ,"A2"   ,"buszállomás, buszpályaudvar"
"/st/snw/bus_stop.mp3"      ,"bus stop"       ,"A2"   ,"buszmegálló"
"/st/snw/car_park.mp3"      ,"car park"       ,"A2"   ,"parkoló, autóparkoló"
"/st/snw/case.mp3"          ,"case"           ,"A2"   ,"bőrönd"
"/st/snw/coach.mp3"         ,"coach"          ,"A2"   ,"távolsági/kiránduló busz"
"/st/snw/exit.mp3"          ,"exit"           ,"A2"   ,"kijárat, lehajtósáv"
"/st/snw/flight.mp3"        ,"flight"         ,"A2"   ,"repülés; repülőút; repülőjárat"
"/st/snw/helicopter.mp3"    ,"helicopter"     ,"A2"   ,"helikopter"
"/st/snw/journey.mp3"       ,"journey"        ,"A2"   ,"út, utazás"
"/st/snw/luggage.mp3"       ,"luggage"        ,"A2"   ,"poggyász"
"/st/snw/motorway.mp3"      ,"motorway"       ,"A2"   ,"autópálya"
"/st/snw/passenger.mp3"     ,"passenger"      ,"A2"   ,"utas"
"/st/snw/path.mp3"          ,"path"           ,"A2"   ,"ösvény, gyalogút"
"/st/snw/petrol_station.mp3","petrol station" ,"A2"   ,"benzinkút"
"/st/snw/pilot.mp3"         ,"pilot"          ,"A2"   ,"pilóta"
"/st/snw/platform.mp3"      ,"platform"       ,"A2"   ,"peron, vágány"
"/st/snw/railway.mp3"       ,"railway"        ,"A2"   ,"vasút; vasútvonal"
"/st/snw/roundabout.mp3"    ,"roundabout"     ,"A2"   ,"körforgalom; körhinta"
"/st/snw/ship.mp3"          ,"ship"           ,"A2"   ,"hajó"
"/st/snw/suitcase.mp3"      ,"suitcase"       ,"A2"   ,"bőrönd"
"/st/snw/tour.mp3"          ,"tour"           ,"A2"   ,"utazás, körutazás; megtekintés, meglátogatás; turné"
"/st/snw/traffic.mp3"       ,"traffic"        ,"A2"   ,"forgalom, közlekedés"
"/st/snw/traffic_light.mp3" ,"traffic light"  ,"A2"   ,"közlekedési lámpa"
"/st/snw/tram.mp3"          ,"tram"           ,"A2"   ,"villamos"
"/st/snw/trip.mp3"          ,"trip"           ,"A2"   ,"út, utazás"
"/st/snw/busy.mp3"          ,"busy"           ,"A2"   ,"zsúfolt, forgalmas"
"/st/snw/foreign.mp3"       ,"foreign"        ,"A2"   ,"külföldi, idegen"
"/st/snw/on.mp3"            ,"on"             ,"A2"   ,"-on, -en, -ön, -ra, -re"
"/st/snk/r1272.mp3"         ,"get off (sth)"  ,"A2"   ,"leszáll"
"/st/snk/r1275.mp3"         ,"get on (sth)"   ,"A2"   ,"felszáll"
"/st/snk/r2624.mp3"         ,"take off"       ,"A2"   ,"felszáll"
"/st/snk/r777.mp3"          ,"bus station"    ,"A2"   ,"buszállomás, buszpályaudvar"
"/st/snk/r2838.mp3"         ,"the underground","A2"   ,"földalatti"
