"AUDIOFILE"                ,"FOREIGNWORD"     ,"LEVEL","NATIVEWORD"
"/st/snw/click.mp3"        ,"click"           ,"A2"   ,""
"/st/snw/print.mp3"        ,"print"           ,"A2"   ,"nyomtat, kinyomtat"
"/st/snw/save.mp3"         ,"save"            ,"A2"   ,"elment"
"/st/snw/click.mp3"        ,"click"           ,"A2"   ,"kattanás; kattintás"
"/st/snw/file.mp3"         ,"file"            ,"A2"   ,"állomány, fájl"
"/st/snw/it.mp3"           ,"IT"              ,"A2"   ,"információ technológia, informatika"
"/st/snw/keyboard.mp3"     ,"keyboard"        ,"A2"   ,"billentyűzet, klaviatúra"
"/st/snw/laptop.mp3"       ,"laptop"          ,"A2"   ,"laptop, hordozható számítógép"
"/st/snw/memory.mp3"       ,"memory"          ,"A2"   ,"memória, memóriaegység"
"/st/snw/menu.mp3"         ,"menu"            ,"A2"   ,"menü"
"/st/snw/mouse.mp3"        ,"mouse"           ,"A2"   ,"egér"
"/st/snw/pc.mp3"           ,"PC"              ,"A2"   ,"személyi számítógép"
"/st/snw/printer.mp3"      ,"printer"         ,"A2"   ,"nyomtató"
"/st/snw/program.mp3"      ,"program"         ,"A2"   ,"program"
"/st/snw/screen.mp3"       ,"screen"          ,"A2"   ,"képernyő"
"/st/snw/software.mp3"     ,"software"        ,"A2"   ,"szoftver"
"/st/snw/digital.mp3"      ,"digital"         ,"A2"   ,"digitális"
"/st/snw/answer.mp3"       ,"answer"          ,"A2"   ,"felvesz"
"/st/snw/call.mp3"         ,"call"            ,"A2"   ,"hív vkit"
"/st/snw/chat.mp3"         ,"chat"            ,"A2"   ,""
"/st/snw/download_verb.mp3","download"        ,"A2"   ,"letölt"
"/st/snw/email.mp3"        ,"email"           ,"A2"   ,"e-mail-t küld"
"/st/snw/ring.mp3"         ,"ring"            ,"A2"   ,"telefonál"
"/st/snw/surf.mp3"         ,"surf"            ,"A2"   ,"szörföl"
"/st/snw/telephone.mp3"    ,"telephone"       ,"A2"   ,"telefonál"
"/st/snw/text.mp3"         ,"text"            ,"A2"   ,"szöveges üzenetet, SMS-t küld vkinek"
"/st/snw/visit.mp3"        ,"visit"           ,"A2"   ,"meglátogat"
"/st/snw/answer.mp3"       ,"answer"          ,"A2"   ,"válasz, reagálás"
"/st/snw/call.mp3"         ,"call"            ,"A2"   ,"telefonhívás, telefonbeszélgetés"
"/st/snw/cartoon.mp3"      ,"cartoon"         ,"A2"   ,"humoros rajz, karikatúra"
"/st/snw/channel.mp3"      ,"channel"         ,"A2"   ,"tévécsatorna"
"/st/snw/magazine.mp3"     ,"magazine"        ,"A2"   ,"magazin, képes hetilap/folyóirat"
"/st/snw/mail.mp3"         ,"mail"            ,"A2"   ,"e-mail"
"/st/snw/news.mp3"         ,"news"            ,"A2"   ,"hír"
"/st/snw/page.mp3"         ,"page"            ,"A2"   ,"weboldal"
"/st/snw/programme.mp3"    ,"programme"       ,"A2"   ,"műsor, program"
"/st/snw/site.mp3"         ,"site"            ,"A2"   ,"webhely, weboldal"
"/st/snw/telephone.mp3"    ,"telephone"       ,"A2"   ,"telefon"
"/st/snw/text.mp3"         ,"text"            ,"A2"   ,"rövid szöveges üzenet, SMS"
"/st/snw/text_message.mp3" ,"text message"    ,"A2"   ,"szöveges üzenet, SMS"
"/st/snw/web_page.mp3"     ,"web page"        ,"A2"   ,"weboldal"
"/st/snw/online_adj.mp3"   ,"online"          ,"A2"   ,"online"
"/st/snw/online_adv.mp3"   ,"online"          ,"A2"   ,"online"
"/st/snw/on.mp3"           ,"on"              ,"A2"   ,"-on, -en, -ön, -ban, -ben"
"/st/snk/r800.mp3"         ,"call back ↔ (sb)","A2"   ,"telefonon újra hív/visszahív"
"/st/snk/r1328.mp3"        ,"give sb a call"  ,"A2"   ,"telefonál  vkinek  vkinek"
"/st/snk/r1330.mp3"        ,"give sb a ring"  ,"A2"   ,"telefonál  vkinek  vkinek"
"/st/snk/r2778.mp3"        ,"the net"         ,"A2"   ,"az internet  vkinek  vkinek"
"/st/snk/r2689.mp3"        ,"the Web"         ,"A2"   ,"a web, világháló  vkinek  vkinek"
