"AUDIOFILE"                ,"FOREIGNWORD"              ,"LEVEL","NATIVEWORD"
"/st/snw/exercise.mp3"     ,"exercise"                 ,"A2"   ,"gyakorlat, testgyakorlat, testmozgás"
"/st/snw/skateboarding.mp3","skateboarding"            ,"A2"   ,"gördeszkázás"
"/st/snw/snowboarding.mp3" ,"snowboarding"             ,"A2"   ,"hódeszkázás, snowboardozás"
"/st/snw/walking.mp3"      ,"walking"                  ,"A2"   ,"gyaloglás"
"/st/snw/fit.mp3"          ,"fit"                      ,"A2"   ,"jó erőnlétben/kondícióban van; egészséges, fitt, jól van"
"/st/snw/strong.mp3"       ,"strong"                   ,"A2"   ,"erős"
"/st/snk/r1369.mp3"        ,"go running/swimming, etc.","A2"   ,"futni/úszni/stb. megy"
"/st/snw/win.mp3"          ,"win"                      ,"A2"   ,"nyer, megnyer"
"/st/snw/win.mp3"          ,"win"                      ,"A2"   ,"nyer, elnyer, megszerez"
"/st/snw/bat.mp3"          ,"bat"                      ,"A2"   ,"ütő"
"/st/snw/competition.mp3"  ,"competition"              ,"A2"   ,"verseny"
"/st/snw/fan.mp3"          ,"fan"                      ,"A2"   ,"rajongó"
"/st/snw/footballer.mp3"   ,"footballer"               ,"A2"   ,"labdarúgó, futballista"
"/st/snw/game.mp3"         ,"game"                     ,"A2"   ,"játszma"
"/st/snw/goal.mp3"         ,"goal"                     ,"A2"   ,"gól"
"/st/snw/goal.mp3"         ,"goal"                     ,"A2"   ,"kapu"
"/st/snw/kit.mp3"          ,"kit"                      ,"A2"   ,"felszerelés"
"/st/snw/match.mp3"        ,"match"                    ,"A2"   ,"meccs, mérkőzés"
"/st/snw/prize.mp3"        ,"prize"                    ,"A2"   ,"díj; jutalom"
"/st/snw/race.mp3"         ,"race"                     ,"A2"   ,"verseny"
"/st/snw/racket.mp3"       ,"racket"                   ,"A2"   ,"ütő"
"/st/snw/runner.mp3"       ,"runner"                   ,"A2"   ,"futó"
"/st/snw/skate.mp3"        ,"skate"                    ,"A2"   ,"korcsolya; görkorcsolya"
"/st/snw/skateboard.mp3"   ,"skateboard"               ,"A2"   ,"gördeszka"
"/st/snw/sports_centre.mp3","sports centre"            ,"A2"   ,"sportcentrum"
"/st/snw/stadium.mp3"      ,"stadium"                  ,"A2"   ,"stadion"
"/st/snw/team.mp3"         ,"team"                     ,"A2"   ,"csapat"
"/st/snw/winner.mp3"       ,"winner"                   ,"A2"   ,"győztes, nyertes"
"/st/snw/against.mp3"      ,"against"                  ,"A2"   ,"ellen"
"/st/snw/badminton.mp3"    ,"badminton"                ,"A2"   ,"tollaslabda"
"/st/snw/baseball.mp3"     ,"baseball"                 ,"A2"   ,"baseball"
"/st/snw/climbing.mp3"     ,"climbing"                 ,"A2"   ,"hegymászás"
"/st/snw/cricket.mp3"      ,"cricket"                  ,"A2"   ,"krikett"
"/st/snw/golf.mp3"         ,"golf"                     ,"A2"   ,"golf"
"/st/snw/hockey.mp3"       ,"hockey"                   ,"A2"   ,"hoki"
"/st/snw/rugby.mp3"        ,"rugby"                    ,"A2"   ,"rögbi"
"/st/snw/running.mp3"      ,"running"                  ,"A2"   ,"futás"
"/st/snw/sailing.mp3"      ,"sailing"                  ,"A2"   ,"vitorlázás"
"/st/snw/skating.mp3"      ,"skating"                  ,"A2"   ,"korcsolyázás; görkorcsolyázás"
"/st/snw/skiing.mp3"       ,"skiing"                   ,"A2"   ,"síelés"
"/st/snw/surfing.mp3"      ,"surfing"                  ,"A2"   ,"szörfözés"
"/st/snw/swim.mp3"         ,"swim"                     ,"A2"   ,"úszás"
"/st/snw/swimming.mp3"     ,"swimming"                 ,"A2"   ,"úszás"
"/st/snw/table_tennis.mp3" ,"table tennis"             ,"A2"   ,"asztalitenisz"
"/st/snw/volleyball.mp3"   ,"volleyball"               ,"A2"   ,"röplabda"
