"AUDIOFILE"                  ,"FOREIGNWORD"    ,"LEVEL","NATIVEWORD"
"/st/snw/dr.mp3"             ,"Dr"             ,"A2"   ,"Dr."
"/st/snw/driving_licence.mp3","driving licence","A2"   ,"jogosítvány, vezetői/gépjárművezetői engedély"
"/st/snw/first_name.mp3"     ,"first name"     ,"A2"   ,"keresztnév"
"/st/snw/guy.mp3"            ,"guy"            ,"A2"   ,"fickó, pasi"
"/st/snw/id.mp3"             ,"ID"             ,"A2"   ,"személyazonossági okmány/irat"
"/st/snw/id_card.mp3"        ,"ID card"        ,"A2"   ,"azonosító kártya"
"/st/snw/identification.mp3" ,"identification" ,"A2"   ,"személyazonosságot igazoló okmány"
"/st/snw/kid.mp3"            ,"kid"            ,"A2"   ,"srác, kölyök"
"/st/snw/licence.mp3"        ,"licence"        ,"A2"   ,"engedély, jogosítvány; felhatalmazás"
"/st/snw/ms.mp3"             ,"Ms"             ,"A2"   ,"nők udvarias megszólítása"
"/st/snw/passport.mp3"       ,"passport"       ,"A2"   ,"útlevél"
"/st/snw/surname.mp3"        ,"surname"        ,"A2"   ,"vezetéknév"
"/st/snw/teenager.mp3"       ,"teenager"       ,"A2"   ,"tinédzser"
"/st/snw/adult.mp3"          ,"adult"          ,"A2"   ,"felnőtt; felnőtteknek való/szóló"
"/st/snw/aged.mp3"           ,"aged"           ,"A2"   ,"vhány éves"
"/st/snw/lazy.mp3"           ,"lazy"           ,"A2"   ,"lusta"
"/st/snw/married.mp3"        ,"married"        ,"A2"   ,"házas, nős, férjes, férjezett"
"/st/snw/single.mp3"         ,"single"         ,"A2"   ,"egyedülálló, nőtlen, hajadon"
"/st/snk/r1396.mp3"          ,"grow up"        ,"A2"   ,"felnő, felnőtté válik"
