"AUDIOFILE"               ,"FOREIGNWORD" ,"LEVEL","NATIVEWORD"
"/st/snw/east.mp3"        ,"east"        ,"A2"   ,"kelet"
"/st/snw/north.mp3"       ,"north"       ,"A2"   ,"észak"
"/st/snw/south.mp3"       ,"south"       ,"A2"   ,"dél"
"/st/snw/west.mp3"        ,"west"        ,"A2"   ,"nyugat"
"/st/snw/east.mp3"        ,"east"        ,"A2"   ,"keleti, kelet-"
"/st/snw/north.mp3"       ,"north"       ,"A2"   ,"észak-, északi"
"/st/snw/south.mp3"       ,"south"       ,"A2"   ,"dél-, déli; délen fekvő; délre néző"
"/st/snw/west.mp3"        ,"west"        ,"A2"   ,"nyugat-, nyugati"
"/st/snw/east.mp3"        ,"east"        ,"A2"   ,"keletre"
"/st/snw/north.mp3"       ,"north"       ,"A2"   ,"északra, észak felé"
"/st/snw/south.mp3"       ,"south"       ,"A2"   ,"délen, dél felé, délre vmitől"
"/st/snw/west.mp3"        ,"west"        ,"A2"   ,"nyugatra, nyugaton"
"/st/snk/r2719.mp3"       ,"the east"    ,"A2"   ,"keleti rész"
"/st/snk/r2784.mp3"       ,"the north"   ,"A2"   ,"északi rész"
"/st/snk/r2824.mp3"       ,"the south"   ,"A2"   ,"dél-"
"/st/snk/r2846.mp3"       ,"the west"    ,"A2"   ,"nyugati rész"
"/st/snw/baby.mp3"        ,"baby"        ,"A2"   ,"állatkölyök"
"/st/snw/bear.mp3"        ,"bear"        ,"A2"   ,"medve"
"/st/snw/chicken.mp3"     ,"chicken"     ,"A2"   ,"csirke"
"/st/snw/dinosaur.mp3"    ,"dinosaur"    ,"A2"   ,"dinoszaurusz, őshüllő"
"/st/snw/duck.mp3"        ,"duck"        ,"A2"   ,"kacsa"
"/st/snw/elephant.mp3"    ,"elephant"    ,"A2"   ,"elefánt"
"/st/snw/insect.mp3"      ,"insect"      ,"A2"   ,"rovar"
"/st/snw/lion.mp3"        ,"lion"        ,"A2"   ,"oroszlán"
"/st/snw/monkey.mp3"      ,"monkey"      ,"A2"   ,"majom"
"/st/snw/mouse.mp3"       ,"mouse"       ,"A2"   ,"egér"
"/st/snw/nature.mp3"      ,"nature"      ,"A2"   ,"természet"
"/st/snw/rabbit.mp3"      ,"rabbit"      ,"A2"   ,"nyúl"
"/st/snw/rat.mp3"         ,"rat"         ,"A2"   ,"patkány"
"/st/snw/snake.mp3"       ,"snake"       ,"A2"   ,"kígyó"
"/st/snw/wild.mp3"        ,"wild"        ,"A2"   ,"vad"
"/st/snw/snow.mp3"        ,"snow"        ,"A2"   ,"havazik, esik a hó"
"/st/snw/cloud.mp3"       ,"cloud"       ,"A2"   ,"felhő"
"/st/snw/desert.mp3"      ,"desert"      ,"A2"   ,"sivatag"
"/st/snw/fog.mp3"         ,"fog"         ,"A2"   ,"köd"
"/st/snw/forest.mp3"      ,"forest"      ,"A2"   ,"erdő"
"/st/snw/hill.mp3"        ,"hill"        ,"A2"   ,"domb,  hegy"
"/st/snw/island.mp3"      ,"island"      ,"A2"   ,"sziget"
"/st/snw/lake.mp3"        ,"lake"        ,"A2"   ,"tó"
"/st/snw/mountain.mp3"    ,"mountain"    ,"A2"   ,"hegy"
"/st/snw/sky.mp3"         ,"sky"         ,"A2"   ,"ég, égbolt"
"/st/snw/star.mp3"        ,"star"        ,"A2"   ,"csillag"
"/st/snw/storm.mp3"       ,"storm"       ,"A2"   ,"vihar"
"/st/snw/thunderstorm.mp3","thunderstorm","A2"   ,"zivatar"
"/st/snw/water.mp3"       ,"water"       ,"A2"   ,"víz, vízfelület"
"/st/snw/wood.mp3"        ,"wood"        ,"A2"   ,"erdő"
"/st/snw/cloudy.mp3"      ,"cloudy"      ,"A2"   ,"felhős"
"/st/snw/dark.mp3"        ,"dark"        ,"A2"   ,"sötét"
"/st/snw/deep.mp3"        ,"deep"        ,"A2"   ,"mély"
"/st/snw/dry.mp3"         ,"dry"         ,"A2"   ,"száraz"
"/st/snw/foggy.mp3"       ,"foggy"       ,"A2"   ,"ködös"
"/st/snw/sunny.mp3"       ,"sunny"       ,"A2"   ,"napos, napfényes"
"/st/snw/wet.mp3"         ,"wet"         ,"A2"   ,"esős, nyirkos"
"/st/snw/windy.mp3"       ,"windy"       ,"A2"   ,"szeles"
"/st/snk/r2776.mp3"       ,"the moon"    ,"A2"   ,"hold"
