"AUDIOFILE"             ,"FOREIGNWORD"             ,"LEVEL","NATIVEWORD"
"/st/snw/bother.mp3"    ,"bother"                  ,"A2"   ,"zavar vkit, terhére van vkinek"
"/st/snw/cry.mp3"       ,"cry"                     ,"A2"   ,"sír"
"/st/snw/hate.mp3"      ,"hate"                    ,"A2"   ,"gyűlöl, utál"
"/st/snw/hope.mp3"      ,"hope"                    ,"A2"   ,"remél"
"/st/snw/laugh.mp3"     ,"laugh"                   ,"A2"   ,"nevet, kacag"
"/st/snw/miss.mp3"      ,"miss"                    ,"A2"   ,"hiányol vkit/vmit"
"/st/snw/prefer.mp3"    ,"prefer"                  ,"A2"   ,"jobban szeret vmit vminél, szívesebben csinál vmit"
"/st/snw/worry.mp3"     ,"worry"                   ,"A2"   ,"aggódik, nyugtalankodik"
"/st/snw/surprise.mp3"  ,"surprise"                ,"A2"   ,"meglepetés"
"/st/snw/afraid.mp3"    ,"afraid"                  ,"A2"   ,"félő, félelmet érző, szorongó"
"/st/snw/angry.mp3"     ,"angry"                   ,"A2"   ,"mérges, dühös"
"/st/snw/friendly.mp3"  ,"friendly"                ,"A2"   ,"barátságos, kedves"
"/st/snw/glad.mp3"      ,"glad"                    ,"A2"   ,"boldog"
"/st/snw/happy.mp3"     ,"happy"                   ,"A2"   ,"elégedett"
"/st/snw/interested.mp3","interested"              ,"A2"   ,"érdeklődő, érdekli vmi/vki; érdekelt vmiben"
"/st/snw/kind.mp3"      ,"kind"                    ,"A2"   ,"kedves, segítőkész"
"/st/snw/mad.mp3"       ,"mad"                     ,"A2"   ,"nagyon dühös"
"/st/snw/pleasant.mp3"  ,"pleasant"                ,"A2"   ,"kellemes"
"/st/snw/pleased.mp3"   ,"pleased"                 ,"A2"   ,"elégedett vmivel; örül vminek"
"/st/snw/poor.mp3"      ,"poor"                    ,"A2"   ,"szegény"
"/st/snw/sorry.mp3"     ,"sorry"                   ,"A2"   ,"sajnálja"
"/st/snw/surprised.mp3" ,"surprised"               ,"A2"   ,"meglepett"
"/st/snw/unhappy.mp3"   ,"unhappy"                 ,"A2"   ,"boldogtalan, szomorú"
"/st/snw/upset.mp3"     ,"upset"                   ,"A2"   ,"zaklatott, feldúlt"
"/st/snw/worried.mp3"   ,"worried"                 ,"A2"   ,"nyugtalan, gondterhelt"
"/st/snk/r217.mp3"      ,"a shame"                 ,"A2"   ,"kár    vmit"
"/st/snk/r488.mp3"      ,"be crazy about sb/sth"   ,"A2"   ,"megőrül , rajong    vmit"
"/st/snk/r819.mp3"      ,"can't wait"              ,"A2"   ,"alig várja    vmit"
"/st/snk/r1086.mp3"     ,"enjoy yourself"          ,"A2"   ,"jól érzi magát, jól szórakozik    vmit"
"/st/snk/r71.mp3"       ,"I don't mind"            ,"A2"   ,"nekem mindegy    vmit"
"/st/snk/r2358.mp3"     ,"sb will kill sb"         ,"A2"   ,"meg fog ölni    vmit"
"/st/snk/r3049.mp3"     ,"would love sth/to do sth","A2"   ,"nagyon szeretne    vmit"
"/st/snk/r3051.mp3"     ,"would prefer"            ,"A2"   ,"inkább szeretne    vmit"
