"AUDIOFILE"                ,"FOREIGNWORD"  ,"LEVEL","NATIVEWORD"
"/st/snw/drink.mp3"        ,"drink"        ,"A2"   ,"iszik"
"/st/snw/alcohol.mp3"      ,"alcohol"      ,"A2"   ,"alkohol, szesz"
"/st/snw/burger.mp3"       ,"burger"       ,"A2"   ,"húspogácsa, fasírt"
"/st/snw/champagne.mp3"    ,"champagne"    ,"A2"   ,"pezsgő"
"/st/snw/cola.mp3"         ,"cola"         ,"A2"   ,"kóla, egy pohár/doboz kóla"
"/st/snw/course.mp3"       ,"course"       ,"A2"   ,"fogás"
"/st/snw/crisp.mp3"        ,"crisp"        ,"A2"   ,"burgonyaszirom, chips"
"/st/snw/curry.mp3"        ,"curry"        ,"A2"   ,"fűszeres indiai étel rizzsel körítve"
"/st/snw/dessert.mp3"      ,"dessert"      ,"A2"   ,"desszert, édesség"
"/st/snw/dish.mp3"         ,"dish"         ,"A2"   ,"étel, ételfajta, fogás"
"/st/snw/drink.mp3"        ,"drink"        ,"A2"   ,"szeszes ital"
"/st/snw/ham.mp3"          ,"ham"          ,"A2"   ,"sonka"
"/st/snw/lemonade.mp3"     ,"lemonade"     ,"A2"   ,"limonádé"
"/st/snw/lunchtime.mp3"    ,"lunchtime"    ,"A2"   ,"ebédidő, ebédszünet"
"/st/snw/main_course.mp3"  ,"main course"  ,"A2"   ,"főfogás"
"/st/snw/mineral_water.mp3","mineral water","A2"   ,"ásványvíz"
"/st/snw/omelette.mp3"     ,"omelette"     ,"A2"   ,"omlett, rántotta"
"/st/snw/pasta.mp3"        ,"pasta"        ,"A2"   ,"száraztészta; főtt tészta"
"/st/snw/salad.mp3"        ,"salad"        ,"A2"   ,"saláta"
"/st/snw/sauce.mp3"        ,"sauce"        ,"A2"   ,"mártás, szósz"
"/st/snw/sausage.mp3"      ,"sausage"      ,"A2"   ,"kolbász"
"/st/snw/snack.mp3"        ,"snack"        ,"A2"   ,"; rágnivaló"
"/st/snw/soft_drink.mp3"   ,"soft drink"   ,"A2"   ,"alkoholmentes üdítőital"
"/st/snw/steak.mp3"        ,"steak"        ,"A2"   ,"hússzelet/halszelet"
"/st/snw/supper.mp3"       ,"supper"       ,"A2"   ,"vacsora"
"/st/snw/sweet.mp3"        ,"sweet"        ,"A2"   ,"édesség"
"/st/snw/sweets.mp3"       ,"sweets"       ,"A2"   ,"édesség"
"/st/snw/red.mp3"          ,"red"          ,"A2"   ,"piros/vörös"
"/st/snw/white.mp3"        ,"white"        ,"A2"   ,"tejszínes/tejes"
"/st/snw/white.mp3"        ,"white"        ,"A2"   ,"fehér"
"/st/snk/r1482.mp3"        ,"hot chocolate","A2"   ,"forró csokoládé ital"
"/st/snw/bake.mp3"         ,"bake"         ,"A2"   ,"sül; süt"
"/st/snw/prepare.mp3"      ,"prepare"      ,"A2"   ,"készít, elkészít"
"/st/snw/roast.mp3"        ,"roast"        ,"A2"   ,"sül, megsül; megsüt ; pörköl, megpörköl"
"/st/snw/barbecue.mp3"     ,"barbecue"     ,"A2"   ,"roston sütés, szabadtéri sütés"
"/st/snw/bean.mp3"         ,"bean"         ,"A2"   ,"bab, babszem"
"/st/snw/carrot.mp3"       ,"carrot"       ,"A2"   ,"sárgarépa"
"/st/snw/cereal.mp3"       ,"cereal"       ,"A2"   ,"gabonapehely"
"/st/snw/chicken.mp3"      ,"chicken"      ,"A2"   ,"csirke"
"/st/snw/chilli.mp3"       ,"chilli"       ,"A2"   ,"csili, csilipaprika"
"/st/snw/cooking.mp3"      ,"cooking"      ,"A2"   ,"főzés, sütés"
"/st/snw/cream.mp3"        ,"cream"        ,"A2"   ,"tejszín"
"/st/snw/garlic.mp3"       ,"garlic"       ,"A2"   ,"fokhagyma"
"/st/snw/grape.mp3"        ,"grape"        ,"A2"   ,"szőlő"
"/st/snw/honey.mp3"        ,"honey"        ,"A2"   ,"méz"
"/st/snw/jam.mp3"          ,"jam"          ,"A2"   ,"lekvár, dzsem"
"/st/snw/lemon.mp3"        ,"lemon"        ,"A2"   ,"citrom"
"/st/snw/mango.mp3"        ,"mango"        ,"A2"   ,"mangó"
"/st/snw/melon.mp3"        ,"melon"        ,"A2"   ,"dinnye"
"/st/snw/mushroom.mp3"     ,"mushroom"     ,"A2"   ,"gomba"
"/st/snw/oil.mp3"          ,"oil"          ,"A2"   ,"olaj"
"/st/snw/onion.mp3"        ,"onion"        ,"A2"   ,"vöröshagyma"
"/st/snw/pear.mp3"         ,"pear"         ,"A2"   ,"körte"
"/st/snw/pepper.mp3"       ,"pepper"       ,"A2"   ,"bors"
"/st/snw/slice.mp3"        ,"slice"        ,"A2"   ,"szelet"
"/st/snw/toast.mp3"        ,"toast"        ,"A2"   ,"pirítós"
"/st/snw/yogurt.mp3"       ,"yogurt"       ,"A2"   ,"joghurt"
"/st/snw/boiled.mp3"       ,"boiled"       ,"A2"   ,"főtt"
"/st/snw/fresh.mp3"        ,"fresh"        ,"A2"   ,"friss"
"/st/snw/fried.mp3"        ,"fried"        ,"A2"   ,"zsírban/olajban sült"
"/st/snw/grilled.mp3"      ,"grilled"      ,"A2"   ,"grillezett, roston sült"
"/st/snw/roast.mp3"        ,"roast"        ,"A2"   ,"sült , pörkölt"
"/st/snw/thirsty.mp3"      ,"thirsty"      ,"A2"   ,"szomjas"
