"AUDIOFILE"            ,"FOREIGNWORD"                 ,"LEVEL","NATIVEWORD"
"/st/snw/sound.mp3"    ,"sound"                       ,"A2"   ,"hang"
"/st/snw/clear.mp3"    ,"clear"                       ,"A2"   ,"tiszta"
"/st/snw/loud.mp3"     ,"loud"                        ,"A2"   ,"hangos"
"/st/snw/noisy.mp3"    ,"noisy"                       ,"A2"   ,"hangos, lármás"
"/st/snw/quiet.mp3"    ,"quiet"                       ,"A2"   ,"halk, csendes"
"/st/snw/black.mp3"    ,"black"                       ,"A2"   ,"fekete"
"/st/snw/blue.mp3"     ,"blue"                        ,"A2"   ,"kék"
"/st/snw/brown.mp3"    ,"brown"                       ,"A2"   ,"barna"
"/st/snw/cream.mp3"    ,"cream"                       ,"A2"   ,"krémszín"
"/st/snw/green.mp3"    ,"green"                       ,"A2"   ,"zöld"
"/st/snw/grey.mp3"     ,"grey"                        ,"A2"   ,"szürke"
"/st/snw/orange.mp3"   ,"orange"                      ,"A2"   ,"narancsszín, narancssárga"
"/st/snw/pink.mp3"     ,"pink"                        ,"A2"   ,"rózsaszín"
"/st/snw/purple.mp3"   ,"purple"                      ,"A2"   ,"sötét lila, bíbor"
"/st/snw/red.mp3"      ,"red"                         ,"A2"   ,"piros; vörös"
"/st/snw/white.mp3"    ,"white"                       ,"A2"   ,"fehér"
"/st/snw/yellow.mp3"   ,"yellow"                      ,"A2"   ,"sárga"
"/st/snw/bright.mp3"   ,"bright"                      ,"A2"   ,"élénk"
"/st/snw/cream.mp3"    ,"cream"                       ,"A2"   ,"krémszínű"
"/st/snw/gold.mp3"     ,"gold"                        ,"A2"   ,"arany, aranyszínű"
"/st/snw/golden.mp3"   ,"golden"                      ,"A2"   ,"arany, aranyszínű"
"/st/snw/pink.mp3"     ,"pink"                        ,"A2"   ,"rózsaszínű"
"/st/snw/purple.mp3"   ,"purple"                      ,"A2"   ,"sötét lila, bíbor"
"/st/snk/r2134.mp3"    ,"pale blue/green/yellow, etc.","A2"   ,"halvány/fakó kék/zöld/sárga/stb."
"/st/snw/boil.mp3"     ,"boil"                        ,"A2"   ,"forr, felforr; forral, felforral"
"/st/snw/dry.mp3"      ,"dry"                         ,"A2"   ,"szárad, megszárad; szárít, megszárít"
"/st/snw/mix.mp3"      ,"mix"                         ,"A2"   ,"kever, összekever"
"/st/snw/air.mp3"      ,"air"                         ,"A2"   ,"levegő"
"/st/snw/gold.mp3"     ,"gold"                        ,"A2"   ,"arany"
"/st/snw/ice.mp3"      ,"ice"                         ,"A2"   ,"jég"
"/st/snw/plastic.mp3"  ,"plastic"                     ,"A2"   ,"műanyag, plasztik"
"/st/snw/silver.mp3"   ,"silver"                      ,"A2"   ,"ezüst, fémezüst"
"/st/snw/wood.mp3"     ,"wood"                        ,"A2"   ,"fa, faanyag"
