"AUDIOFILE"                ,"FOREIGNWORD"                          ,"LEVEL","NATIVEWORD"
"/st/snw/knock.mp3"        ,"knock"                                ,"B1"   ,"kopog, kopogtat"
"/st/snw/ring.mp3"         ,"ring"                                 ,"B1"   ,"cseng; csenget"
"/st/snw/shine.mp3"        ,"shine"                                ,"B1"   ,"fénylik, ragyog ; rávilágít"
"/st/snw/light.mp3"        ,"light"                                ,"B1"   ,"fény, világosság"
"/st/snw/silence.mp3"      ,"silence"                              ,"B1"   ,"csend, némaság"
"/st/snw/stripe.mp3"       ,"stripe"                               ,"B1"   ,"csík"
"/st/snw/volume.mp3"       ,"volume"                               ,"B1"   ,"hangerő, hangerősség"
"/st/snw/bold.mp3"         ,"bold"                                 ,"B1"   ,"élénk, erős ; félkövér"
"/st/snw/bright.mp3"       ,"bright"                               ,"B1"   ,"fényes, ragyogó"
"/st/snw/brilliant.mp3"    ,"brilliant"                            ,"B1"   ,"ragyogó"
"/st/snw/colourful.mp3"    ,"colourful"                            ,"B1"   ,"színes, élénk színű"
"/st/snw/deep.mp3"         ,"deep"                                 ,"B1"   ,"mély, sötét"
"/st/snw/navy_blue.mp3"    ,"navy blue"                            ,"B1"   ,"sötétkék"
"/st/snw/shiny.mp3"        ,"shiny"                                ,"B1"   ,"fényes, csillogó, ragyogó"
"/st/snw/silent.mp3"       ,"silent"                               ,"B1"   ,"hangtalan, néma"
"/st/snw/aloud.mp3"        ,"aloud"                                ,"B1"   ,"hangosan"
"/st/snw/loud.mp3"         ,"loud"                                 ,"B1"   ,"hangosan"
"/st/snw/loudly.mp3"       ,"loudly"                               ,"B1"   ,"hangosan"
"/st/snw/quietly.mp3"      ,"quietly"                              ,"B1"   ,"csendben, halkan"
"/st/snw/float.mp3"        ,"float"                                ,"B1"   ,"úszik, lebeg ; úsztat, lebegtet"
"/st/snw/flow.mp3"         ,"flow"                                 ,"B1"   ,"folyik, áramlik"
"/st/snw/pour.mp3"         ,"pour"                                 ,"B1"   ,"önt, kiönt; beönt vmit vmibe"
"/st/snw/spill.mp3"        ,"spill"                                ,"B1"   ,"kilöttyen, kiömlik; kilöttyint"
"/st/snw/stir.mp3"         ,"stir"                                 ,"B1"   ,"kever, megkever"
"/st/snw/condition.mp3"    ,"condition"                            ,"B1"   ,"állapot"
"/st/snw/drop.mp3"         ,"drop"                                 ,"B1"   ,"csepp"
"/st/snw/dust.mp3"         ,"dust"                                 ,"B1"   ,"por"
"/st/snw/iron.mp3"         ,"iron"                                 ,"B1"   ,"vas"
"/st/snw/liquid.mp3"       ,"liquid"                               ,"B1"   ,"folyadék"
"/st/snw/metal.mp3"        ,"metal"                                ,"B1"   ,"fém"
"/st/snw/mix.mp3"          ,"mix"                                  ,"B1"   ,"keverék"
"/st/snw/powder.mp3"       ,"powder"                               ,"B1"   ,"por"
"/st/snw/sand.mp3"         ,"sand"                                 ,"B1"   ,"homok"
"/st/snw/stone.mp3"        ,"stone"                                ,"B1"   ,"kő"
"/st/snw/stuff.mp3"        ,"stuff"                                ,"B1"   ,"dolog; szöveg; izé, mindenféle, holmi"
"/st/snw/damaged.mp3"      ,"damaged"                              ,"B1"   ,"károsodott"
