"AUDIOFILE"               ,"FOREIGNWORD"         ,"LEVEL","NATIVEWORD"
"/st/snw/bury.mp3"        ,"bury"                ,"B1"   ,"eltemet vkit"
"/st/snw/cough.mp3"       ,"cough"               ,"B1"   ,"köhög"
"/st/snw/ache.mp3"        ,"ache"                ,"B1"   ,"fájdalom, fájás"
"/st/snw/backache.mp3"    ,"backache"            ,"B1"   ,"hátfájás"
"/st/snw/cancer.mp3"      ,"cancer"              ,"B1"   ,"rák"
"/st/snw/cough.mp3"       ,"cough"               ,"B1"   ,"köhögés; köhintés"
"/st/snw/death.mp3"       ,"death"               ,"B1"   ,"halál; halálozás"
"/st/snw/disease.mp3"     ,"disease"             ,"B1"   ,"betegség"
"/st/snw/earache.mp3"     ,"earache"             ,"B1"   ,"fülfájás"
"/st/snw/fever.mp3"       ,"fever"               ,"B1"   ,"láz"
"/st/snw/flu.mp3"         ,"flu"                 ,"B1"   ,"influenza"
"/st/snw/heart_attack.mp3","heart attack"        ,"B1"   ,"szívroham"
"/st/snw/illness.mp3"     ,"illness"             ,"B1"   ,"betegség"
"/st/snw/blind.mp3"       ,"blind"               ,"B1"   ,"vak"
"/st/snw/deaf.mp3"        ,"deaf"                ,"B1"   ,"süket; nagyothalló"
"/st/snw/disabled.mp3"    ,"disabled"            ,"B1"   ,"rokkant, mozgássérült, testi/szellemi fogyatékos"
"/st/snw/mad.mp3"         ,"mad"                 ,"B1"   ,"őrült, bolond"
"/st/snw/painful.mp3"     ,"painful"             ,"B1"   ,"fájdalmas"
"/st/snw/sore.mp3"        ,"sore"                ,"B1"   ,"fájó, fájós, érzékeny"
"/st/snw/unhealthy.mp3"   ,"unhealthy"           ,"B1"   ,"egészségtelen ; beteg, beteges ; természetellenes"
"/st/snw/unwell.mp3"      ,"unwell"              ,"B1"   ,"nincs jól"
"/st/snk/r935.mp3"        ,"complain of sth"     ,"B1"   ,"panaszkodik  vmire"
"/st/snk/r611.mp3"        ,"be sick"             ,"B1"   ,"hány"
"/st/snk/r1260.mp3"       ,"get cancer/flu, etc.","B1"   ,"rákot/influenzát/stb. kap"
"/st/snk/r2587.mp3"       ,"suffer from sth"     ,"B1"   ,"szenved"
"/st/snw/operate.mp3"     ,"operate"             ,"B1"   ,"operál, megoperál, műt, megműt"
"/st/snw/recover.mp3"     ,"recover"             ,"B1"   ,"felépül, meggyógyul"
"/st/snw/aspirin.mp3"     ,"aspirin"             ,"B1"   ,"aszpirin"
"/st/snw/bandage.mp3"     ,"bandage"             ,"B1"   ,"kötés ; kötszer, kötözőanyag"
"/st/snw/clinic.mp3"      ,"clinic"              ,"B1"   ,"klinika"
"/st/snw/diet.mp3"        ,"diet"                ,"B1"   ,"diéta"
"/st/snw/operation.mp3"   ,"operation"           ,"B1"   ,"operáció, műtét"
