"AUDIOFILE"                ,"FOREIGNWORD"                         ,"LEVEL","NATIVEWORD"
"/st/snw/serve.mp3"        ,"serve"                               ,"B1"   ,"kiszolgál"
"/st/snw/chain.mp3"        ,"chain"                               ,"B1"   ,"lánc, láncolat"
"/st/snw/chewing_gum.mp3"  ,"chewing gum"                         ,"B1"   ,"rágógumi"
"/st/snw/choice.mp3"       ,"choice"                              ,"B1"   ,"választék"
"/st/snw/extra.mp3"        ,"extra"                               ,"B1"   ,"kiegészítő, extra"
"/st/snw/goods.mp3"        ,"goods"                               ,"B1"   ,"áru, árucikkek"
"/st/snw/label.mp3"        ,"label"                               ,"B1"   ,"árumárka; márkagyártó; márkacímke"
"/st/snw/mall.mp3"         ,"mall"                                ,"B1"   ,"bevásárlóközpont"
"/st/snw/packet.mp3"       ,"packet"                              ,"B1"   ,"csomag, doboz"
"/st/snw/quality.mp3"      ,"quality"                             ,"B1"   ,"jó minőség"
"/st/snw/salesman.mp3"     ,"salesman"                            ,"B1"   ,"eladó, kereskedelmi ügynök"
"/st/snw/saleswoman.mp3"   ,"saleswoman"                          ,"B1"   ,"eladónő"
"/st/snw/seller.mp3"       ,"seller"                              ,"B1"   ,"eladó, árus, árusító"
"/st/snw/service.mp3"      ,"service"                             ,"B1"   ,"kiszolgálás"
"/st/snw/stall.mp3"        ,"stall"                               ,"B1"   ,"árusító bódé, stand"
"/st/snw/store.mp3"        ,"store"                               ,"B1"   ,"áruház"
"/st/snw/tube.mp3"         ,"tube"                                ,"B1"   ,"tubus"
"/st/snw/quality.mp3"      ,"quality"                             ,"B1"   ,"minőségi, jó minőségű, márkás"
"/st/snw/second-hand.mp3"  ,"second-hand"                         ,"B1"   ,"használt, másodkézből származó; használtan, másodkézből"
"/st/snw/self-service.mp3" ,"self-service"                        ,"B1"   ,"önkiszolgáló"
"/st/snw/shut.mp3"         ,"shut"                                ,"B1"   ,"be van zárva"
"/st/snw/out.mp3"          ,"out"                                 ,"B1"   ,"megjelenik, kiadják"
"/st/snk/r251.mp3"         ,"a wide range/selection/variety, etc.","B1"   ,"széles/tág tartomány/választék/változatosság/stb."
"/st/snk/r2053.mp3"        ,"on sale"                             ,"B1"   ,"kapható"
"/st/snw/charge.mp3"       ,"charge"                              ,"B1"   ,"felszámít, kér"
