"AUDIOFILE"               ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/babysit.mp3"     ,"babysit"                            ,"B1"   ,"gyerekre vigyáz a szülők távollétében"
"/st/snw/marry.mp3"       ,"marry"                              ,"B1"   ,"összeházasodik; megnősül, feleségül vesz; férjhez megy"
"/st/snw/babysitter.mp3"  ,"babysitter"                         ,"B1"   ,"bébiszitter"
"/st/snw/birth.mp3"       ,"birth"                              ,"B1"   ,"születés, szülés"
"/st/snw/bride.mp3"       ,"bride"                              ,"B1"   ,"menyasszony"
"/st/snw/family.mp3"      ,"family"                             ,"B1"   ,"gyerekek"
"/st/snw/groom.mp3"       ,"groom"                              ,"B1"   ,"vőlegény"
"/st/snw/honeymoon.mp3"   ,"honeymoon"                          ,"B1"   ,"nászút"
"/st/snw/marriage.mp3"    ,"marriage"                           ,"B1"   ,"házasság; házasságkötés"
"/st/snw/nephew.mp3"      ,"nephew"                             ,"B1"   ,"unokaöcs"
"/st/snw/niece.mp3"       ,"niece"                              ,"B1"   ,"unokahúg, unokanővér"
"/st/snw/relation.mp3"    ,"relation"                           ,"B1"   ,"rokon"
"/st/snw/relative.mp3"    ,"relative"                           ,"B1"   ,"rokon"
"/st/snw/twin.mp3"        ,"twin"                               ,"B1"   ,"iker, ikertestvér; iker-"
"/st/snw/wedding.mp3"     ,"wedding"                            ,"B1"   ,"esküvő"
"/st/snw/close_adj.mp3"   ,"close"                              ,"B1"   ,"közeli"
"/st/snw/engaged.mp3"     ,"engaged"                            ,"B1"   ,"jegyes, jegyese vkinek"
"/st/snw/pregnant.mp3"    ,"pregnant"                           ,"B1"   ,"terhes, állapotos ; vemhes"
"/st/snk/r756.mp3"        ,"bring up ↔ sb"                      ,"B1"   ,"felnevel  vkit"
"/st/snk/r1081.mp3"       ,"elder sister/brother/son/daughter"  ,"B1"   ,"idősebb lánytestvér/fiútestvér/fia/lánya"
"/st/snk/r1082.mp3"       ,"eldest child/brother/daughter, etc.","B1"   ,"legidősebb gyerek/fiútestvér/lány"
"/st/snk/r2452.mp3"       ,"single parent"                      ,"B1"   ,"gyerekeket egyedül nevelő szülő"
"/st/snk/r2608.mp3"       ,"take care of sb/sth"                ,"B1"   ,"gondoskodik"
"/st/snw/accompany.mp3"   ,"accompany"                          ,"B1"   ,"kísér, elkísér vkit vhova"
"/st/snw/know.mp3"        ,"know"                               ,"B1"   ,"ismer vkit/vmit"
"/st/snw/meet.mp3"        ,"meet"                               ,"B1"   ,"kimegy vki elé, vár vkit vhol"
"/st/snw/meet.mp3"        ,"meet"                               ,"B1"   ,"találkoznak, összejönnek"
"/st/snw/bunch.mp3"       ,"bunch"                              ,"B1"   ,"banda, csapat"
"/st/snw/contact.mp3"     ,"contact"                            ,"B1"   ,"kapcsolat"
"/st/snw/friendship.mp3"  ,"friendship"                         ,"B1"   ,"barátság, baráti viszony"
"/st/snw/girlfriend.mp3"  ,"girlfriend"                         ,"B1"   ,"barátnő"
"/st/snw/mate.mp3"        ,"mate"                               ,"B1"   ,"cimbora; -társ"
"/st/snw/relationship.mp3","relationship"                       ,"B1"   ,"kapcsolat, viszony"
