"AUDIOFILE"                ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/form.mp3"         ,"form"                               ,"B1"   ,"alakít, készít ; alkot, képez"
"/st/snw/give.mp3"         ,"give"                               ,"B1"   ,"tesz/csinál vmit"
"/st/snw/handle.mp3"       ,"handle"                             ,"B1"   ,"bánik vkivel/vmivel, kezel vmit/vkit"
"/st/snw/have.mp3"         ,"have"                               ,"B1"   ,"vmilyen állapotba hoz"
"/st/snw/take.mp3"         ,"take"                               ,"B1"   ,"csinál vmit"
"/st/snw/do.mp3"           ,"do"                                 ,"B1"   ,"segédige az ige ismétlése helyett"
"/st/snw/would.mp3"        ,"would"                              ,"B1"   ,"-na, -ne, -ná, -né"
"/st/snw/would.mp3"        ,"would"                              ,"B1"   ,""
"/st/snw/of.mp3"           ,"of"                                 ,"B1"   ,"-ja, -je"
"/st/snk/r831.mp3"         ,"carry out ↔ sth"                    ,"B1"   ,"végrehajt; végez, elvégez    vmivel vmit"
"/st/snk/r985.mp3"         ,"deal with sth"                      ,"B1"   ,"foglalkozik ; intéz, elintéz    vmivel vmit"
"/st/snk/r1261.mp3"        ,"get caught/killed/told off, etc."   ,"B1"   ,"elkapták/megölték/lehordták/stb."
"/st/snk/r1290.mp3"        ,"get sth painted/repaired, etc."     ,"B1"   ,"lefestet/megjavíttat/stb., elvégez/elvégeztet"
"/st/snk/r1442.mp3"        ,"have sth cleaned/cut/repaired, etc.","B1"   ,"megtisztíttat/levágat/megjavíttat"
"/st/snk/r90.mp3"          ,"I/we shall..."                      ,"B1"   ,"fogok/fogunk"
"/st/snw/catch.mp3"        ,"catch"                              ,"B1"   ,"elkap, nyakon csíp"
"/st/snw/cover.mp3"        ,"cover"                              ,"B1"   ,"borít, beborít"
"/st/snw/drop.mp3"         ,"drop"                               ,"B1"   ,"leejt, elejt; leesik"
"/st/snw/fold.mp3"         ,"fold"                               ,"B1"   ,"összehajt, összehajtogat"
"/st/snw/grab.mp3"         ,"grab"                               ,"B1"   ,"megmarkol, megragad vmit"
"/st/snw/have.mp3"         ,"have"                               ,"B1"   ,"tart vmit vhol; vele/nála van vmi/vki"
"/st/snw/hold.mp3"         ,"hold"                               ,"B1"   ,"tart vmit vhol/vhogyan"
"/st/snw/hug.mp3"          ,"hug"                                ,"B1"   ,"átölel; magához szorít"
"/st/snw/lift.mp3"         ,"lift"                               ,"B1"   ,"emel, felemel"
"/st/snw/press.mp3"        ,"press"                              ,"B1"   ,"nyom, megnyom vmit; szorít vmit vmihez; présel"
"/st/snw/push.mp3"         ,"push"                               ,"B1"   ,"megnyom vmit"
"/st/snw/raise.mp3"        ,"raise"                              ,"B1"   ,"felemel"
"/st/snw/shake.mp3"        ,"shake"                              ,"B1"   ,"ráz, megráz; rázkódik, megrázkódik"
"/st/snw/take.mp3"         ,"take"                               ,"B1"   ,"fog, megfog vmit; átvesz vmit vkitől"
"/st/snw/touch.mp3"        ,"touch"                              ,"B1"   ,"érint, megérint; hozzányúl"
"/st/snw/wrap.mp3"         ,"wrap"                               ,"B1"   ,"csomagol, becsomagol, göngyöl, begöngyöl vmibe"
"/st/snw/hug.mp3"          ,"hug"                                ,"B1"   ,"ölelés"
"/st/snw/push.mp3"         ,"push"                               ,"B1"   ,"lökés, nyomás"
"/st/snw/off.mp3"          ,"off"                                ,"B1"   ,"el; le"
"/st/snk/r2221.mp3"        ,"put away ↔ sth"                     ,"B1"   ,"eltesz, helyére tesz    vkit/vmit"
"/st/snk/r2222.mp3"        ,"put back ↔ sth"                     ,"B1"   ,"visszatesz, helyére tesz    vkit/vmit"
"/st/snk/r2224.mp3"        ,"put down ↔ sb/sth"                  ,"B1"   ,"letesz    vkit/vmit"
"/st/snk/r2245.mp3"        ,"put up ↔ sth"                       ,"B1"   ,"feltart, felemel; feltesz, felakaszt    vkit/vmit"
