"AUDIOFILE"               ,"FOREIGNWORD"                         ,"LEVEL","NATIVEWORD"
"/st/snw/either.mp3"      ,"either"                              ,"B1"   ,"sem; nem is"
"/st/snw/if.mp3"          ,"if"                                  ,"B1"   ,"ha, amikor, valahányszor"
"/st/snw/if.mp3"          ,"if"                                  ,"B1"   ,"ha"
"/st/snw/if.mp3"          ,"if"                                  ,"B1"   ,"hogy  ... -e"
"/st/snw/unless.mp3"      ,"unless"                              ,"B1"   ,"ha nem, hacsak nem"
"/st/snw/whether.mp3"     ,"whether"                             ,"B1"   ,"vajon, hogy ... -e"
"/st/snk/r996.mp3"        ,"depend on/upon sb/sth"               ,"B1"   ,"függ  vkitől/vmitől"
"/st/snk/r358.mp3"        ,"as/so long as"                       ,"B1"   ,"amennyiben; feltéve"
"/st/snk/r1512.mp3"       ,"in addition (to)"                    ,"B1"   ,"azonkívül még"
"/st/snk/r1526.mp3"       ,"in case of sth"                      ,"B1"   ,"esetén/esetére"
"/st/snk/r1661.mp3"       ,"it/that depends"                     ,"B1"   ,"attól függ"
"/st/snk/r29.mp3"         ,"(just) in case"                      ,"B1"   ,"arra az esetre ha netalán ...; minden eshetőségre felkészülve"
"/st/snk/r1985.mp3"       ,"not even"                            ,"B1"   ,"még akkor sem; még a ... sem"
"/st/snk/r2478.mp3"       ,"so did we/so have I/so is mine, etc.","B1"   ,"mi/nekem/az enyém/stb. is/szintén"
"/st/snk/r111.mp3"        ,"What if ...?"                        ,"B1"   ,"mi lenne ha?; mi lesz ha?; és ha ...?"
"/st/snw/otherwise.mp3"   ,"otherwise"                           ,"B1"   ,"különben, máskülönben"
"/st/snw/still.mp3"       ,"still"                               ,"B1"   ,"mégis, mindazonáltal, ennek ellenére/dacára"
"/st/snw/despite.mp3"     ,"despite"                             ,"B1"   ,"ellenére"
"/st/snw/although.mp3"    ,"although"                            ,"B1"   ,"de, bár, habár"
"/st/snw/although.mp3"    ,"although"                            ,"B1"   ,"bár, habár"
"/st/snw/but.mp3"         ,"but"                                 ,"B1"   ,"de, azonban"
"/st/snw/plus.mp3"        ,"plus"                                ,"B1"   ,"valamint, és még"
"/st/snw/though.mp3"      ,"though"                              ,"B1"   ,"bár, noha"
"/st/snw/while.mp3"       ,"while"                               ,"B1"   ,"míg ellenben"
"/st/snw/yet.mp3"         ,"yet"                                 ,"B1"   ,"mégis, de"
"/st/snk/r387.mp3"        ,"at least"                            ,"B1"   ,"legalább"
"/st/snk/r387.mp3"        ,"at least"                            ,"B1"   ,"legalább"
"/st/snk/r1080.mp3"       ,"either... or"                        ,"B1"   ,"vagy ... vagy ..."
"/st/snk/r1104.mp3"       ,"except that"                         ,"B1"   ,"csak ..., de ..."
"/st/snk/r1591.mp3"       ,"in spite of sth"                     ,"B1"   ,"ellenére"
"/st/snk/r3008.mp3"       ,"whether... or"                       ,"B1"   ,"akár ..., akár ..."
"/st/snw/give.mp3"        ,"give"                                ,"B1"   ,"kivált vkiből vmit , előidéz/okoz vmt"
"/st/snw/make.mp3"        ,"make"                                ,"B1"   ,"vmilyenné tesz, vmilyen érzelmet/reakciót vált ki vkiben, okoz"
"/st/snw/mean.mp3"        ,"mean"                                ,"B1"   ,"jelent vmit"
"/st/snw/effect.mp3"      ,"effect"                              ,"B1"   ,"eredmény, hatás, következmény"
"/st/snw/method.mp3"      ,"method"                              ,"B1"   ,"mód, módszer"
"/st/snw/purpose.mp3"     ,"purpose"                             ,"B1"   ,"cél, rendeltetés"
"/st/snw/result.mp3"      ,"result"                              ,"B1"   ,"eredmény, következmény"
"/st/snw/as.mp3"          ,"as"                                  ,"B1"   ,"valamiként, valakiként"
"/st/snw/somehow.mp3"     ,"somehow"                             ,"B1"   ,"valahogy, valahogyan"
"/st/snw/specially.mp3"   ,"specially"                           ,"B1"   ,"külön, kifejezetten ; különösen, különösképpen"
"/st/snw/therefore.mp3"   ,"therefore"                           ,"B1"   ,"következésképpen"
"/st/snw/why.mp3"         ,"why"                                 ,"B1"   ,"miért;  amiért"
"/st/snw/because_of.mp3"  ,"because of"                          ,"B1"   ,"miatt"
"/st/snw/of.mp3"          ,"of"                                  ,"B1"   ,"-ban, -ben"
"/st/snw/on.mp3"          ,"on"                                  ,"B1"   ,"-on, -en, -ön"
