"AUDIOFILE"               ,"FOREIGNWORD"                                   ,"LEVEL","NATIVEWORD"
"/st/snw/compare.mp3"     ,"compare"                                       ,"B1"   ,"összehasonlít"
"/st/snw/worst.mp3"       ,"worst"                                         ,"B1"   ,"legrosszabb"
"/st/snw/bad.mp3"         ,"bad"                                           ,"B1"   ,"súlyos, komoly"
"/st/snw/complete.mp3"    ,"complete"                                      ,"B1"   ,"teljes"
"/st/snw/full.mp3"        ,"full"                                          ,"B1"   ,"teljes, teli, maximális"
"/st/snw/gentle.mp3"      ,"gentle"                                        ,"B1"   ,"szelíd, könnyű"
"/st/snw/great.mp3"       ,"great"                                         ,"B1"   ,"rendkívüli"
"/st/snw/heavy.mp3"       ,"heavy"                                         ,"B1"   ,"nagy, erős, súlyos"
"/st/snw/serious.mp3"     ,"serious"                                       ,"B1"   ,"súlyos, komoly"
"/st/snw/soft.mp3"        ,"soft"                                          ,"B1"   ,"lágy, szelíd, halk"
"/st/snw/strong.mp3"      ,"strong"                                        ,"B1"   ,"erős, erőteljes"
"/st/snw/unbelievable.mp3","unbelievable"                                  ,"B1"   ,"hihetetlen"
"/st/snw/absolutely.mp3"  ,"absolutely"                                    ,"B1"   ,"teljesen, abszolút"
"/st/snw/any.mp3"         ,"any"                                           ,"B1"   ,"valamennyire, valamivel, egyáltalán"
"/st/snw/best.mp3"        ,"best"                                          ,"B1"   ,"legjobban"
"/st/snw/completely.mp3"  ,"completely"                                    ,"B1"   ,"teljesen"
"/st/snw/extremely.mp3"   ,"extremely"                                     ,"B1"   ,"különlegesen"
"/st/snw/fairly.mp3"      ,"fairly"                                        ,"B1"   ,"eléggé"
"/st/snw/fully.mp3"       ,"fully"                                         ,"B1"   ,"teljesen, teljes egészében"
"/st/snw/half.mp3"        ,"half"                                          ,"B1"   ,"félig, részben, felerészben"
"/st/snw/hard.mp3"        ,"hard"                                          ,"B1"   ,"keményen, erősen"
"/st/snw/hardly.mp3"      ,"hardly"                                        ,"B1"   ,"alig"
"/st/snw/heavily.mp3"     ,"heavily"                                       ,"B1"   ,"erősen, nehezen, súlyosan"
"/st/snw/just.mp3"        ,"just"                                          ,"B1"   ,"alig, épphogy, éppen hogy"
"/st/snw/just.mp3"        ,"just"                                          ,"B1"   ,"pont, pontosan, épp, éppen"
"/st/snw/least.mp3"       ,"least"                                         ,"B1"   ,"legkevésbé"
"/st/snw/lightly.mp3"     ,"lightly"                                       ,"B1"   ,"könnyedén, lágyan"
"/st/snw/mainly.mp3"      ,"mainly"                                        ,"B1"   ,"főleg, nagyrészt"
"/st/snw/mostly.mp3"      ,"mostly"                                        ,"B1"   ,"többnyire"
"/st/snw/much.mp3"        ,"much"                                          ,"B1"   ,"nagyon; sokszor"
"/st/snw/much.mp3"        ,"much"                                          ,"B1"   ,"sokkal -bb"
"/st/snw/particularly.mp3","particularly"                                  ,"B1"   ,"különösen; nagyon, nagymértékben"
"/st/snw/partly.mp3"      ,"partly"                                        ,"B1"   ,"részben"
"/st/snw/pretty.mp3"      ,"pretty"                                        ,"B1"   ,"meglehetősen, elég, eléggé"
"/st/snw/quite.mp3"       ,"quite"                                         ,"B1"   ,"egészen, teljesen"
"/st/snw/rather.mp3"      ,"rather"                                        ,"B1"   ,"elég, eléggé"
"/st/snw/seriously.mp3"   ,"seriously"                                     ,"B1"   ,"komolyan; súlyosan"
"/st/snw/softly.mp3"      ,"softly"                                        ,"B1"   ,"halkan, lágyan, szelíden"
"/st/snw/terribly.mp3"    ,"terribly"                                      ,"B1"   ,"szörnyen, borzasztóan, iszonyatosan"
"/st/snw/totally.mp3"     ,"totally"                                       ,"B1"   ,"teljesen, egészen"
"/st/snw/worse.mp3"       ,"worse"                                         ,"B1"   ,"rosszabbul"
"/st/snw/to.mp3"          ,"to"                                            ,"B1"   ,"vmihez képest"
"/st/snk/r1306.mp3"       ,"get worse"                                     ,"B1"   ,"rosszabbodik"
"/st/snk/r1544.mp3"       ,"in full"                                       ,"B1"   ,"teljes egészében"
"/st/snk/r1668.mp3"       ,"just about"                                    ,"B1"   ,"körülbelül, nagyjából; majdnem"
"/st/snk/r1670.mp3"       ,"just as bad/good/tall/clever, etc. (as sb/sth)","B1"   ,"ugyanolyan rossz/jó/magas/okos/stb."
"/st/snk/r2697.mp3"       ,"the best"                                      ,"B1"   ,"a legjobb"
