"AUDIOFILE"              ,"FOREIGNWORD"       ,"LEVEL","NATIVEWORD"
"/st/snw/object_noun.mp3","object"            ,"B1"   ,"tárgy, dolog"
"/st/snw/anybody.mp3"    ,"anybody"           ,"B1"   ,"bárki, akárki"
"/st/snw/anyone.mp3"     ,"anyone"            ,"B1"   ,"bárki, akárki"
"/st/snw/none.mp3"       ,"none"              ,"B1"   ,"semennyi, semmi; egyik sem, egyikük sem"
"/st/snw/that.mp3"       ,"that"              ,"B1"   ,"ami, amely"
"/st/snw/we.mp3"         ,"we"                ,"B1"   ,"mi"
"/st/snw/what.mp3"       ,"what"              ,"B1"   ,"ami, amit"
"/st/snw/whatever.mp3"   ,"whatever"          ,"B1"   ,"akármi, bármi; akármit, bármit"
"/st/snw/which.mp3"      ,"which"             ,"B1"   ,"amely, amelyik, ami"
"/st/snw/who.mp3"        ,"who"               ,"B1"   ,"aki, akik"
"/st/snw/certain.mp3"    ,"certain"           ,"B1"   ,"egy bizonyos"
"/st/snw/all.mp3"        ,"all"               ,"B1"   ,"mindössze, mindaz"
"/st/snw/either.mp3"     ,"either"            ,"B1"   ,"egyik, akármelyik, bármelyik"
"/st/snw/other.mp3"      ,"other"             ,"B1"   ,"más, másik, egyéb"
"/st/snk/r315.mp3"       ,"and all that"      ,"B1"   ,"és más hasonlók"
"/st/snk/r2106.mp3"      ,"others"            ,"B1"   ,"mások"
"/st/snk/r2680.mp3"      ,"that kind of thing","B1"   ,"ilyesmi"
"/st/snw/own.mp3"        ,"own"               ,"B1"   ,"birtokol, tulajdonában van vmi"
"/st/snw/owner.mp3"      ,"owner"             ,"B1"   ,"tulajdonos"
"/st/snw/property.mp3"   ,"property"          ,"B1"   ,"tulajdon; holmi"
"/st/snw/one_another.mp3","one another"       ,"B1"   ,"egymás, egymást, egymással, stb."
"/st/snw/them.mp3"       ,"them"              ,"B1"   ,""
"/st/snw/they.mp3"       ,"they"              ,"B1"   ,""
"/st/snw/whose.mp3"      ,"whose"             ,"B1"   ,"kié? kiké? kinek a, kiknek a"
"/st/snw/the.mp3"        ,"the"               ,"B1"   ,"a, az"
"/st/snw/their.mp3"      ,"their"             ,"B1"   ,""
"/st/snw/whose.mp3"      ,"whose"             ,"B1"   ,"kié? kiké?; kinek a, kiknek a"
"/st/snw/whose.mp3"      ,"whose"             ,"B1"   ,"akinek/akiknek/aminek/amiknek a ...; akié, amié, akiké, amiké"
"/st/snw/your.mp3"       ,"your"              ,"B1"   ,"az ember vmije"
"/st/snk/r4.mp3"         ,"(all) on your own" ,"B1"   ,"önállóan"
"/st/snk/r4.mp3"         ,"(all) on your own" ,"B1"   ,"egyedül"
"/st/snk/r22.mp3"        ,"(by) itself"       ,"B1"   ,"magától, önmagától, automatikusan; önállóan"
"/st/snk/r2023.mp3"      ,"of your own"       ,"B1"   ,"saját"
