"AUDIOFILE"             ,"FOREIGNWORD"                                 ,"LEVEL","NATIVEWORD"
"/st/snw/age.mp3"       ,"age"                                         ,"B1"   ,"kor, korszak"
"/st/snw/fortnight.mp3" ,"fortnight"                                   ,"B1"   ,"két hét"
"/st/snw/season.mp3"    ,"season"                                      ,"B1"   ,"évszak"
"/st/snw/season.mp3"    ,"season"                                      ,"B1"   ,"időszak, idény, évad, szezon"
"/st/snw/session.mp3"   ,"session"                                     ,"B1"   ,"idő/időtartam; ülés, ülésszak"
"/st/snw/time.mp3"      ,"time"                                        ,"B1"   ,"idő, az ideje vminek"
"/st/snw/date.mp3"      ,"date"                                        ,"B1"   ,"keltez, dátumoz"
"/st/snw/future.mp3"    ,"future"                                      ,"B1"   ,"jövő"
"/st/snw/moment.mp3"    ,"moment"                                      ,"B1"   ,"pillanat"
"/st/snw/future.mp3"    ,"future"                                      ,"B1"   ,"leendő, későbbi"
"/st/snw/past.mp3"      ,"past"                                        ,"B1"   ,"múlt, elmúlt, régi"
"/st/snw/past.mp3"      ,"past"                                        ,"B1"   ,"az elmúlt"
"/st/snw/recent.mp3"    ,"recent"                                      ,"B1"   ,"nem régi, közelmúltbeli"
"/st/snw/ahead.mp3"     ,"ahead"                                       ,"B1"   ,"előtt, előre"
"/st/snw/lately.mp3"    ,"lately"                                      ,"B1"   ,"mostanában, az utóbbi időben"
"/st/snw/nowadays.mp3"  ,"nowadays"                                    ,"B1"   ,"mostanában"
"/st/snw/once.mp3"      ,"once"                                        ,"B1"   ,"azelőtt, egykor"
"/st/snw/only.mp3"      ,"only"                                        ,"B1"   ,"csak"
"/st/snw/recently.mp3"  ,"recently"                                    ,"B1"   ,"nemrég; mostanában, az utóbbi időben"
"/st/snw/whenever.mp3"  ,"whenever"                                    ,"B1"   ,"akármikor, bármikor"
"/st/snk/r38.mp3"       ,"2/3/4, etc. o'clock in the morning"          ,"B1"   ,"hajnali 2/3/4/stb. óra"
"/st/snk/r391.mp3"      ,"at present"                                  ,"B1"   ,"jelenleg"
"/st/snk/r687.mp3"      ,"before/after dark"                           ,"B1"   ,"sötétedés előtt/után"
"/st/snk/r1503.mp3"     ,"in a day's/two months', etc. time"           ,"B1"   ,"egy nap/két hónap/stb. múlva"
