"AUDIOFILE"                ,"FOREIGNWORD"                                 ,"LEVEL","NATIVEWORD"
"/st/snw/check.mp3"        ,"check"                                       ,"B1"   ,"megérdeklődik, megtudakol, kiderít vmit; megbizonyosodik vmiről"
"/st/snw/mean.mp3"         ,"mean"                                        ,"B1"   ,"úgy érti ; azt akarja mondani"
"/st/snw/name.mp3"         ,"name"                                        ,"B1"   ,"megnevez, nevén nevez"
"/st/snw/reply.mp3"        ,"reply"                                       ,"B1"   ,"válaszol"
"/st/snw/comment.mp3"      ,"comment"                                     ,"B1"   ,"megjegyzés, észrevétel"
"/st/snw/communication.mp3","communication"                               ,"B1"   ,"kommunikáció"
"/st/snw/description.mp3"  ,"description"                                 ,"B1"   ,"leírás"
"/st/snw/detail.mp3"       ,"detail"                                      ,"B1"   ,"részlet"
"/st/snw/enquiry.mp3"      ,"enquiry"                                     ,"B1"   ,"érdeklődés, tudakozódás"
"/st/snw/inquiry.mp3"      ,"inquiry"                                     ,"B1"   ,"érdeklődés, tudakozódás"
"/st/snw/reply.mp3"        ,"reply"                                       ,"B1"   ,"válasz"
"/st/snw/general.mp3"      ,"general"                                     ,"B1"   ,"általános"
"/st/snw/in.mp3"           ,"in"                                          ,"B1"   ,"vmilyen módon kifejezve/beszélve/írva"
"/st/snk/r551.mp3"         ,"be known as sth"                             ,"B1"   ,"néven ismert  vmilyen   vkivel/vmivel vmiről/vkiről"
"/st/snk/r1535.mp3"        ,"in detail"                                   ,"B1"   ,"részletesen, alaposan  vmilyen   vkivel/vmivel vmiről/vkiről"
"/st/snk/r110.mp3"         ,"What about ...?"                             ,"B1"   ,"mi van ? mi a véleményed ?  vmilyen   vkivel/vmivel vmiről/vkiről"
"/st/snw/announce.mp3"     ,"announce"                                    ,"B1"   ,"bejelent, kihirdet vmit; határozottan közöl"
"/st/snw/communicate.mp3"  ,"communicate"                                 ,"B1"   ,"közöl"
"/st/snw/hide.mp3"         ,"hide"                                        ,"B1"   ,"eltitkol"
"/st/snw/inform.mp3"       ,"inform"                                      ,"B1"   ,"tájékoztat, értesít"
"/st/snw/inform.mp3"       ,"inform"                                      ,"B1"   ,"tájékoztat, informál"
"/st/snw/say.mp3"          ,"say"                                         ,"B1"   ,"azt mondják ..."
"/st/snw/announcement.mp3" ,"announcement"                                ,"B1"   ,"közlemény, bejelentés, hirdetmény"
"/st/snw/mystery.mp3"      ,"mystery"                                     ,"B1"   ,"rejtély"
"/st/snw/notice.mp3"       ,"notice"                                      ,"B1"   ,"előzetes értesítés, figyelmeztetés"
"/st/snw/secret.mp3"       ,"secret"                                      ,"B1"   ,"titok"
"/st/snw/secret.mp3"       ,"secret"                                      ,"B1"   ,"titkos"
"/st/snw/secretly.mp3"     ,"secretly"                                    ,"B1"   ,"titokban"
"/st/snk/r1456.mp3"        ,"hear from sb"                                ,"B1"   ,"hírt kap  vkitől"
"/st/snk/r2141.mp3"        ,"pass on ↔ sth"                               ,"B1"   ,"átad továbbad  vkitől"
"/st/snk/r1683.mp3"        ,"keep a/sth secret"                           ,"B1"   ,"titkot tart/titokban tart  vmit"
"/st/snw/add.mp3"          ,"add"                                         ,"B1"   ,"hozzátesz vmit"
"/st/snw/cover.mp3"        ,"cover"                                       ,"B1"   ,"kiterjed vmire, foglalkozik vmivel"
"/st/snw/interrupt.mp3"    ,"interrupt"                                   ,"B1"   ,"félbeszakít"
"/st/snw/mention.mp3"      ,"mention"                                     ,"B1"   ,"említ, megemlít"
"/st/snw/repeat.mp3"       ,"repeat"                                      ,"B1"   ,"továbbmond"
"/st/snw/say.mp3"          ,"say"                                         ,"B1"   ,"mond, elmond, megmond"
"/st/snw/issue.mp3"        ,"issue"                                       ,"B1"   ,"pont, vitapont, kérdés"
"/st/snw/speech.mp3"       ,"speech"                                      ,"B1"   ,"beszéd; beszédképesség"
"/st/snw/subject_noun.mp3" ,"subject"                                     ,"B1"   ,"téma, tárgy, tárgykör"
"/st/snw/talk.mp3"         ,"talk"                                        ,"B1"   ,"beszélgetés, társalgás; tárgyalás"
"/st/snw/topic.mp3"        ,"topic"                                       ,"B1"   ,"téma, tárgy"
"/st/snw/on.mp3"           ,"on"                                          ,"B1"   ,"-ról, -ről"
"/st/snk/r845.mp3"         ,"catch up with sb"                            ,"B1"   ,"utolér  vkit"
"/st/snk/r1983.mp3"        ,"not believe/understand/hear/say, etc. a word","B1"   ,"nem hisz/ért/hall//mond/stb. egy szót sem   vmiről"
"/st/snk/r2500.mp3"        ,"speak about/of sth"                          ,"B1"   ,"beszél   vmiről"
"/st/snw/circle.mp3"       ,"circle"                                      ,"B1"   ,"bekarikáz"
"/st/snw/say.mp3"          ,"say"                                         ,"B1"   ,"mutat, jelöl"
"/st/snw/take.mp3"         ,"take"                                        ,"B1"   ,"lejegyez, feljegyez"
"/st/snw/tick.mp3"         ,"tick"                                        ,"B1"   ,"kipipál"
"/st/snw/turn.mp3"         ,"turn"                                        ,"B1"   ,"fordít, lapoz"
"/st/snw/underline.mp3"    ,"underline"                                   ,"B1"   ,"aláhúz"
"/st/snw/card.mp3"         ,"card"                                        ,"B1"   ,"kártya"
"/st/snw/chapter.mp3"      ,"chapter"                                     ,"B1"   ,"fejezet"
"/st/snw/contents.mp3"     ,"contents"                                    ,"B1"   ,"tartalom"
"/st/snw/correction.mp3"   ,"correction"                                  ,"B1"   ,"javítás, helyesbítés"
"/st/snw/cover.mp3"        ,"cover"                                       ,"B1"   ,"borítólap, címlap"
"/st/snw/diagram.mp3"      ,"diagram"                                     ,"B1"   ,"ábra; grafikon, diagram"
"/st/snw/entry.mp3"        ,"entry"                                       ,"B1"   ,"bejegyzés"
"/st/snw/handwriting.mp3"  ,"handwriting"                                 ,"B1"   ,"kézírás"
"/st/snw/label.mp3"        ,"label"                                       ,"B1"   ,"címke"
"/st/snw/line.mp3"         ,"line"                                        ,"B1"   ,"sor"
"/st/snw/noticeboard.mp3"  ,"noticeboard"                                 ,"B1"   ,"hirdetőtábla"
