"AUDIOFILE"                   ,"FOREIGNWORD"     ,"LEVEL","NATIVEWORD"
"/st/snw/learn.mp3"           ,"learn"           ,"B1"   ,"kívülről/szóról szóra megtanul"
"/st/snw/revise.mp3"          ,"revise"          ,"B1"   ,"ismétel"
"/st/snw/take.mp3"            ,"take"            ,"B1"   ,"vizsgára készül/tanul, vizsgázik vmiből"
"/st/snw/test.mp3"            ,"test"            ,"B1"   ,"tesztel, felmér"
"/st/snw/candidate.mp3"       ,"candidate"       ,"B1"   ,"vizsgázó"
"/st/snw/composition.mp3"     ,"composition"     ,"B1"   ,"fogalmazás"
"/st/snw/curriculum.mp3"      ,"curriculum"      ,"B1"   ,"tanterv"
"/st/snw/education.mp3"       ,"education"       ,"B1"   ,"oktatás; nevelés"
"/st/snw/essay.mp3"           ,"essay"           ,"B1"   ,"fogalmazás, rövid értekezés, esszé"
"/st/snw/examiner.mp3"        ,"examiner"        ,"B1"   ,"vizsgáztató"
"/st/snw/exchange.mp3"        ,"exchange"        ,"B1"   ,"diákcsere, cseretanulmány"
"/st/snw/grade.mp3"           ,"grade"           ,"B1"   ,"osztályzat"
"/st/snw/period.mp3"          ,"period"          ,"B1"   ,"óra"
"/st/snw/result.mp3"          ,"result"          ,"B1"   ,"eredmény"
"/st/snw/revision.mp3"        ,"revision"        ,"B1"   ,"ismétlés ; átdolgozás"
"/st/snw/teaching.mp3"        ,"teaching"        ,"B1"   ,"tanítás; tanári pálya"
"/st/snw/training.mp3"        ,"training"        ,"B1"   ,"kiképzés, betanítás"
"/st/snw/elementary.mp3"      ,"elementary"      ,"B1"   ,"alap-, kezdő; alapfokú"
"/st/snw/intermediate.mp3"    ,"intermediate"    ,"B1"   ,"középszintű, középhaladó ; közbeeső"
"/st/snw/architecture.mp3"    ,"architecture"    ,"B1"   ,"építészet ; építőművészet"
"/st/snw/degree.mp3"          ,"degree"          ,"B1"   ,"diploma"
"/st/snw/economics.mp3"       ,"economics"       ,"B1"   ,"közgazdaságtan"
"/st/snw/engineering.mp3"     ,"engineering"     ,"B1"   ,"mérnöki munka; mérnöki tudományok"
"/st/snw/form.mp3"            ,"form"            ,"B1"   ,"osztály"
"/st/snw/gym.mp3"             ,"gym"             ,"B1"   ,"tornaterem"
"/st/snw/gym.mp3"             ,"gym"             ,"B1"   ,"torna"
"/st/snw/ink.mp3"             ,"ink"             ,"B1"   ,"tinta; nyomdafesték"
"/st/snw/law.mp3"             ,"law"             ,"B1"   ,"jog"
"/st/snw/lecture.mp3"         ,"lecture"         ,"B1"   ,"előadás"
"/st/snw/medicine.mp3"        ,"medicine"        ,"B1"   ,"orvostudomány"
"/st/snw/place.mp3"           ,"place"           ,"B1"   ,"hely, pozíció"
"/st/snw/primary_school.mp3"  ,"primary school"  ,"B1"   ,"általános iskola alsó tagozata"
"/st/snw/professor.mp3"       ,"professor"       ,"B1"   ,"professzor; egyetemei/főiskolai tanár"
"/st/snw/reader.mp3"          ,"reader"          ,"B1"   ,"olvasókönyv"
"/st/snw/rule.mp3"            ,"rule"            ,"B1"   ,"szabály"
"/st/snw/science.mp3"         ,"science"         ,"B1"   ,"tudomány, tudományág"
"/st/snw/scientist.mp3"       ,"scientist"       ,"B1"   ,"tudós, természettudós"
"/st/snw/secondary_school.mp3","secondary school","B1"   ,"középiskola"
"/st/snw/scientific.mp3"      ,"scientific"      ,"B1"   ,"tudományos, természettudományos; tudományos, módszeres"
"/st/snw/secondary.mp3"       ,"secondary"       ,"B1"   ,"középiskolai"
"/st/snw/in.mp3"              ,"in"              ,"B1"   ,"-ban, -ben"
"/st/snk/r745.mp3"            ,"break up"        ,"B1"   ,"befejeződik"
