"AUDIOFILE"                ,"FOREIGNWORD"    ,"LEVEL","NATIVEWORD"
"/st/snw/rebuild.mp3"      ,"rebuild"        ,"B1"   ,"újjáépít"
"/st/snw/recycle.mp3"      ,"recycle"        ,"B1"   ,"újra felhasznál; újra feldolgoz"
"/st/snw/area.mp3"         ,"area"           ,"B1"   ,"rész, terület"
"/st/snw/block.mp3"        ,"block"          ,"B1"   ,"háztömb, épülettömb"
"/st/snw/cottage.mp3"      ,"cottage"        ,"B1"   ,"kis vidéki ház; nyaraló"
"/st/snw/crop.mp3"         ,"crop"           ,"B1"   ,"termény ; termés"
"/st/snw/district.mp3"     ,"district"       ,"B1"   ,"terület, körzet ; kerület, körzet"
"/st/snw/farming.mp3"      ,"farming"        ,"B1"   ,"gazdálkodás"
"/st/snw/fire_station.mp3" ,"fire station"   ,"B1"   ,"tűzoltóállomás"
"/st/snw/flag.mp3"         ,"flag"           ,"B1"   ,"zászló"
"/st/snw/fountain.mp3"     ,"fountain"       ,"B1"   ,"szökőkút"
"/st/snw/ground.mp3"       ,"ground"         ,"B1"   ,"terület, tér"
"/st/snw/hut.mp3"          ,"hut"            ,"B1"   ,"kunyhó, kalyiba"
"/st/snw/land.mp3"         ,"land"           ,"B1"   ,"föld, földterület"
"/st/snw/landscape.mp3"    ,"landscape"      ,"B1"   ,"táj; tájkép"
"/st/snw/monument.mp3"     ,"monument"       ,"B1"   ,"műemlék"
"/st/snw/palace.mp3"       ,"palace"         ,"B1"   ,"palota"
"/st/snw/pollution.mp3"    ,"pollution"      ,"B1"   ,"szennyezőanyag; szennyezés, környezetszennyezés"
"/st/snw/population.mp3"   ,"population"     ,"B1"   ,"népesség"
"/st/snw/recycling.mp3"    ,"recycling"      ,"B1"   ,"újra feldolgozás"
"/st/snw/region.mp3"       ,"region"         ,"B1"   ,"terület, övezet, régió;  tájék"
"/st/snw/ruin.mp3"         ,"ruin"           ,"B1"   ,"rom"
"/st/snw/smoke.mp3"        ,"smoke"          ,"B1"   ,"füst"
"/st/snw/tower.mp3"        ,"tower"          ,"B1"   ,"torony"
"/st/snw/zone.mp3"         ,"zone"           ,"B1"   ,"zóna"
"/st/snw/environmental.mp3","environmental"  ,"B1"   ,"környezeti, környezetvédelmi"
"/st/snw/local.mp3"        ,"local"          ,"B1"   ,"helyi"
"/st/snw/open.mp3"         ,"open"           ,"B1"   ,"nyílt"
"/st/snw/recycled.mp3"     ,"recycled"       ,"B1"   ,"újra feldolgozott"
"/st/snw/waste.mp3"        ,"waste"          ,"B1"   ,"hulladék"
"/st/snk/r2724.mp3"        ,"the environment","B1"   ,"környezet"
"/st/snk/r2747.mp3"        ,"the ground"     ,"B1"   ,"föld"
