"AUDIOFILE"                   ,"FOREIGNWORD"      ,"LEVEL","NATIVEWORD"
"/st/snw/depart.mp3"          ,"depart"           ,"B1"   ,"indul, elindul"
"/st/snw/reach.mp3"           ,"reach"            ,"B1"   ,"eljut vhova, elér vhova/vmit"
"/st/snw/tour.mp3"            ,"tour"             ,"B1"   ,"beutazik, bejár ; turnézik"
"/st/snw/arrival.mp3"         ,"arrival"          ,"B1"   ,"érkezés"
"/st/snw/baggage.mp3"         ,"baggage"          ,"B1"   ,"poggyász"
"/st/snw/border.mp3"          ,"border"           ,"B1"   ,"országhatár"
"/st/snw/customs.mp3"         ,"customs"          ,"B1"   ,"vám"
"/st/snw/departure.mp3"       ,"departure"        ,"B1"   ,"indulás"
"/st/snw/destination.mp3"     ,"destination"      ,"B1"   ,"cél, célállomás"
"/st/snw/foreigner.mp3"       ,"foreigner"        ,"B1"   ,"külföldi"
"/st/snw/immigration.mp3"     ,"immigration"      ,"B1"   ,"külföldiek útlevél ellenőrzése"
"/st/snw/travel.mp3"          ,"travel"           ,"B1"   ,"utazás, út"
"/st/snw/traveller.mp3"       ,"traveller"        ,"B1"   ,"utazó"
"/st/snw/visa.mp3"            ,"visa"             ,"B1"   ,"vízum"
"/st/snw/duty-free.mp3"       ,"duty-free"        ,"B1"   ,"vámmentes"
"/st/snw/abroad.mp3"          ,"abroad"           ,"B1"   ,"külföldön; külföldre"
"/st/snk/r1267.mp3"           ,"get in"           ,"B1"   ,"megérkezik"
"/st/snk/r2417.mp3"           ,"set off"          ,"B1"   ,"elindul, útnak indul"
"/st/snk/r2419.mp3"           ,"set out"          ,"B1"   ,"útnak indul"
"/st/snw/board.mp3"           ,"board"            ,"B1"   ,"felszáll; felszállít"
"/st/snw/land.mp3"            ,"land"             ,"B1"   ,"leszáll, landol ; leszállít; kiköt, partra száll ; partra szállít"
"/st/snw/sail.mp3"            ,"sail"             ,"B1"   ,"hajózik ;  útnak indul"
"/st/snw/airline.mp3"         ,"airline"          ,"B1"   ,"légitársaság"
"/st/snw/cabin.mp3"           ,"cabin"            ,"B1"   ,"utastér"
"/st/snw/check-in.mp3"        ,"check-in"         ,"B1"   ,"jegykezelő pult; jegy- és poggyászkezelés"
"/st/snw/crew.mp3"            ,"crew"             ,"B1"   ,"legénység, személyzet"
"/st/snw/cruise.mp3"          ,"cruise"           ,"B1"   ,"hajóút,  körutazás"
"/st/snw/ferry.mp3"           ,"ferry"            ,"B1"   ,"komp, átkelőhajó"
"/st/snw/gate.mp3"            ,"gate"             ,"B1"   ,"beszállókapu"
"/st/snw/harbour.mp3"         ,"harbour"          ,"B1"   ,"kikötő"
"/st/snw/jet.mp3"             ,"jet"              ,"B1"   ,"lökhajtásos repülőgép"
"/st/snw/line.mp3"            ,"line"             ,"B1"   ,"vonal, vasútvonal, vágány"
"/st/snw/port.mp3"            ,"port"             ,"B1"   ,"kikötő; kikötőváros"
"/st/snw/rail.mp3"            ,"rail"             ,"B1"   ,"vasút"
