"AUDIOFILE"              ,"FOREIGNWORD"              ,"LEVEL","NATIVEWORD"
"/st/snw/avoid.mp3"      ,"avoid"                    ,"B1"   ,"kerül, elkerül vmit/vkit"
"/st/snw/cancel.mp3"     ,"cancel"                   ,"B1"   ,"töröl; lemond, visszavon"
"/st/snw/create.mp3"     ,"create"                   ,"B1"   ,"teremt, létrehoz;  kelt"
"/st/snw/develop.mp3"    ,"develop"                  ,"B1"   ,"fejleszt; fejlődik, kialakul"
"/st/snw/disappear.mp3"  ,"disappear"                ,"B1"   ,"eltűnik"
"/st/snw/exist.mp3"      ,"exist"                    ,"B1"   ,"létezik"
"/st/snw/go.mp3"         ,"go"                       ,"B1"   ,"eltűnik, elfogy"
"/st/snw/hide.mp3"       ,"hide"                     ,"B1"   ,"elrejt, eldug vmit"
"/st/snw/hide.mp3"       ,"hide"                     ,"B1"   ,"elrejtőzik"
"/st/snw/lose.mp3"       ,"lose"                     ,"B1"   ,"elveszt, elveszít vmit"
"/st/snw/miss.mp3"       ,"miss"                     ,"B1"   ,"elkerül vmit"
"/st/snw/search.mp3"     ,"search"                   ,"B1"   ,"keres, kutat, átkutat vmit"
"/st/snw/look.mp3"       ,"look"                     ,"B1"   ,"keresés"
"/st/snw/search.mp3"     ,"search"                   ,"B1"   ,"keresés, kutatás; átkutatás"
"/st/snw/absent.mp3"     ,"absent"                   ,"B1"   ,"hiányzó, távol levő"
"/st/snw/hidden.mp3"     ,"hidden"                   ,"B1"   ,"rejtett, elrejtett, eldugott"
"/st/snw/lost.mp3"       ,"lost"                     ,"B1"   ,"eltűnt, elveszett"
"/st/snw/missing.mp3"    ,"missing"                  ,"B1"   ,"hiányzó"
"/st/snw/present_adj.mp3","present"                  ,"B1"   ,"jelenlevő; jelenlegi"
"/st/snw/out.mp3"        ,"out"                      ,"B1"   ,"előjön"
"/st/snw/out.mp3"        ,"out"                      ,"B1"   ,"ki"
"/st/snk/r907.mp3"       ,"come out"                 ,"B1"   ,"megjelenik    vmit vmit/vkit"
"/st/snk/r1772.mp3"      ,"leave behind ↔ sb/sth"    ,"B1"   ,"ottfelejt ; hátrahagy    vmit vmit/vkit"
"/st/snk/r921.mp3"       ,"come true"                ,"B1"   ,"valóra válik   vminek"
"/st/snk/r1745.mp3"      ,"lack of sth"              ,"B1"   ,"hiánya   vminek"
"/st/snw/involve.mp3"    ,"involve"                  ,"B1"   ,"belekever vmibe, részesévé tesz vminek; részese vminek"
"/st/snw/mix.mp3"        ,"mix"                      ,"B1"   ,"kever; keveredik"
"/st/snw/case.mp3"       ,"case"                     ,"B1"   ,"eset"
"/st/snw/event.mp3"      ,"event"                    ,"B1"   ,"esemény"
"/st/snw/go.mp3"         ,"go"                       ,"B1"   ,"sora vkinek  ; lehetőség"
"/st/snw/position.mp3"   ,"position"                 ,"B1"   ,"helyzet, helyzete vkinek"
"/st/snw/situation.mp3"  ,"situation"                ,"B1"   ,"helyzet"
"/st/snw/turn.mp3"       ,"turn"                     ,"B1"   ,"sorra kerülés, sora vkinek"
"/st/snw/world.mp3"      ,"world"                    ,"B1"   ,"világ, vminek a világa"
