"AUDIOFILE"                ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/apply.mp3"        ,"apply"                              ,"B1"   ,"kérvényez vmit, folyamodik vmiért, megpályáz vmit"
"/st/snw/employ.mp3"       ,"employ"                             ,"B1"   ,"alkalmaz vkit"
"/st/snw/interview.mp3"    ,"interview"                          ,"B1"   ,"meginterjúvol vkit ; felvételi beszélgetést folytat vkivel"
"/st/snw/pay.mp3"          ,"pay"                                ,"B1"   ,"fizet, fizetést ad"
"/st/snw/quit.mp3"         ,"quit"                               ,"B1"   ,"otthagy ; távozik"
"/st/snw/retire.mp3"       ,"retire"                             ,"B1"   ,"nyugdíjba megy; visszavonul"
"/st/snw/application.mp3"  ,"application"                        ,"B1"   ,"pályázat, kérelem"
"/st/snw/cv.mp3"           ,"CV"                                 ,"B1"   ,"önéletrajz"
"/st/snw/employee.mp3"     ,"employee"                           ,"B1"   ,"alkalmazott"
"/st/snw/employer.mp3"     ,"employer"                           ,"B1"   ,"munkaadó"
"/st/snw/employment.mp3"   ,"employment"                         ,"B1"   ,"alkalmazás; állás"
"/st/snw/interview.mp3"    ,"interview"                          ,"B1"   ,"interjú, felvételi beszélgetés"
"/st/snw/pay.mp3"          ,"pay"                                ,"B1"   ,"fizetés"
"/st/snw/salary.mp3"       ,"salary"                             ,"B1"   ,"fizetés"
"/st/snw/strike.mp3"       ,"strike"                             ,"B1"   ,"sztrájk"
"/st/snw/unemployment.mp3" ,"unemployment"                       ,"B1"   ,"munkanélküliség"
"/st/snw/wage.mp3"         ,"wage"                               ,"B1"   ,"bér, munkabér, fizetés"
"/st/snw/full-time.mp3"    ,"full-time"                          ,"B1"   ,"teljes munkaidős/munkaidőben"
"/st/snw/part-time.mp3"    ,"part-time"                          ,"B1"   ,"részmunkaidős, félállású; részmunkaidőben, félállásban"
"/st/snw/unemployed.mp3"   ,"unemployed"                         ,"B1"   ,"munkanélküli"
"/st/snk/r2121.mp3"        ,"out of work"                        ,"B1"   ,"nem dolgozik, munkanélküli"
"/st/snw/know.mp3"         ,"know"                               ,"B1"   ,"ért vmihez"
"/st/snw/promote.mp3"      ,"promote"                            ,"B1"   ,"előléptet"
"/st/snw/accountant.mp3"   ,"accountant"                         ,"B1"   ,"könyvelő"
"/st/snw/architect.mp3"    ,"architect"                          ,"B1"   ,"építészmérnök"
"/st/snw/assistant.mp3"    ,"assistant"                          ,"B1"   ,"helyettes, kisegítő"
"/st/snw/baker.mp3"        ,"baker"                              ,"B1"   ,"pék"
"/st/snw/barber.mp3"       ,"barber"                             ,"B1"   ,"borbély, férfifodrász"
"/st/snw/butcher.mp3"      ,"butcher"                            ,"B1"   ,"hentes; mészáros"
"/st/snw/career.mp3"       ,"career"                             ,"B1"   ,"pályafutás, karrier"
