"AUDIOFILE"                     ,"FOREIGNWORD"       ,"LEVEL","NATIVEWORD"
"/st/snw/pronounce.mp3"         ,"pronounce"         ,"B1"   ,"kiejt"
"/st/snw/translate.mp3"         ,"translate"         ,"B1"   ,"fordít, lefordít"
"/st/snw/accent.mp3"            ,"accent"            ,"B1"   ,"kiejtés, akcentus"
"/st/snw/alphabet.mp3"          ,"alphabet"          ,"B1"   ,"ábécé"
"/st/snw/comma.mp3"             ,"comma"             ,"B1"   ,"vessző"
"/st/snw/full_stop.mp3"         ,"full stop"         ,"B1"   ,"pont"
"/st/snw/language.mp3"          ,"language"          ,"B1"   ,"nyelv"
"/st/snw/pronunciation.mp3"     ,"pronunciation"     ,"B1"   ,"kiejtés"
"/st/snw/punctuation.mp3"       ,"punctuation"       ,"B1"   ,"központozás"
"/st/snw/question_mark.mp3"     ,"question mark"     ,"B1"   ,"kérdőjel"
"/st/snw/speaker.mp3"           ,"speaker"           ,"B1"   ,"vmilyen nyelven beszélő/tudó ember"
"/st/snw/translation.mp3"       ,"translation"       ,"B1"   ,"fordítás"
"/st/snw/article.mp3"           ,"article"           ,"B1"   ,"névelő"
"/st/snw/consonant.mp3"         ,"consonant"         ,"B1"   ,"mássalhangzó"
"/st/snw/count_noun.mp3"        ,"count noun"        ,"B1"   ,"megszámolható jelentésű főnév"
"/st/snw/definite_article.mp3"  ,"definite article"  ,"B1"   ,"határozott névelő"
"/st/snw/ending.mp3"            ,"ending"            ,"B1"   ,"végződés"
"/st/snw/form.mp3"              ,"form"              ,"B1"   ,"alak"
"/st/snw/indefinite_article.mp3","indefinite article","B1"   ,"határozatlan névelő"
"/st/snw/infinitive.mp3"        ,"infinitive"        ,"B1"   ,"főnévi igenév"
"/st/snw/modal_verb.mp3"        ,"modal verb"        ,"B1"   ,"módbeli segédige"
"/st/snw/object_noun.mp3"       ,"object"            ,"B1"   ,"tárgy"
"/st/snw/phrasal_verb.mp3"      ,"phrasal verb"      ,"B1"   ,"többszavas ige"
"/st/snw/phrase.mp3"            ,"phrase"            ,"B1"   ,"kifejezés"
"/st/snw/preposition.mp3"       ,"preposition"       ,"B1"   ,"elöljáró, elöljárószó"
"/st/snw/pronoun.mp3"           ,"pronoun"           ,"B1"   ,"névmás"
"/st/snw/subject_noun.mp3"      ,"subject"           ,"B1"   ,"alany"
"/st/snw/tense.mp3"             ,"tense"             ,"B1"   ,"igeidő"
"/st/snw/uncountable_noun.mp3"  ,"uncountable noun"  ,"B1"   ,"megszámlálhatatlan"
"/st/snw/vowel.mp3"             ,"vowel"             ,"B1"   ,"magánhangzó"
"/st/snw/active.mp3"            ,"active"            ,"B1"   ,"aktív, cselekvő"
"/st/snw/irregular.mp3"         ,"irregular"         ,"B1"   ,"rendhagyó"
"/st/snw/passive.mp3"           ,"passive"           ,"B1"   ,"passzív/szenvedő"
"/st/snw/possessive.mp3"        ,"possessive"        ,"B1"   ,"birtokos"
"/st/snw/regular.mp3"           ,"regular"           ,"B1"   ,"szabályos"
"/st/snk/r2795.mp3"             ,"the passive"       ,"B1"   ,"passzív/szenvedő alak"
