"AUDIOFILE"                 ,"FOREIGNWORD"                      ,"LEVEL","NATIVEWORD"
"/st/snw/dive.mp3"          ,"dive"                             ,"B1"   ,"búvárkodik; víz alatt úszik"
"/st/snw/exercise.mp3"      ,"exercise"                         ,"B1"   ,"edz, gyakorlatokat végez"
"/st/snw/jog.mp3"           ,"jog"                              ,"B1"   ,"kocog, lassan fut"
"/st/snw/sail.mp3"          ,"sail"                             ,"B1"   ,"vitorlázik"
"/st/snw/skate.mp3"         ,"skate"                            ,"B1"   ,"korcsolyázik; görkorcsolyázik"
"/st/snw/ski.mp3"           ,"ski"                              ,"B1"   ,"síel"
"/st/snw/surf.mp3"          ,"surf"                             ,"B1"   ,"szörfözik"
"/st/snw/train.mp3"         ,"train"                            ,"B1"   ,"edz vmire, treníroz"
"/st/snw/diver.mp3"         ,"diver"                            ,"B1"   ,"búvár"
"/st/snw/diving.mp3"        ,"diving"                           ,"B1"   ,"búvárkodás; fejesugrás, műugrás"
"/st/snw/jogging.mp3"       ,"jogging"                          ,"B1"   ,"kocogás, futás"
"/st/snw/run.mp3"           ,"run"                              ,"B1"   ,"futás"
"/st/snw/swimmer.mp3"       ,"swimmer"                          ,"B1"   ,"úszó"
"/st/snw/training.mp3"      ,"training"                         ,"B1"   ,"edzés, tréning"
"/st/snw/windsurfing.mp3"   ,"windsurfing"                      ,"B1"   ,"szörfözés"
"/st/snw/workout.mp3"       ,"workout"                          ,"B1"   ,"edzés, torna"
"/st/snw/yoga.mp3"          ,"yoga"                             ,"B1"   ,"jóga"
"/st/snk/r3042.mp3"         ,"work out"                         ,"B1"   ,"edz, gyúr"
"/st/snw/beat.mp3"          ,"beat"                             ,"B1"   ,"legyőz , megdönt"
"/st/snw/compete.mp3"       ,"compete"                          ,"B1"   ,"versenyez"
"/st/snw/enter.mp3"         ,"enter"                            ,"B1"   ,"benevez vmire ; bejelentkezik vhova"
"/st/snw/lose.mp3"          ,"lose"                             ,"B1"   ,"veszít, elveszít, vereséget szenved"
"/st/snw/play.mp3"          ,"play"                             ,"B1"   ,"játszik"
"/st/snw/race.mp3"          ,"race"                             ,"B1"   ,"versenyez; versenyt fut"
"/st/snw/score.mp3"         ,"score"                            ,"B1"   ,"pontot szerez , gólt lő; pontszámot ér el"
"/st/snw/shoot.mp3"         ,"shoot"                            ,"B1"   ,"lő"
"/st/snw/support.mp3"       ,"support"                          ,"B1"   ,"szurkol"
"/st/snw/athlete.mp3"       ,"athlete"                          ,"B1"   ,"atléta, sportoló"
