"AUDIOFILE"              ,"FOREIGNWORD"          ,"LEVEL","NATIVEWORD"
"/st/snw/expect.mp3"     ,"expect"               ,"B1"   ,"vár vmit, számít vmire"
"/st/snw/predict.mp3"    ,"predict"              ,"B1"   ,"jósol, megjósol"
"/st/snw/could.mp3"      ,"could"                ,"B1"   ,"lehet  , -hat, -het"
"/st/snw/may.mp3"        ,"may"                  ,"B1"   ,"lehet"
"/st/snw/might.mp3"      ,"might"                ,"B1"   ,"valószínű, lehet"
"/st/snw/should.mp3"     ,"should"               ,"B1"   ,"kellene"
"/st/snw/chance.mp3"     ,"chance"               ,"B1"   ,"esély"
"/st/snw/chance.mp3"     ,"chance"               ,"B1"   ,"véletlen"
"/st/snw/forecast.mp3"   ,"forecast"             ,"B1"   ,"előrejelzés, prognózis"
"/st/snw/possibility.mp3","possibility"          ,"B1"   ,"esély vmire"
"/st/snw/trend.mp3"      ,"trend"                ,"B1"   ,"irányzat, trend"
"/st/snw/likely.mp3"     ,"likely"               ,"B1"   ,"valószínű; várható"
"/st/snw/lucky.mp3"      ,"lucky"                ,"B1"   ,"szerencsés, szerencsét hozó"
"/st/snw/possible.mp3"   ,"possible"             ,"B1"   ,"lehetséges"
"/st/snw/unexpected.mp3" ,"unexpected"           ,"B1"   ,"váratlan"
"/st/snw/unlikely.mp3"   ,"unlikely"             ,"B1"   ,"valószínűtlen"
"/st/snw/unlucky.mp3"    ,"unlucky"              ,"B1"   ,"szerencsétlen; szerencsétlenséget hozó"
"/st/snw/fortunately.mp3","fortunately"          ,"B1"   ,"szerencsére"
"/st/snw/luckily.mp3"    ,"luckily"              ,"B1"   ,"szerencsére"
"/st/snk/r500.mp3"       ,"be expecting sb/sth"  ,"B1"   ,"vár  vkire/vmire"
"/st/snk/r622.mp3"       ,"be supposed to do sth","B1"   ,"elvileg meg kell történnie  vkire/vmire"
"/st/snk/r779.mp3"       ,"by accident"          ,"B1"   ,"véletlenül  vkire/vmire"
"/st/snw/need.mp3"       ,"need"                 ,"B1"   ,"rászorul vmire, szüksége van arra hogy"
"/st/snw/require.mp3"    ,"require"              ,"B1"   ,"igényel; követel, megkövetel"
"/st/snw/chance.mp3"     ,"chance"               ,"B1"   ,"lehetőség"
"/st/snw/duty.mp3"       ,"duty"                 ,"B1"   ,"kötelesség"
"/st/snw/opportunity.mp3","opportunity"          ,"B1"   ,"lehetőség, alkalom vmire"
"/st/snw/essential.mp3"  ,"essential"            ,"B1"   ,"létfontosságú, nélkülözhetetlen"
"/st/snw/impossible.mp3" ,"impossible"           ,"B1"   ,"lehetetlen"
"/st/snw/necessary.mp3"  ,"necessary"            ,"B1"   ,"szükséges"
"/st/snk/r636.mp3"       ,"be unable to do sth"  ,"B1"   ,"képtelen  vmire"
