"AUDIOFILE"               ,"FOREIGNWORD"                 ,"LEVEL","NATIVEWORD"
"/st/snw/face.mp3"        ,"face"                        ,"B1"   ,"vmilyen irányba néz"
"/st/snw/lie_1.mp3"       ,"lie"                         ,"B1"   ,"fekszik, hever"
"/st/snw/lie_1.mp3"       ,"lie"                         ,"B1"   ,"fekszik, elterül, van vhol"
"/st/snw/location.mp3"    ,"location"                    ,"B1"   ,"hely, helyszín"
"/st/snw/position.mp3"    ,"position"                    ,"B1"   ,"hely, helyzet, elhelyezés"
"/st/snw/site.mp3"        ,"site"                        ,"B1"   ,"építési terület, házhely; helyszín, terület"
"/st/snw/away.mp3"        ,"away"                        ,"B1"   ,"el"
"/st/snw/behind.mp3"      ,"behind"                      ,"B1"   ,"hátra, előző helyen/helyre"
"/st/snw/nowhere.mp3"     ,"nowhere"                     ,"B1"   ,"sehol, sehová"
"/st/snw/only.mp3"        ,"only"                        ,"B1"   ,"csak"
"/st/snw/right.mp3"       ,"right"                       ,"B1"   ,"pontosan vhol/vmikor"
"/st/snw/to.mp3"          ,"to"                          ,"B1"   ,"-hoz, -hez, -höz"
"/st/snw/wherever.mp3"    ,"wherever"                    ,"B1"   ,"bárhol; bárhova"
"/st/snk/r557.mp3"        ,"be located in/near/on, etc." ,"B1"   ,"található  vhol"
"/st/snk/r613.mp3"        ,"be situated in/on/by, etc."  ,"B1"   ,"-ben/-on/mellett/stb. fekszik/helyezkedik el  vhol"
"/st/snk/r2125.mp3"       ,"over here/there"             ,"B1"   ,"ide/oda  vhol"
"/st/snw/surround.mp3"    ,"surround"                    ,"B1"   ,"körülvesz, körülfog vmit"
"/st/snw/bottom.mp3"      ,"bottom"                      ,"B1"   ,"túlsó vége vminek, hátsó része"
"/st/snw/edge.mp3"        ,"edge"                        ,"B1"   ,"szél"
"/st/snw/section.mp3"     ,"section"                     ,"B1"   ,"rész, részleg"
"/st/snw/side.mp3"        ,"side"                        ,"B1"   ,"oldal"
"/st/snw/central.mp3"     ,"central"                     ,"B1"   ,"közép-, központi"
"/st/snw/around.mp3"      ,"around"                      ,"B1"   ,"körbe, körben"
"/st/snw/round.mp3"       ,"round"                       ,"B1"   ,"körbe, körül"
"/st/snw/along.mp3"       ,"along"                       ,"B1"   ,"vmi mentén"
"/st/snw/among.mp3"       ,"among"                       ,"B1"   ,"között, közt"
"/st/snw/by.mp3"          ,"by"                          ,"B1"   ,"-nál, -nél, mellett"
"/st/snw/on.mp3"          ,"on"                          ,"B1"   ,"-on, -en, -ön, -ban, -ben"
"/st/snw/round.mp3"       ,"round"                       ,"B1"   ,"körbe, körül"
"/st/snk/r2749.mp3"       ,"the heart of sth"            ,"B1"   ,"közepe , középpontja  vminek vminek"
"/st/snk/r2792.mp3"       ,"the other side/end (of sth)" ,"B1"   ,"a másik oldal/vég  vminek vminek"
"/st/snw/front.mp3"       ,"front"                       ,"B1"   ,"elülső, elöl levő"
"/st/snw/high.mp3"        ,"high"                        ,"B1"   ,"magasan fekvő/levő"
"/st/snw/opposite.mp3"    ,"opposite"                    ,"B1"   ,"szemközti, szembeni"
"/st/snw/top.mp3"         ,"top"                         ,"B1"   ,"felső, legfelső"
"/st/snw/upper.mp3"       ,"upper"                       ,"B1"   ,"felső; felsőbb"
"/st/snw/ahead.mp3"       ,"ahead"                       ,"B1"   ,"elöl, előtt, előre"
"/st/snw/behind.mp3"      ,"behind"                      ,"B1"   ,"mögött, mögé"
"/st/snw/down.mp3"        ,"down"                        ,"B1"   ,"le, lenn, lent"
"/st/snw/opposite.mp3"    ,"opposite"                    ,"B1"   ,"szemközt, szemben"
"/st/snw/after.mp3"       ,"after"                       ,"B1"   ,"vki/vmi után"
"/st/snw/before.mp3"      ,"before"                      ,"B1"   ,"vmi/vki előtt"
"/st/snw/over.mp3"        ,"over"                        ,"B1"   ,"fölött; fölé"
"/st/snw/over.mp3"        ,"over"                        ,"B1"   ,"túloldalán"
"/st/snw/underneath.mp3"  ,"underneath"                  ,"B1"   ,"alatt; alul"
"/st/snk/r1542.mp3"       ,"in front"                    ,"B1"   ,"elöl; előre; a többiek előtt"
"/st/snk/r1671.mp3"       ,"just before/over/under, etc.","B1"   ,"éppen előtte/felette/alatta/stb."
"/st/snw/approach.mp3"    ,"approach"                    ,"B1"   ,"közeledik"
"/st/snw/direction.mp3"   ,"direction"                   ,"B1"   ,"irány"
"/st/snw/distance.mp3"    ,"distance"                    ,"B1"   ,"távolság"
"/st/snw/way.mp3"         ,"way"                         ,"B1"   ,"irány"
"/st/snw/way.mp3"         ,"way"                         ,"B1"   ,"út, távolság"
"/st/snw/convenient.mp3"  ,"convenient"                  ,"B1"   ,"közel  vmihez"
"/st/snw/near.mp3"        ,"near"                        ,"B1"   ,"közeli"
"/st/snw/nearby.mp3"      ,"nearby"                      ,"B1"   ,"közeli"
"/st/snw/along.mp3"       ,"along"                       ,"B1"   ,"előre"
"/st/snw/apart.mp3"       ,"apart"                       ,"B1"   ,"széjjel, egymástól vmennyire"
"/st/snw/around.mp3"      ,"around"                      ,"B1"   ,"vissza"
"/st/snw/back.mp3"        ,"back"                        ,"B1"   ,"vissza, hátra, hátrafelé"
"/st/snw/backwards.mp3"   ,"backwards"                   ,"B1"   ,"hátra, hátrafelé, vissza, visszafelé"
"/st/snw/close_adv.mp3"   ,"close"                       ,"B1"   ,"közel, közelről, közelben"
"/st/snw/forward.mp3"     ,"forward"                     ,"B1"   ,"előre"
"/st/snw/further.mp3"     ,"further"                     ,"B1"   ,"tovább"
"/st/snw/furthest.mp3"    ,"furthest"                    ,"B1"   ,"legtávolabbra, legmesszebbre"
"/st/snw/high.mp3"        ,"high"                        ,"B1"   ,"magasan; magasra"
"/st/snw/near.mp3"        ,"near"                        ,"B1"   ,"közel"
"/st/snw/nearby.mp3"      ,"nearby"                      ,"B1"   ,"a közelben"
"/st/snw/off.mp3"         ,"off"                         ,"B1"   ,"el; le"
"/st/snw/out.mp3"         ,"out"                         ,"B1"   ,"ki"
"/st/snw/over.mp3"        ,"over"                        ,"B1"   ,"át-"
"/st/snw/round.mp3"       ,"round"                       ,"B1"   ,"körbe, körben"
"/st/snw/round.mp3"       ,"round"                       ,"B1"   ,"körbe, ellenkező irányba"
"/st/snw/through.mp3"     ,"through"                     ,"B1"   ,"keresztül, át"
"/st/snw/against.mp3"     ,"against"                     ,"B1"   ,"ellen, szemben"
"/st/snw/into.mp3"        ,"into"                        ,"B1"   ,"vminek neki-, vmibe bele-"
"/st/snw/into.mp3"        ,"into"                        ,"B1"   ,"-ba, be, vmi felé, az irányába vminek"
"/st/snw/off.mp3"         ,"off"                         ,"B1"   ,"el; le"
"/st/snw/onto.mp3"        ,"onto"                        ,"B1"   ,"-ra, -re"
"/st/snw/out_of.mp3"      ,"out of"                      ,"B1"   ,"-ból, -ből"
"/st/snw/over.mp3"        ,"over"                        ,"B1"   ,"fölött, át-"
"/st/snw/towards.mp3"     ,"towards"                     ,"B1"   ,"felé, irányába, irányában"
"/st/snw/via.mp3"         ,"via"                         ,"B1"   ,"keresztül, át vmin"
"/st/snw/within.mp3"      ,"within"                      ,"B1"   ,"belül"
"/st/snw/until.mp3"       ,"until"                       ,"B1"   ,"-ig"
"/st/snw/order.mp3"       ,"order"                       ,"B1"   ,"sorrend"
