"AUDIOFILE"              ,"FOREIGNWORD"                 ,"LEVEL","NATIVEWORD"
"/st/snw/act.mp3"        ,"act"                         ,"B1"   ,"viselkedik vhogy, úgy tesz/csinál"
"/st/snw/apologise.mp3"  ,"apologise"                   ,"B1"   ,"bocsánatot kér"
"/st/snw/behave.mp3"     ,"behave"                      ,"B1"   ,"viselkedik"
"/st/snw/behave.mp3"     ,"behave"                      ,"B1"   ,"jól/rendesen viselkedik"
"/st/snw/blame.mp3"      ,"blame"                       ,"B1"   ,"hibáztat, okol vkit vmiért, ráhárítja vkire a felelősséget vmiért"
"/st/snw/control.mp3"    ,"control"                     ,"B1"   ,"fékez, megfékez"
"/st/snw/deserve.mp3"    ,"deserve"                     ,"B1"   ,"megérdemel"
"/st/snw/excuse_verb.mp3","excuse"                      ,"B1"   ,"megbocsát"
"/st/snw/forgive.mp3"    ,"forgive"                     ,"B1"   ,"megbocsát vmit vkinek"
"/st/snw/hurt.mp3"       ,"hurt"                        ,"B1"   ,"megbánt vkit"
"/st/snw/lie_2.mp3"      ,"lie"                         ,"B1"   ,"hazudik"
"/st/snw/regret.mp3"     ,"regret"                      ,"B1"   ,"megbán vmit"
"/st/snw/respect.mp3"    ,"respect"                     ,"B1"   ,"tisztel, becsül"
"/st/snw/apology.mp3"    ,"apology"                     ,"B1"   ,"bocsánatkérés"
"/st/snw/attitude.mp3"   ,"attitude"                    ,"B1"   ,"hozzáállás"
"/st/snw/behaviour.mp3"  ,"behaviour"                   ,"B1"   ,"viselkedés, magatartás"
"/st/snw/excuse_noun.mp3","excuse"                      ,"B1"   ,"mentség"
"/st/snw/excuse_noun.mp3","excuse"                      ,"B1"   ,"kifogás"
"/st/snw/lie_2.mp3"      ,"lie"                         ,"B1"   ,"hazugság"
"/st/snw/respect.mp3"    ,"respect"                     ,"B1"   ,"megbecsülés, tisztelet"
"/st/snw/respect.mp3"    ,"respect"                     ,"B1"   ,"tisztelet"
"/st/snw/trick.mp3"      ,"trick"                       ,"B1"   ,"trükk, beugratás"
"/st/snw/trouble.mp3"    ,"trouble"                     ,"B1"   ,"gond, baj"
"/st/snw/ashamed.mp3"    ,"ashamed"                     ,"B1"   ,"szégyenkező, szégyenlős"
"/st/snw/bad.mp3"        ,"bad"                         ,"B1"   ,"rossz"
"/st/snw/brave.mp3"      ,"brave"                       ,"B1"   ,"bátor"
"/st/snw/confident.mp3"  ,"confident"                   ,"B1"   ,"magabiztos"
"/st/snw/correct.mp3"    ,"correct"                     ,"B1"   ,"illő, megfelelő"
"/st/snw/fair.mp3"       ,"fair"                        ,"B1"   ,"igazságos, méltányos"
"/st/snw/generous.mp3"   ,"generous"                    ,"B1"   ,"nagylelkű, bőkezű"
"/st/snw/good.mp3"       ,"good"                        ,"B1"   ,"jó, jóravaló, derék"
"/st/snw/guilty.mp3"     ,"guilty"                      ,"B1"   ,"bűnös, vétkes , bűntudata/lelkiismeret-furdalása van"
"/st/snw/honest.mp3"     ,"honest"                      ,"B1"   ,"őszinte"
"/st/snw/honest.mp3"     ,"honest"                      ,"B1"   ,"becsületes"
"/st/snw/hurt.mp3"       ,"hurt"                        ,"B1"   ,"sértett, megsértett"
"/st/snw/patient.mp3"    ,"patient"                     ,"B1"   ,"türelmes"
"/st/snw/proud.mp3"      ,"proud"                       ,"B1"   ,"büszke vmire/vkire"
"/st/snw/rude.mp3"       ,"rude"                        ,"B1"   ,"durva, udvariatlan"
"/st/snw/selfish.mp3"    ,"selfish"                     ,"B1"   ,"önző"
"/st/snw/shy.mp3"        ,"shy"                         ,"B1"   ,"félénk, gátlásos; félős, bátortalan"
"/st/snw/bravely.mp3"    ,"bravely"                     ,"B1"   ,"bátran"
"/st/snw/politely.mp3"   ,"politely"                    ,"B1"   ,"udvariasan"
"/st/snk/r1141.mp3"      ,"feel bad about sth/doing sth","B1"   ,"bántja , sajnál  vmi vmit  vkinek"
"/st/snk/r2363.mp3"      ,"sb's fault"                  ,"B1"   ,"hibája  vmi vmit  vkinek"
