"AUDIOFILE"                ,"FOREIGNWORD"                         ,"LEVEL","NATIVEWORD"
"/st/snw/experience.mp3"   ,"experience"                          ,"B1"   ,"átél"
"/st/snw/live_verb.mp3"    ,"live"                                ,"B1"   ,"él"
"/st/snw/teach.mp3"        ,"teach"                               ,"B1"   ,"megtanít vmire"
"/st/snw/try.mp3"          ,"try"                                 ,"B1"   ,"kipróbál, megpróbál, megkísérel ; megkóstol vmit"
"/st/snw/background.mp3"   ,"background"                          ,"B1"   ,"háttér"
"/st/snw/experience.mp3"   ,"experience"                          ,"B1"   ,"élmény"
"/st/snw/life.mp3"         ,"life"                                ,"B1"   ,"élet, életmód"
"/st/snw/independent.mp3"  ,"independent"                         ,"B1"   ,"független"
"/st/snw/personal.mp3"     ,"personal"                            ,"B1"   ,"személyes jellegű, magán-"
"/st/snw/private.mp3"      ,"private"                             ,"B1"   ,"magán-, zártkörű"
"/st/snw/private.mp3"      ,"private"                             ,"B1"   ,"magán-, személyes"
"/st/snk/r255.mp3"         ,"a/sb's way of life"                  ,"B1"   ,"életmód, életforma     vkinek"
"/st/snk/r973.mp3"         ,"daily life"                          ,"B1"   ,"napi élet, mindennapok     vkinek"
"/st/snk/r1132.mp3"        ,"family/private/sex, etc. life"       ,"B1"   ,"családi/magán/szexuális/stb. élet     vkinek"
"/st/snk/r2367.mp3"        ,"sb's past"                           ,"B1"   ,"a múltja     vkinek"
"/st/snw/give.mp3"         ,"give"                                ,"B1"   ,"ad vkinek vmire,  szán vmire"
"/st/snw/pause.mp3"        ,"pause"                               ,"B1"   ,"szünetet tart, megáll"
"/st/snw/postpone.mp3"     ,"postpone"                            ,"B1"   ,"elhalaszt"
"/st/snw/date.mp3"         ,"date"                                ,"B1"   ,"időpont"
"/st/snw/stay.mp3"         ,"stay"                                ,"B1"   ,"tartózkodás vhol"
"/st/snw/outdoor.mp3"      ,"outdoor"                             ,"B1"   ,"szabadtéri, kinti"
"/st/snw/home.mp3"         ,"home"                                ,"B1"   ,"otthon"
"/st/snw/in.mp3"           ,"in"                                  ,"B1"   ,"otthon, benn"
"/st/snw/indoors.mp3"      ,"indoors"                             ,"B1"   ,"be, bent"
"/st/snw/outdoors.mp3"     ,"outdoors"                            ,"B1"   ,"kint, szabadban"
"/st/snk/r1407.mp3"        ,"hang on"                             ,"B1"   ,"egy kicsit vár"
"/st/snk/r1471.mp3"        ,"hold on"                             ,"B1"   ,"vár egy kicsit"
"/st/snk/r1698.mp3"        ,"keep sb in"                          ,"B1"   ,"benn tart"
"/st/snk/r2227.mp3"        ,"put off sth/doing ↔ sth"             ,"B1"   ,"későbbre halaszt, elhalaszt"
"/st/snk/r2540.mp3"        ,"stay behind"                         ,"B1"   ,"marad, ott marad"
"/st/snk/r2541.mp3"        ,"stay in"                             ,"B1"   ,"otthon marad"
"/st/snk/r1701.mp3"        ,"keep sb waiting"                     ,"B1"   ,"megvárakoztat  vkit"
"/st/snk/r2410.mp3"        ,"set a date/time (for sth)"           ,"B1"   ,"dátumot/időpontot kijelöl  vkit"
"/st/snk/r2596.mp3"        ,"take a break/rest, etc."             ,"B1"   ,"szünetet/pihenőt/stb. tart  vkit"
"/st/snw/attend.mp3"       ,"attend"                              ,"B1"   ,"elmegy vhova, megjelenik egy eseményen/helyen"
"/st/snw/break.mp3"        ,"break"                               ,"B1"   ,"vakáció, szabadság"
"/st/snw/habit.mp3"        ,"habit"                               ,"B1"   ,"szokás, megszokás"
"/st/snw/leisure.mp3"      ,"leisure"                             ,"B1"   ,"szabadidő"
"/st/snk/r1334.mp3"        ,"give up ↔ (sth)"                     ,"B1"   ,"leszokik  vmiről"
"/st/snk/r1336.mp3"        ,"give up ↔ sth"                       ,"B1"   ,"abbahagy  vmiről"
"/st/snk/r1406.mp3"        ,"hang about/around (swh)"             ,"B1"   ,"lóg, lézeng  vmiről"
"/st/snk/r1408.mp3"        ,"hang out"                            ,"B1"   ,"lóg , jár  vmiről"
"/st/snk/r1824.mp3"        ,"look around/round (swh)"             ,"B1"   ,"körbenéz, körülnéz  vmiről"
"/st/snk/r415.mp3"         ,"attend a church/college/school, etc.","B1"   ,"templomba/főiskolára/iskolába/stb. jár   vmilyen  vmihez/vkihez  vmihez/vkihez  vmit/volt vmi"
"/st/snk/r538.mp3"         ,"be in the middle of (doing) sth"     ,"B1"   ,"éppen tevékenység közepén van   vmilyen  vmihez/vkihez  vmihez/vkihez  vmit/volt vmi"
"/st/snk/r644.mp3"         ,"be used to sb/sth/doing sth"         ,"B1"   ,"hozzá van szokva   vmilyen  vmihez/vkihez  vmihez/vkihez  vmit/volt vmi"
"/st/snk/r1310.mp3"        ,"get/become used to sb/sth/doing sth" ,"B1"   ,"hozzászokik   vmilyen  vmihez/vkihez  vmihez/vkihez  vmit/volt vmi"
"/st/snk/r2978.mp3"        ,"used to do/be sth"                   ,"B1"   ,"régebben szokott csinálni   vmilyen  vmihez/vkihez  vmihez/vkihez  vmit/volt vmi"
"/st/snk/r2989.mp3"        ,"walk the dog"                        ,"B1"   ,"kutyát sétáltat   vmilyen  vmihez/vkihez  vmihez/vkihez  vmit/volt vmi"
"/st/snw/celebrate.mp3"    ,"celebrate"                           ,"B1"   ,"ünnepel, megünnepel"
"/st/snw/entertain.mp3"    ,"entertain"                           ,"B1"   ,"szórakoztat"
"/st/snw/hold.mp3"         ,"hold"                                ,"B1"   ,"tart, rendez, szervez"
"/st/snw/joke.mp3"         ,"joke"                                ,"B1"   ,"viccel, tréfálkozik"
"/st/snw/anniversary.mp3"  ,"anniversary"                         ,"B1"   ,"évforduló"
"/st/snw/attraction.mp3"   ,"attraction"                          ,"B1"   ,"látványosság, szórakozási lehetőség; vonzerő"
"/st/snw/barman.mp3"       ,"barman"                              ,"B1"   ,"csapos, pultos"
"/st/snw/celebration.mp3"  ,"celebration"                         ,"B1"   ,"ünnepség, ünnepély, ünneplés"
"/st/snw/ceremony.mp3"     ,"ceremony"                            ,"B1"   ,"ünnepély, szertartás"
"/st/snw/circus.mp3"       ,"circus"                              ,"B1"   ,"cirkusz"
"/st/snw/club.mp3"         ,"club"                                ,"B1"   ,"klub, éjszakai mulató"
