"AUDIOFILE"                ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/beauty.mp3"       ,"beauty"                             ,"B1"   ,"szépség"
"/st/snw/quality.mp3"      ,"quality"                            ,"B1"   ,"minőség"
"/st/snw/acceptable.mp3"   ,"acceptable"                         ,"B1"   ,"elfogadható, megfelelő"
"/st/snw/all_right.mp3"    ,"all right"                          ,"B1"   ,"elég jó, megfelelő"
"/st/snw/alright.mp3"      ,"alright"                            ,"B1"   ,"elég jó, megfelelő"
"/st/snw/awful.mp3"        ,"awful"                              ,"B1"   ,"rémes, borzasztó; borzalmas, szörnyű"
"/st/snw/charming.mp3"     ,"charming"                           ,"B1"   ,"bájos"
"/st/snw/gorgeous.mp3"     ,"gorgeous"                           ,"B1"   ,"csodás, nagyszerű; vonzó"
"/st/snw/high.mp3"         ,"high"                               ,"B1"   ,"magas, jó minőségű"
"/st/snw/incredible.mp3"   ,"incredible"                         ,"B1"   ,"hihetetlen, fantasztikus"
"/st/snw/magnificent.mp3"  ,"magnificent"                        ,"B1"   ,"nagyszerű, gyönyörű, csodás"
"/st/snw/marvellous.mp3"   ,"marvellous"                         ,"B1"   ,"csodálatos, nagyszerű"
"/st/snw/pretty.mp3"       ,"pretty"                             ,"B1"   ,"csinos, bájos"
"/st/snw/proper.mp3"       ,"proper"                             ,"B1"   ,"megfelelő; kellő; helyénvaló, illendő"
"/st/snw/reasonable.mp3"   ,"reasonable"                         ,"B1"   ,"elfogadható, nem kiemelkedő"
"/st/snw/spectacular.mp3"  ,"spectacular"                        ,"B1"   ,"látványos"
"/st/snw/suitable.mp3"     ,"suitable"                           ,"B1"   ,"megfelelő; vkinek/vminek való"
"/st/snw/terrific.mp3"     ,"terrific"                           ,"B1"   ,"klassz, tök jó"
"/st/snw/ugly.mp3"         ,"ugly"                               ,"B1"   ,"csúnya"
"/st/snw/useless.mp3"      ,"useless"                            ,"B1"   ,"használhatatlan ; semmi értelme"
"/st/snw/wrong.mp3"        ,"wrong"                              ,"B1"   ,"baj van"
"/st/snw/beautifully.mp3"  ,"beautifully"                        ,"B1"   ,"szépen, gyönyörűen"
"/st/snw/how.mp3"          ,"how"                                ,"B1"   ,"milyen"
"/st/snw/properly.mp3"     ,"properly"                           ,"B1"   ,"rendesen, megfelelően"
"/st/snk/r1145.mp3"        ,"feel like sb/sth"                   ,"B1"   ,"érez magát  vmit/érzi vmilyennek/vminek"
"/st/snk/r1163.mp3"        ,"find sb/sth easy/boring/funny, etc.","B1"   ,"könnyűnek/unalmasnak/furcsának/stb. talál  vmit/érzi vmilyennek/vminek"
