"AUDIOFILE"             ,"FOREIGNWORD"           ,"LEVEL","NATIVEWORD"
"/st/snw/barbecue.mp3"  ,"barbecue"              ,"B1"   ,"roston süt"
"/st/snw/bite.mp3"      ,"bite"                  ,"B1"   ,"harap, megharap; mar, megmar ; csíp, megcsíp"
"/st/snw/boil.mp3"      ,"boil"                  ,"B1"   ,"forr, felforr;  forral, felforral"
"/st/snw/boil.mp3"      ,"boil"                  ,"B1"   ,"vízben főz"
"/st/snw/burn.mp3"      ,"burn"                  ,"B1"   ,"eléget vmit, megég vmi"
"/st/snw/feed.mp3"      ,"feed"                  ,"B1"   ,"etet, megetet vkit/vmit"
"/st/snw/finish.mp3"    ,"finish"                ,"B1"   ,"megeszi, megissza"
"/st/snw/fry.mp3"       ,"fry"                   ,"B1"   ,"süt, megsüt, kisüt"
"/st/snw/grill.mp3"     ,"grill"                 ,"B1"   ,"grillez, roston süt"
"/st/snw/diet.mp3"      ,"diet"                  ,"B1"   ,"étrend, táplálkozás"
"/st/snw/hunger.mp3"    ,"hunger"                ,"B1"   ,"éhség, éhségérzet"
"/st/snw/ingredient.mp3","ingredient"            ,"B1"   ,"alkotóelem, hozzávaló"
"/st/snw/recipe.mp3"    ,"recipe"                ,"B1"   ,"recept, ételrecept"
"/st/snw/vegetarian.mp3","vegetarian"            ,"B1"   ,"vegetáriánus"
"/st/snw/vegetarian.mp3","vegetarian"            ,"B1"   ,"vegetáriánus"
"/st/snw/broccoli.mp3"  ,"broccoli"              ,"B1"   ,"brokkoli"
"/st/snw/cabbage.mp3"   ,"cabbage"               ,"B1"   ,"káposzta"
"/st/snw/coconut.mp3"   ,"coconut"               ,"B1"   ,"kókuszdió"
"/st/snw/courgette.mp3" ,"courgette"             ,"B1"   ,"cukkini"
"/st/snw/cucumber.mp3"  ,"cucumber"              ,"B1"   ,"uborka"
"/st/snw/herb.mp3"      ,"herb"                  ,"B1"   ,"fűszernövény; gyógynövény"
"/st/snw/lettuce.mp3"   ,"lettuce"               ,"B1"   ,"fejes saláta"
"/st/snw/olive.mp3"     ,"olive"                 ,"B1"   ,"olíva, olajbogyó"
"/st/snw/pea.mp3"       ,"pea"                   ,"B1"   ,"borsó, zöldborsó"
"/st/snw/peach.mp3"     ,"peach"                 ,"B1"   ,"őszibarack"
"/st/snw/peanut.mp3"    ,"peanut"                ,"B1"   ,"földimogyoró, amerikai mogyoró"
"/st/snw/pepper.mp3"    ,"pepper"                ,"B1"   ,"paprika"
"/st/snw/pineapple.mp3" ,"pineapple"             ,"B1"   ,"ananász"
"/st/snw/spice.mp3"     ,"spice"                 ,"B1"   ,"fűszer"
"/st/snw/spinach.mp3"   ,"spinach"               ,"B1"   ,"spenót"
"/st/snw/strawberry.mp3","strawberry"            ,"B1"   ,"eper"
"/st/snw/freeze.mp3"    ,"freeze"                ,"B1"   ,"lefagyaszt"
"/st/snw/bacon.mp3"     ,"bacon"                 ,"B1"   ,"angolszalonna"
"/st/snw/beef.mp3"      ,"beef"                  ,"B1"   ,"marhahús"
"/st/snw/cod.mp3"       ,"cod"                   ,"B1"   ,"tőkehal"
"/st/snw/flavour.mp3"   ,"flavour"               ,"B1"   ,"íz, zamat"
"/st/snw/flour.mp3"     ,"flour"                 ,"B1"   ,"liszt"
"/st/snw/pork.mp3"      ,"pork"                  ,"B1"   ,"sertéshús, disznóhús"
"/st/snw/roll.mp3"      ,"roll"                  ,"B1"   ,"zsemle, zsömle"
"/st/snw/salmon.mp3"    ,"salmon"                ,"B1"   ,"lazac"
"/st/snw/taste.mp3"     ,"taste"                 ,"B1"   ,"íz"
"/st/snw/tin.mp3"       ,"tin"                   ,"B1"   ,"konzerv, konzervdoboz"
"/st/snw/tuna.mp3"      ,"tuna"                  ,"B1"   ,"tonhal"
"/st/snw/turkey.mp3"    ,"turkey"                ,"B1"   ,"pulyka; pulykahús"
"/st/snw/delicious.mp3" ,"delicious"             ,"B1"   ,"finom"
"/st/snw/frozen.mp3"    ,"frozen"                ,"B1"   ,"mélyhűtött, mirelit"
"/st/snw/hot.mp3"       ,"hot"                   ,"B1"   ,"csípős, erős"
"/st/snw/juicy.mp3"     ,"juicy"                 ,"B1"   ,"lédús, szaftos"
"/st/snw/raw.mp3"       ,"raw"                   ,"B1"   ,"nyers-"
"/st/snw/spicy.mp3"     ,"spicy"                 ,"B1"   ,"fűszeres, csípős"
"/st/snw/tasty.mp3"     ,"tasty"                 ,"B1"   ,"zamatos, ízletes, jóízű"
"/st/snw/pie.mp3"       ,"pie"                   ,"B1"   ,"pite, lepény"
"/st/snw/tea.mp3"       ,"tea"                   ,"B1"   ,"uzsonna, teázás"
"/st/snw/alcoholic.mp3" ,"alcoholic"             ,"B1"   ,"alkoholos, szeszes, alkoholtartalmú"
"/st/snw/still.mp3"     ,"still"                 ,"B1"   ,"nem szénsavas"
"/st/snk/r1459.mp3"     ,"help yourself (to sth)","B1"   ,"vesz magának , kiszolgálja magát"
"/st/snk/r1758.mp3"     ,"lay the table"         ,"B1"   ,"megterít"
"/st/snk/r2499.mp3"     ,"sparkling water/wine"  ,"B1"   ,"szódavíz/pezsgőbor, szénsavas ital"
