"AUDIOFILE"                ,"FOREIGNWORD"        ,"LEVEL","NATIVEWORD"
"/st/snw/dress.mp3"        ,"dress"              ,"B1"   ,"öltözik/öltözködik vhogy"
"/st/snw/fit.mp3"          ,"fit"                ,"B1"   ,"megfelel, jó ; való vmire, illik/beleillik vhova"
"/st/snw/go.mp3"           ,"go"                 ,"B1"   ,"megy vmihez, jól illik vmihez"
"/st/snw/take.mp3"         ,"take"               ,"B1"   ,"vmilyen méretű ruhát/cipőt hord"
"/st/snw/undress.mp3"      ,"undress"            ,"B1"   ,"levetkőzik; levetkőztet"
"/st/snw/fashion.mp3"      ,"fashion"            ,"B1"   ,"divat, divatszakma"
"/st/snw/model.mp3"        ,"model"              ,"B1"   ,"modell, manöken"
"/st/snw/style.mp3"        ,"style"              ,"B1"   ,"stílus, divat;  modell"
"/st/snw/casual.mp3"       ,"casual"             ,"B1"   ,"kényelmes, lezser"
"/st/snw/dressed.mp3"      ,"dressed"            ,"B1"   ,"öltözött vhogyan"
"/st/snw/fashionable.mp3"  ,"fashionable"        ,"B1"   ,"divatos ; felkapott"
"/st/snw/loose.mp3"        ,"loose"              ,"B1"   ,"bő"
"/st/snw/smart.mp3"        ,"smart"              ,"B1"   ,"elegáns"
"/st/snw/stylish.mp3"      ,"stylish"            ,"B1"   ,"divatos, elegáns"
"/st/snw/tight.mp3"        ,"tight"              ,"B1"   ,"szűk, szoros"
"/st/snw/uncomfortable.mp3","uncomfortable"      ,"B1"   ,"kényelmetlen ; kellemetlen"
"/st/snw/well-dressed.mp3" ,"well-dressed"       ,"B1"   ,"jól öltözött"
"/st/snw/in.mp3"           ,"in"                 ,"B1"   ,"-ban, -ben"
"/st/snk/r1415.mp3"        ,"have (got) on ↔ sth","B1"   ,"visel hord"
"/st/snk/r2994.mp3"        ,"wear out ↔ (sth)"   ,"B1"   ,"elhord, elkoptat; elhasználódik, elkopik"
"/st/snw/bracelet.mp3"     ,"bracelet"           ,"B1"   ,"karkötő"
"/st/snw/button.mp3"       ,"button"             ,"B1"   ,"gomb"
"/st/snw/collar.mp3"       ,"collar"             ,"B1"   ,"gallér"
"/st/snw/cotton.mp3"       ,"cotton"             ,"B1"   ,"pamut; pamutszál"
"/st/snw/handkerchief.mp3" ,"handkerchief"       ,"B1"   ,"zsebkendő"
"/st/snw/heel.mp3"         ,"heel"               ,"B1"   ,"sarok"
"/st/snw/knickers.mp3"     ,"knickers"           ,"B1"   ,"bugyi"
"/st/snw/material.mp3"     ,"material"           ,"B1"   ,"anyag, ruhaanyag"
"/st/snw/pants.mp3"        ,"pants"              ,"B1"   ,"alsónadrág"
"/st/snw/pocket.mp3"       ,"pocket"             ,"B1"   ,"zseb, rekesz"
"/st/snw/pullover.mp3"     ,"pullover"           ,"B1"   ,"pulóver"
"/st/snw/sandal.mp3"       ,"sandal"             ,"B1"   ,"szandál"
"/st/snw/silk.mp3"         ,"silk"               ,"B1"   ,"selyem"
"/st/snw/sleeve.mp3"       ,"sleeve"             ,"B1"   ,"ujj, ruhaujj  ; -ujjú"
"/st/snw/stone.mp3"        ,"stone"              ,"B1"   ,"drágakő"
"/st/snw/sweatshirt.mp3"   ,"sweatshirt"         ,"B1"   ,"hosszú ujjú pamutpóló"
"/st/snw/tissue.mp3"       ,"tissue"             ,"B1"   ,"papír zsebkendő"
"/st/snw/top.mp3"          ,"top"                ,"B1"   ,"felső, felsőrész, top"
"/st/snw/tracksuit.mp3"    ,"tracksuit"          ,"B1"   ,"tréningruha, melegítő"
"/st/snw/underpants.mp3"   ,"underpants"         ,"B1"   ,"alsónadrág"
"/st/snw/underwear.mp3"    ,"underwear"          ,"B1"   ,"fehérnemű"
