"AUDIOFILE"                  ,"FOREIGNWORD"                                  ,"LEVEL","NATIVEWORD"
"/st/snw/fade.mp3"           ,"fade"                                         ,"B2"   ,"kifakul, kifakít; elhalványul"
"/st/snw/flash.mp3"          ,"flash"                                        ,"B2"   ,"villan, felvillan ; villant, felvillant"
"/st/snw/light.mp3"          ,"light"                                        ,"B2"   ,"világít, megvilágít vmit"
"/st/snw/reflect.mp3"        ,"reflect"                                      ,"B2"   ,"tükröz  ; tükröződik; visszaver; visszaverődik"
"/st/snw/background.mp3"     ,"background"                                   ,"B2"   ,"háttér"
"/st/snw/bang.mp3"           ,"bang"                                         ,"B2"   ,"csattanás, dörej"
"/st/snw/beam.mp3"           ,"beam"                                         ,"B2"   ,"fénysugár; sugárnyaláb"
"/st/snw/crash.mp3"          ,"crash"                                        ,"B2"   ,"reccsenés, csattanás"
"/st/snw/flash.mp3"          ,"flash"                                        ,"B2"   ,"villanás, felvillanás"
"/st/snw/laser.mp3"          ,"laser"                                        ,"B2"   ,"lézer"
"/st/snw/ray.mp3"            ,"ray"                                          ,"B2"   ,"sugár"
"/st/snw/reflection.mp3"     ,"reflection"                                   ,"B2"   ,"tükörkép; visszaverődés"
"/st/snw/ring.mp3"           ,"ring"                                         ,"B2"   ,"csengés; csengetés"
"/st/snw/shade.mp3"          ,"shade"                                        ,"B2"   ,"árnyalat, színárnyalat"
"/st/snw/signal.mp3"         ,"signal"                                       ,"B2"   ,"jel"
"/st/snw/splash.mp3"         ,"splash"                                       ,"B2"   ,"loccsanás, csobbanás"
"/st/snw/wave.mp3"           ,"wave"                                         ,"B2"   ,"hullám"
"/st/snw/deep.mp3"           ,"deep"                                         ,"B2"   ,"mély"
"/st/snw/low.mp3"            ,"low"                                          ,"B2"   ,"mély; halk"
"/st/snw/sparkling.mp3"      ,"sparkling"                                    ,"B2"   ,"szikrázó, csillogó"
"/st/snw/transparent.mp3"    ,"transparent"                                  ,"B2"   ,"átlátszó"
"/st/snw/vivid.mp3"          ,"vivid"                                        ,"B2"   ,"élénk"
"/st/snw/brightly.mp3"       ,"brightly"                                     ,"B2"   ,"fényesen; élénken; vidáman"
"/st/snw/silently.mp3"       ,"silently"                                     ,"B2"   ,"csendben, csendesen"
"/st/snk/r1361.mp3"          ,"go off"                                       ,"B2"   ,"megszólal ; durran, csattan"
"/st/snw/decay.mp3"          ,"decay"                                        ,"B2"   ,"romlik, rothad, korhad; hanyatlik, romlik"
"/st/snw/melt.mp3"           ,"melt"                                         ,"B2"   ,"olvad, elolvad, felolvad; olvaszt, elolvaszt, felolvaszt"
"/st/snw/aluminium.mp3"      ,"aluminium"                                    ,"B2"   ,"alumínium"
"/st/snw/carbon.mp3"         ,"carbon"                                       ,"B2"   ,"szén"
"/st/snw/cardboard.mp3"      ,"cardboard"                                    ,"B2"   ,"kartonpapír"
"/st/snw/concrete.mp3"       ,"concrete"                                     ,"B2"   ,"beton"
"/st/snw/copper.mp3"         ,"copper"                                       ,"B2"   ,"réz, vörösréz"
"/st/snw/rubber.mp3"         ,"rubber"                                       ,"B2"   ,"gumi"
"/st/snw/softness.mp3"       ,"softness"                                     ,"B2"   ,"lágyság, puhaság, simaság"
"/st/snw/state.mp3"          ,"state"                                        ,"B2"   ,"állapot"
"/st/snw/steel.mp3"          ,"steel"                                        ,"B2"   ,"acél"
"/st/snw/breakable.mp3"      ,"breakable"                                    ,"B2"   ,"törékeny"
"/st/snw/delicate.mp3"       ,"delicate"                                     ,"B2"   ,"érzékeny; törékeny"
"/st/snw/firm.mp3"           ,"firm"                                         ,"B2"   ,"kemény, szilárd, tömör"
"/st/snw/rusty.mp3"          ,"rusty"                                        ,"B2"   ,"rozsdás"
