"AUDIOFILE"              ,"FOREIGNWORD"          ,"LEVEL","NATIVEWORD"
"/st/snw/sell.mp3"       ,"sell"                 ,"B2"   ,"elkel"
"/st/snw/bakery.mp3"     ,"bakery"               ,"B2"   ,"pékség, sütöde"
"/st/snw/brand.mp3"      ,"brand"                ,"B2"   ,"márka"
"/st/snw/catalogue.mp3"  ,"catalogue"            ,"B2"   ,"katalógus, árjegyzék"
"/st/snw/demand.mp3"     ,"demand"               ,"B2"   ,"igény, kereslet"
"/st/snw/pack.mp3"       ,"pack"                 ,"B2"   ,"csomag"
"/st/snw/package.mp3"    ,"package"              ,"B2"   ,"csomag"
"/st/snw/sale.mp3"       ,"sale"                 ,"B2"   ,"árusítás, eladás"
"/st/snw/salon.mp3"      ,"salon"                ,"B2"   ,"szalon"
"/st/snw/sample.mp3"     ,"sample"               ,"B2"   ,"minta"
"/st/snw/shopkeeper.mp3" ,"shopkeeper"           ,"B2"   ,"üzlettulajdonos"
"/st/snw/stock.mp3"      ,"stock"                ,"B2"   ,"árukészlet"
"/st/snw/faulty.mp3"     ,"faulty"               ,"B2"   ,"hibás ; hibásan működő, rossz"
"/st/snw/unavailable.mp3","unavailable"          ,"B2"   ,"elérhetetlen, nem hozzáférhető vmi"
"/st/snk/r2403.mp3"      ,"sell out"             ,"B2"   ,"mindet elad; mind elkel"
"/st/snk/r1592.mp3"      ,"in stock"             ,"B2"   ,"raktáron"
"/st/snk/r1593.mp3"      ,"in stock/out of stock","B2"   ,"raktáron/kifogyott"
"/st/snk/r2050.mp3"      ,"on offer"             ,"B2"   ,"eladó; rendelkezésre álló"
"/st/snk/r2117.mp3"      ,"out of stock"         ,"B2"   ,"kifogyott"
"/st/snk/r2353.mp3"      ,"sales"                ,"B2"   ,"forgalom, áruforgalom, eladások"
"/st/snw/debit.mp3"      ,"debit"                ,"B2"   ,"bankszámláról kifizet, bankszámlát megterhel"
"/st/snw/lend.mp3"       ,"lend"                 ,"B2"   ,"kölcsönt ad"
"/st/snw/raise.mp3"      ,"raise"                ,"B2"   ,"gyűjt, szerez"
"/st/snw/repay.mp3"      ,"repay"                ,"B2"   ,"visszafizet"
"/st/snw/balance.mp3"    ,"balance"              ,"B2"   ,"egyenleg"
"/st/snw/banker.mp3"     ,"banker"               ,"B2"   ,"bankár, magas rangú banktisztviselő"
"/st/snw/banking.mp3"    ,"banking"              ,"B2"   ,"bankszakma"
"/st/snw/claim.mp3"      ,"claim"                ,"B2"   ,"követelés, igény"
"/st/snw/counter.mp3"    ,"counter"              ,"B2"   ,"pult ; pénztárablak"
"/st/snw/debit.mp3"      ,"debit"                ,"B2"   ,"kifizetés, terhelés; tartozik-számla"
"/st/snw/debit_card.mp3" ,"debit card"           ,"B2"   ,"bankkártya"
"/st/snw/debt.mp3"       ,"debt"                 ,"B2"   ,"tartozás, adósság"
"/st/snw/debt.mp3"       ,"debt"                 ,"B2"   ,"adósság, eladósodás"
"/st/snw/insurance.mp3"  ,"insurance"            ,"B2"   ,"biztosítás"
"/st/snw/rate.mp3"       ,"rate"                 ,"B2"   ,"díj, díjszabás"
"/st/snw/savings.mp3"    ,"savings"              ,"B2"   ,"megtakarítás, spórolt pénz"
"/st/snk/r2149.mp3"      ,"pay off ↔ sth"        ,"B2"   ,"kifizet, kiegyenlít"
"/st/snk/r2239.mp3"      ,"put sth aside"        ,"B2"   ,"félretesz, félrerak"
"/st/snk/r2629.mp3"      ,"take out ↔ sth"       ,"B2"   ,"kivesz, felvesz"
"/st/snw/exchange.mp3"   ,"exchange"             ,"B2"   ,"kicserél"
"/st/snw/purchase.mp3"   ,"purchase"             ,"B2"   ,"vásárol, megvásárol"
"/st/snw/queue.mp3"      ,"queue"                ,"B2"   ,"sorban áll/vár"
"/st/snw/bargain.mp3"    ,"bargain"              ,"B2"   ,"jó/alkalmi vétel"
"/st/snw/board.mp3"      ,"board"                ,"B2"   ,"étkezési ellátás, étkezés"
"/st/snw/catering.mp3"   ,"catering"             ,"B2"   ,"élelmezés, élelmiszerellátás"
"/st/snw/facility.mp3"   ,"facility"             ,"B2"   ,"funkció , alkalmasság, használhatóság vmire"
"/st/snw/guarantee.mp3"  ,"guarantee"            ,"B2"   ,"garancia ; garancialevél"
"/st/snw/package.mp3"    ,"package"              ,"B2"   ,"csomag"
"/st/snw/payment.mp3"    ,"payment"              ,"B2"   ,"fizetés, befizetés"
"/st/snw/payment.mp3"    ,"payment"              ,"B2"   ,"fizetés"
"/st/snw/purchase.mp3"   ,"purchase"             ,"B2"   ,"megvásárolt dolog"
"/st/snw/purchase.mp3"   ,"purchase"             ,"B2"   ,"vásárlás"
"/st/snw/service.mp3"    ,"service"              ,"B2"   ,"felszolgálási díj"
"/st/snw/budget.mp3"     ,"budget"               ,"B2"   ,"kedvezményes"
"/st/snw/posh.mp3"       ,"posh"                 ,"B2"   ,"flancos"
"/st/snw/precious.mp3"   ,"precious"             ,"B2"   ,"drága, értékes"
"/st/snw/priceless.mp3"  ,"priceless"            ,"B2"   ,"megfizethetetlen"
"/st/snk/r917.mp3"       ,"come to sth"          ,"B2"   ,"kitesz , rúg"
"/st/snk/r2406.mp3"      ,"send off ↔ sth"       ,"B2"   ,"küld, elküld"
