"AUDIOFILE"                  ,"FOREIGNWORD"                                 ,"LEVEL","NATIVEWORD"
"/st/snw/absolute.mp3"       ,"absolute"                                    ,"B2"   ,"teljes, totális"
"/st/snw/critical.mp3"       ,"critical"                                    ,"B2"   ,"kritikus, válságos, veszélyes"
"/st/snw/dramatic.mp3"       ,"dramatic"                                    ,"B2"   ,"drámai  ; izgalmas, megrázó, drámai"
"/st/snw/fatal.mp3"          ,"fatal"                                       ,"B2"   ,"végzetes"
"/st/snw/fierce.mp3"         ,"fierce"                                      ,"B2"   ,"heves, vad"
"/st/snw/intensive.mp3"      ,"intensive"                                   ,"B2"   ,"erős, intenzív"
"/st/snw/pure.mp3"           ,"pure"                                        ,"B2"   ,"tiszta, merő"
"/st/snw/severe.mp3"         ,"severe"                                      ,"B2"   ,"súlyos, komoly"
"/st/snw/strict.mp3"         ,"strict"                                      ,"B2"   ,"szigorú"
"/st/snw/tight.mp3"          ,"tight"                                       ,"B2"   ,"szigorú, szigorúan ellenőrzött"
"/st/snw/total.mp3"          ,"total"                                       ,"B2"   ,"teljes, totális"
"/st/snw/vivid.mp3"          ,"vivid"                                       ,"B2"   ,"élénk"
"/st/snw/wild.mp3"           ,"wild"                                        ,"B2"   ,"vad, féktelen, szertelen"
"/st/snw/altogether.mp3"     ,"altogether"                                  ,"B2"   ,"teljesen, egészen"
"/st/snw/critically.mp3"     ,"critically"                                  ,"B2"   ,"kritikusan, súlyosan; bírálóan"
"/st/snw/dramatically.mp3"   ,"dramatically"                                ,"B2"   ,"drámai módon"
"/st/snw/entirely.mp3"       ,"entirely"                                    ,"B2"   ,"egészen, teljesen"
"/st/snw/severely.mp3"       ,"severely"                                    ,"B2"   ,"súlyosan, komolyan; keményen"
"/st/snw/thoroughly.mp3"     ,"thoroughly"                                  ,"B2"   ,"teljesen"
"/st/snw/vividly.mp3"        ,"vividly"                                     ,"B2"   ,"élénken"
"/st/snk/r1799.mp3"          ,"like mad"                                    ,"B2"   ,"mint az őrült"
"/st/snw/comparison.mp3"     ,"comparison"                                  ,"B2"   ,"összehasonlítás"
"/st/snw/degree.mp3"         ,"degree"                                      ,"B2"   ,"fok"
"/st/snw/scale.mp3"          ,"scale"                                       ,"B2"   ,"mérték; méret"
"/st/snw/ultimate.mp3"       ,"ultimate"                                    ,"B2"   ,"legnagyobb fokú, legmesszebbmenő; kimondhatatlan, határtalan"
"/st/snw/far.mp3"            ,"far"                                         ,"B2"   ,"sokkal, jóval"
"/st/snw/further.mp3"        ,"further"                                     ,"B2"   ,"tovább"
"/st/snw/increasingly.mp3"   ,"increasingly"                                ,"B2"   ,"növekvő mértékben, egyre inkább"
"/st/snw/worst.mp3"          ,"worst"                                       ,"B2"   ,"legrosszabbul"
"/st/snw/the.mp3"            ,"the"                                         ,"B2"   ,"minél ..., annál ..."
"/st/snk/r267.mp3"           ,"add to sth"                                  ,"B2"   ,"fokoz/tetéz  vmit"
"/st/snk/r704.mp3"           ,"better/worse still"                          ,"B2"   ,"még jobb/rosszabb    vkihez/vmihez vkivel/vmivel    vmihez"
"/st/snk/r785.mp3"           ,"by far"                                      ,"B2"   ,"messze, vitathatatlanul    vkihez/vmihez vkivel/vmivel    vmihez"
"/st/snk/r934.mp3"           ,"compared to/with sb/sth"                     ,"B2"   ,"hasonlítva , összehasonlítva    vkihez/vmihez vkivel/vmivel    vmihez"
"/st/snk/r981.mp3"           ,"day by day/little by little/one by one, etc.","B2"   ,"naponta, napról napra/lassanként/egyenként, stb.    vkihez/vmihez vkivel/vmivel    vmihez"
"/st/snk/r1488.mp3"          ,"however cold/difficult/slowly, etc."         ,"B2"   ,"akármennyire hideg/nehéz/lassan    vkihez/vmihez vkivel/vmivel    vmihez"
"/st/snk/r1577.mp3"          ,"in relation to sth"                          ,"B2"   ,"viszonyítva    vkihez/vmihez vkivel/vmivel    vmihez"
"/st/snk/r1929.mp3"          ,"more and more"                               ,"B2"   ,"egyre jobban, egyre inkább    vkihez/vmihez vkivel/vmivel    vmihez"
"/st/snk/r3044.mp3"          ,"worse and worse"                             ,"B2"   ,"egyre rosszabb    vkihez/vmihez vkivel/vmivel    vmihez"
"/st/snw/peak.mp3"           ,"peak"                                        ,"B2"   ,"csúcs, csúcspont"
"/st/snw/considerable.mp3"   ,"considerable"                                ,"B2"   ,"jelentős"
"/st/snw/endless.mp3"        ,"endless"                                     ,"B2"   ,"végtelen"
"/st/snw/extensive.mp3"      ,"extensive"                                   ,"B2"   ,"kiterjedt, terjedelmes"
"/st/snw/extreme.mp3"        ,"extreme"                                     ,"B2"   ,"hatalmas"
"/st/snw/high.mp3"           ,"high"                                        ,"B2"   ,"magas, vezető, előkelő, fő"
"/st/snw/tremendous.mp3"     ,"tremendous"                                  ,"B2"   ,"hatalmas, óriási"
"/st/snw/considerably.mp3"   ,"considerably"                                ,"B2"   ,"jelentősen"
"/st/snw/deeply.mp3"         ,"deeply"                                      ,"B2"   ,"mélyen, mélységesen"
"/st/snw/desperately.mp3"    ,"desperately"                                 ,"B2"   ,"borzasztóan"
"/st/snw/extraordinarily.mp3","extraordinarily"                             ,"B2"   ,"különlegesen, rendkívül"
"/st/snw/fantastically.mp3"  ,"fantastically"                               ,"B2"   ,"különlegesen, fantasztikusan"
"/st/snw/greatly.mp3"        ,"greatly"                                     ,"B2"   ,"nagyon"
"/st/snw/incredibly.mp3"     ,"incredibly"                                  ,"B2"   ,"hihetetlenül"
"/st/snw/largely.mp3"        ,"largely"                                     ,"B2"   ,"nagyrészt, főleg"
"/st/snw/powerfully.mp3"     ,"powerfully"                                  ,"B2"   ,"erőteljesen; rendkívüli módon"
"/st/snw/significantly.mp3"  ,"significantly"                               ,"B2"   ,"jelentősen"
"/st/snw/strongly.mp3"       ,"strongly"                                    ,"B2"   ,"erősen, erőteljesen"
"/st/snw/tremendously.mp3"   ,"tremendously"                                ,"B2"   ,"nagyon, rettentően"
"/st/snk/r1094.mp3"          ,"ever so"                                     ,"B2"   ,"annyira, nagyon"
"/st/snk/r2895.mp3"          ,"to a great/large, etc. extent"               ,"B2"   ,"nagy mértékben"
"/st/snw/delicate.mp3"       ,"delicate"                                    ,"B2"   ,"finom  , halvány"
"/st/snw/faint.mp3"          ,"faint"                                       ,"B2"   ,"halvány, csekély ; bátortalan, erőtlen"
"/st/snw/barely.mp3"         ,"barely"                                      ,"B2"   ,"alig, éppen hogy, éppen csak"
"/st/snw/essentially.mp3"    ,"essentially"                                 ,"B2"   ,"alapvetően"
"/st/snw/narrowly.mp3"       ,"narrowly"                                    ,"B2"   ,"alig, éppen hogy"
"/st/snw/practically.mp3"    ,"practically"                                 ,"B2"   ,"gyakorlatilag, szinte"
"/st/snw/primarily.mp3"      ,"primarily"                                   ,"B2"   ,"elsősorban"
"/st/snw/slightly.mp3"       ,"slightly"                                    ,"B2"   ,"egy kicsit/kissé"
"/st/snw/virtually.mp3"      ,"virtually"                                   ,"B2"   ,"jóformán"
"/st/snk/r180.mp3"           ,"a little"                                    ,"B2"   ,"egy kicsit"
"/st/snk/r319.mp3"           ,"anything like"                               ,"B2"   ,"valamennyire is , közel sem olyan"
"/st/snk/r1509.mp3"          ,"in a way; in some/many ways"                 ,"B2"   ,"bizonyos tekintetben, bizonyos fokig"
"/st/snk/r1931.mp3"          ,"more or less"                                ,"B2"   ,"többé-kevésbé"
"/st/snk/r1988.mp3"          ,"not half as good/bad/exciting, etc."         ,"B2"   ,"feleannyira sem olyan jó/rossz/izgalmas/stb."
"/st/snk/r1997.mp3"          ,"not quite"                                   ,"B2"   ,"nem egészen"
"/st/snk/r2197.mp3"          ,"pretty much/well"                            ,"B2"   ,"nagyjából"
"/st/snk/r2273.mp3"          ,"reasonably good/successful/well, etc."       ,"B2"   ,"elfogadhatóan/aránylag jó/sikeres/jól/stb."
"/st/snk/r2291.mp3"          ,"relatively good/bad/cheap, etc."             ,"B2"   ,"aránylag jó/rossz/olcsó/stb."
"/st/snk/r2491.mp3"          ,"sort of"                                     ,"B2"   ,"nagyjából, többé-kevésbé"
"/st/snk/r2913.mp3"          ,"to some extent/to a certain extent"          ,"B2"   ,"bizonyos mértékig"
"/st/snk/r2969.mp3"          ,"up to a point"                               ,"B2"   ,"részben"
