"AUDIOFILE"               ,"FOREIGNWORD"                                   ,"LEVEL","NATIVEWORD"
"/st/snw/cheer.mp3"       ,"cheer"                                         ,"B2"   ,"biztat, éljenez"
"/st/snw/congratulate.mp3","congratulate"                                  ,"B2"   ,"gratulál vkinek"
"/st/snw/introduction.mp3","introduction"                                  ,"B2"   ,"bemutatás; bemutatkozás"
"/st/snk/r56.mp3"         ,"Good for you!"                                 ,"B2"   ,"Gratulálok!"
"/st/snw/anyhow.mp3"      ,"anyhow"                                        ,"B2"   ,"na mindegy, na jól van"
"/st/snw/firstly.mp3"     ,"firstly"                                       ,"B2"   ,"először"
"/st/snw/lastly.mp3"      ,"lastly"                                        ,"B2"   ,"utoljára, legutoljára"
"/st/snw/second.mp3"      ,"second"                                        ,"B2"   ,"másodszor"
"/st/snw/secondly.mp3"    ,"secondly"                                      ,"B2"   ,"másodszor"
"/st/snw/onto.mp3"        ,"onto"                                          ,"B2"   ,"-ra, -re"
"/st/snk/r339.mp3"        ,"as far as sth is concerned"                    ,"B2"   ,"ami illet  vmit"
"/st/snk/r340.mp3"        ,"as follows"                                    ,"B2"   ,"a következő; a következők  vmit"
"/st/snk/r341.mp3"        ,"as for"                                        ,"B2"   ,"ami illeti  vmit"
"/st/snk/r348.mp3"        ,"as regards sth"                                ,"B2"   ,"illetően  vmit"
"/st/snk/r1217.mp3"       ,"forget it"                                     ,"B2"   ,"felejtsd el, hagyjuk ezt  vmit"
"/st/snk/r1529.mp3"       ,"in conclusion"                                 ,"B2"   ,"befejezésül  vmit"
"/st/snk/r1747.mp3"       ,"last but not least"                            ,"B2"   ,"utoljára, de nem utolsósorban  vmit"
"/st/snk/r2899.mp3"       ,"to begin with"                                 ,"B2"   ,"először is  vmit"
"/st/snk/r2916.mp3"       ,"to start with"                                 ,"B2"   ,"először is ...  vmit"
"/st/snw/additionally.mp3","additionally"                                  ,"B2"   ,"azonfelül"
"/st/snw/altogether.mp3"  ,"altogether"                                    ,"B2"   ,"mindent egybevéve"
"/st/snw/anyhow.mp3"      ,"anyhow"                                        ,"B2"   ,"különben is, egyébként is"
"/st/snw/basically.mp3"   ,"basically"                                     ,"B2"   ,"alapjában véve"
"/st/snw/furthermore.mp3" ,"furthermore"                                   ,"B2"   ,"továbbá, azonkívül"
"/st/snw/ideally.mp3"     ,"ideally"                                       ,"B2"   ,"ideális esetben"
"/st/snw/merely.mp3"      ,"merely"                                        ,"B2"   ,"csak, csupán"
"/st/snw/moreover.mp3"    ,"moreover"                                      ,"B2"   ,"azonfelül"
"/st/snw/rather.mp3"      ,"rather"                                        ,"B2"   ,"azaz, jobban mondva"
"/st/snw/simply.mp3"      ,"simply"                                        ,"B2"   ,"egyszerűen, csupán"
"/st/snw/then.mp3"        ,"then"                                          ,"B2"   ,"azután"
"/st/snw/though.mp3"      ,"though"                                        ,"B2"   ,"azonban"
"/st/snw/or.mp3"          ,"or"                                            ,"B2"   ,"azaz, vagyis"
"/st/snk/r283.mp3"        ,"all in all"                                    ,"B2"   ,"mindent egybevetve"
"/st/snk/r301.mp3"        ,"among other things"                            ,"B2"   ,"többek között"
"/st/snk/r334.mp3"        ,"as a matter of fact"                           ,"B2"   ,"tulajdonképpen, valójában"
"/st/snk/r336.mp3"        ,"as a whole"                                    ,"B2"   ,"egészében véve"
"/st/snk/r387.mp3"        ,"at least"                                      ,"B2"   ,"legalábbis"
"/st/snk/r628.mp3"        ,"be the case"                                   ,"B2"   ,"ez a helyzet"
"/st/snk/r1246.mp3"       ,"generally/personally, etc. speaking"           ,"B2"   ,"nagy általánosságban/részemről/stb. mondva"
"/st/snk/r1511.mp3"       ,"in actual fact"                                ,"B2"   ,"valójában; tulajdonképpen"
"/st/snk/r1520.mp3"       ,"in any case"                                   ,"B2"   ,"azonkívül, azonfelül"
"/st/snk/r1554.mp3"       ,"in itself"                                     ,"B2"   ,"önmagában"
"/st/snk/r1564.mp3"       ,"in other words"                                ,"B2"   ,"azaz, más szóval"
"/st/snk/r1571.mp3"       ,"in practice"                                   ,"B2"   ,"gyakorlatilag"
"/st/snk/r1986.mp3"       ,"not exactly"                                   ,"B2"   ,"nem egészen"
"/st/snk/r2005.mp3"       ,"not to mention"                                ,"B2"   ,"nem is szólva/beszélve ..."
"/st/snk/r2035.mp3"       ,"on balance"                                    ,"B2"   ,"mindent összevéve"
"/st/snk/r2095.mp3"       ,"or anything"                                   ,"B2"   ,"vagy valami"
"/st/snk/r2102.mp3"       ,"or whatever"                                   ,"B2"   ,"vagy valami olyasmi"
"/st/snk/r2829.mp3"       ,"the thing is..."                               ,"B2"   ,"az a helyzet"
"/st/snk/r2898.mp3"       ,"to be precise"                                 ,"B2"   ,"pontosabban"
"/st/snk/r2894.mp3"       ,"to (the best of) my knowledge"                 ,"B2"   ,"tudomásom szerint"
"/st/snw/herself.mp3"     ,"herself"                                       ,"B2"   ,"ő maga"
"/st/snw/himself.mp3"     ,"himself"                                       ,"B2"   ,"ő maga"
"/st/snw/myself.mp3"      ,"myself"                                        ,"B2"   ,"én magam"
"/st/snw/themselves.mp3"  ,"themselves"                                    ,"B2"   ,"maguk"
"/st/snw/yourself.mp3"    ,"yourself"                                      ,"B2"   ,"magad;  magatok"
"/st/snw/little.mp3"      ,"little"                                        ,"B2"   ,"kis"
"/st/snw/real.mp3"        ,"real"                                          ,"B2"   ,"igazi, valódi"
"/st/snw/simple.mp3"      ,"simple"                                        ,"B2"   ,"egyszerű, kézenfekvő"
