"AUDIOFILE"                ,"FOREIGNWORD"                 ,"LEVEL","NATIVEWORD"
"/st/snw/basement.mp3"     ,"basement"                    ,"B2"   ,"alagsor, szuterén"
"/st/snw/cellar.mp3"       ,"cellar"                      ,"B2"   ,"pince"
"/st/snw/chimney.mp3"      ,"chimney"                     ,"B2"   ,"kémény"
"/st/snw/corridor.mp3"     ,"corridor"                    ,"B2"   ,"folyosó"
"/st/snw/fence.mp3"        ,"fence"                       ,"B2"   ,"kerítés"
"/st/snw/hedge.mp3"        ,"hedge"                       ,"B2"   ,"sövény"
"/st/snw/landlady.mp3"     ,"landlady"                    ,"B2"   ,"szállásadónő; tulajdonosnő"
"/st/snw/landlord.mp3"     ,"landlord"                    ,"B2"   ,"szállásadó; tulajdonos"
"/st/snw/passage.mp3"      ,"passage"                     ,"B2"   ,"átjáró"
"/st/snw/property.mp3"     ,"property"                    ,"B2"   ,"ingatlan; birtok"
"/st/snw/roommate.mp3"     ,"roommate"                    ,"B2"   ,"szobatárs, lakótárs"
"/st/snw/shed.mp3"         ,"shed"                        ,"B2"   ,"fészer"
"/st/snw/storey.mp3"       ,"storey"                      ,"B2"   ,"emelet, szint"
"/st/snw/terrace.mp3"      ,"terrace"                     ,"B2"   ,"terasz"
"/st/snk/r2244.mp3"        ,"put up ↔ sb"                 ,"B2"   ,"elszállásol, befogad  vkit"
"/st/snw/equip.mp3"        ,"equip"                       ,"B2"   ,"felszerel vkit/vmit vmivel"
"/st/snw/store.mp3"        ,"store"                       ,"B2"   ,"tárol, elraktároz"
"/st/snw/container.mp3"    ,"container"                   ,"B2"   ,"tartály, edény; konténer"
"/st/snw/device.mp3"       ,"device"                      ,"B2"   ,"eszköz, készülék, szerkezet"
"/st/snw/gear.mp3"         ,"gear"                        ,"B2"   ,"felszerelés; öltözék"
"/st/snw/lid.mp3"          ,"lid"                         ,"B2"   ,"fedő, fedél"
"/st/snw/pottery.mp3"      ,"pottery"                     ,"B2"   ,"agyagáru"
"/st/snw/storage.mp3"      ,"storage"                     ,"B2"   ,"tárolás"
"/st/snw/teaspoon.mp3"     ,"teaspoon"                    ,"B2"   ,"teáskanál; teáskanálnyi"
"/st/snw/tin.mp3"          ,"tin"                         ,"B2"   ,"fémdoboz"
"/st/snw/tool.mp3"         ,"tool"                        ,"B2"   ,"eszköz, segédeszköz"
"/st/snw/tray.mp3"         ,"tray"                        ,"B2"   ,"tálca; irattálca"
"/st/snw/mechanical.mp3"   ,"mechanical"                  ,"B2"   ,"gépi, mechanikus; gépész-"
"/st/snw/bar.mp3"          ,"bar"                         ,"B2"   ,"rúd, keresztrúd, korlát, rács"
"/st/snw/blade.mp3"        ,"blade"                       ,"B2"   ,"penge, lap , lapát"
"/st/snw/board.mp3"        ,"board"                       ,"B2"   ,"tábla , deszka"
"/st/snw/edge.mp3"         ,"edge"                        ,"B2"   ,"él"
"/st/snw/frame.mp3"        ,"frame"                       ,"B2"   ,"váz, alváz"
"/st/snw/hammer.mp3"       ,"hammer"                      ,"B2"   ,"kalapács"
"/st/snw/handle.mp3"       ,"handle"                      ,"B2"   ,"kilincs, fogantyú, nyél, fül"
"/st/snw/hook.mp3"         ,"hook"                        ,"B2"   ,"fogas; horog"
"/st/snw/nail.mp3"         ,"nail"                        ,"B2"   ,"szög, szeg"
"/st/snw/needle.mp3"       ,"needle"                      ,"B2"   ,"tű, varrótű"
"/st/snw/pattern.mp3"      ,"pattern"                     ,"B2"   ,"minta, sablon"
"/st/snw/point.mp3"        ,"point"                       ,"B2"   ,"hegy, hegye vminek"
"/st/snw/rope.mp3"         ,"rope"                        ,"B2"   ,"kötél"
"/st/snw/string.mp3"       ,"string"                      ,"B2"   ,"madzag, zsineg, spárga"
"/st/snw/telescope.mp3"    ,"telescope"                   ,"B2"   ,"távcső, teleszkóp"
"/st/snw/thermometer.mp3"  ,"thermometer"                 ,"B2"   ,"hőmérő; lázmérő"
"/st/snw/tool.mp3"         ,"tool"                        ,"B2"   ,"szerszám, eszköz"
"/st/snw/wire.mp3"         ,"wire"                        ,"B2"   ,"drót, huzal"
"/st/snw/charge.mp3"       ,"charge"                      ,"B2"   ,"feltölt"
"/st/snw/fail.mp3"         ,"fail"                        ,"B2"   ,"leáll, meghibásodik , leromlik"
"/st/snw/fit.mp3"          ,"fit"                         ,"B2"   ,"felszerel vmit; helyére rak/illeszt vmit"
"/st/snw/maintain.mp3"     ,"maintain"                    ,"B2"   ,"fenntart, karbantart"
"/st/snw/operate.mp3"      ,"operate"                     ,"B2"   ,"működik; működtet"
"/st/snw/set.mp3"          ,"set"                         ,"B2"   ,"beállít"
"/st/snw/start.mp3"        ,"start"                       ,"B2"   ,"elindul, beindul; elindít, beindít"
"/st/snw/attachment.mp3"   ,"attachment"                  ,"B2"   ,"tartozék"
"/st/snw/breakdown.mp3"    ,"breakdown"                   ,"B2"   ,"meghibásodás, üzemzavar"
"/st/snw/control.mp3"      ,"control"                     ,"B2"   ,"vezérlő berendezés"
"/st/snw/decoration.mp3"   ,"decoration"                  ,"B2"   ,"festés/mázolás, felújítás"
