"AUDIOFILE"                  ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/decade.mp3"         ,"decade"                                    ,"B2"   ,"évtized"
"/st/snw/era.mp3"            ,"era"                                       ,"B2"   ,"korszak"
"/st/snw/generation.mp3"     ,"generation"                                ,"B2"   ,"emberöltő, generáció"
"/st/snw/phase.mp3"          ,"phase"                                     ,"B2"   ,"fázis, szakasz"
"/st/snw/stage.mp3"          ,"stage"                                     ,"B2"   ,"szakasz, fokozat"
"/st/snw/time.mp3"           ,"time"                                      ,"B2"   ,"kor, korszak, idők"
"/st/snw/seasonal.mp3"       ,"seasonal"                                  ,"B2"   ,"idényjellegű, szezonális"
"/st/snw/the.mp3"            ,"the"                                       ,"B2"   ,"a, az"
"/st/snk/r1588.mp3"          ,"in season"                                 ,"B2"   ,"szezonja/idénye/évadja  vminek"
"/st/snk/r2720.mp3"          ,"the eighties"                              ,"B2"   ,"a nyolcvanas évek  vminek"
"/st/snk/r2731.mp3"          ,"the fifties"                               ,"B2"   ,"az ötvenes évek  vminek"
"/st/snk/r2739.mp3"          ,"the forties"                               ,"B2"   ,"a negyvenes évek  vminek"
"/st/snk/r2782.mp3"          ,"the nineties"                              ,"B2"   ,"a kilencvenes évek  vminek"
"/st/snk/r2819.mp3"          ,"the seventies"                             ,"B2"   ,"a hetvenes évek  vminek"
"/st/snk/r2822.mp3"          ,"the sixties"                               ,"B2"   ,"a hatvanas években  vminek"
"/st/snk/r2830.mp3"          ,"the thirties"                              ,"B2"   ,"a harmincas évek  vminek"
"/st/snk/r2837.mp3"          ,"the twenties"                              ,"B2"   ,"a húszas évek  vminek"
"/st/snw/dawn.mp3"           ,"dawn"                                      ,"B2"   ,"hajnal, virradat"
"/st/snw/daytime.mp3"        ,"daytime"                                   ,"B2"   ,"nappal, napközben"
"/st/snw/point.mp3"          ,"point"                                     ,"B2"   ,"pont"
"/st/snw/today.mp3"          ,"today"                                     ,"B2"   ,"ma"
"/st/snw/that.mp3"           ,"that"                                      ,"B2"   ,"az"
"/st/snw/current.mp3"        ,"current"                                   ,"B2"   ,"aktuális, jelenlegi"
"/st/snw/forthcoming.mp3"    ,"forthcoming"                               ,"B2"   ,"elkövetkezendő"
"/st/snw/back.mp3"           ,"back"                                      ,"B2"   ,"régen, ezelőtt; ezelőttre, régre"
"/st/snw/currently.mp3"      ,"currently"                                 ,"B2"   ,"jelenleg"
"/st/snw/formerly.mp3"       ,"formerly"                                  ,"B2"   ,"régebben, valamikor"
"/st/snw/forward.mp3"        ,"forward"                                   ,"B2"   ,"előre"
"/st/snw/newly.mp3"          ,"newly"                                     ,"B2"   ,"újonnan"
"/st/snw/shortly.mp3"        ,"shortly"                                   ,"B2"   ,"rövidesen"
"/st/snw/there.mp3"          ,"there"                                     ,"B2"   ,"ezen a ponton, itt"
"/st/snw/today.mp3"          ,"today"                                     ,"B2"   ,"ma, manapság , mostanában"
"/st/snw/one.mp3"            ,"one"                                       ,"B2"   ,"egy, egyik"
"/st/snw/one.mp3"            ,"one"                                       ,"B2"   ,"egy, egyik"
"/st/snw/once.mp3"           ,"once"                                      ,"B2"   ,"amint, ha majd, ha már"
"/st/snw/where.mp3"          ,"where"                                     ,"B2"   ,"ahol"
"/st/snk/r977.mp3"           ,"date back"                                 ,"B2"   ,"származik, ered"
"/st/snk/r978.mp3"           ,"date from sth"                             ,"B2"   ,"származik, ered"
"/st/snk/r249.mp3"           ,"a week/six months/ten years, etc. from now","B2"   ,"mához egy hét/hat hónap/tíz év/stb. múlva"
"/st/snk/r317.mp3"           ,"any day/minute/time, etc. now"             ,"B2"   ,"bármelyik napon/percben/időben/stb."
"/st/snk/r6.mp3"             ,"(at) any minute; any minute now"           ,"B2"   ,"bármely percben/pillanatban"
"/st/snk/r685.mp3"           ,"before (very/too) long"                    ,"B2"   ,"nemsokára"
"/st/snk/r1211.mp3"          ,"for the moment"                            ,"B2"   ,"pillanatnyilag, egy darabig"
"/st/snk/r1616.mp3"          ,"in the near future"                        ,"B2"   ,"a közeljövőben"
"/st/snk/r1626.mp3"          ,"in those days"                             ,"B2"   ,"akkoriban, azokban az időkben"
"/st/snk/r2490.mp3"          ,"sooner or later"                           ,"B2"   ,"előbb-utóbb"
"/st/snk/r2713.mp3"          ,"the day/week/year, etc. before last"       ,"B2"   ,"az utolsót megelőző napon/héten/évben/stb."
"/st/snk/r2845.mp3"          ,"the weekend/week/Thursday, etc. after next","B2"   ,"következő utáni hétvége/hét/csütörtök/stb."
"/st/snw/extend.mp3"         ,"extend"                                    ,"B2"   ,"meghosszabbít"
"/st/snw/go.mp3"             ,"go"                                        ,"B2"   ,"megy, múlik, elmúlik"
"/st/snw/time.mp3"           ,"time"                                      ,"B2"   ,"méri az idejét vminek"
"/st/snw/extension.mp3"      ,"extension"                                 ,"B2"   ,"meghosszabbítás"
"/st/snw/gap.mp3"            ,"gap"                                       ,"B2"   ,"kihagyás, szünet"
"/st/snw/length.mp3"         ,"length"                                    ,"B2"   ,"hossz, tartam, időtartam"
"/st/snw/pace.mp3"           ,"pace"                                      ,"B2"   ,"tempó, iram"
"/st/snw/speed.mp3"          ,"speed"                                     ,"B2"   ,"nagy sebesség, nagy gyorsaság"
"/st/snw/immediate.mp3"      ,"immediate"                                 ,"B2"   ,"azonnali"
"/st/snw/immediate.mp3"      ,"immediate"                                 ,"B2"   ,"közvetlen, sürgős"
"/st/snw/instant.mp3"        ,"instant"                                   ,"B2"   ,"azonnali; gyorsan/azonnal elkészíthető"
"/st/snw/little.mp3"         ,"little"                                    ,"B2"   ,"kis, rövid, kevés"
"/st/snw/long-term.mp3"      ,"long-term"                                 ,"B2"   ,"hosszú távú"
"/st/snw/prompt.mp3"         ,"prompt"                                    ,"B2"   ,"azonnali; időben történő, időbeni"
