"AUDIOFILE"                ,"FOREIGNWORD"        ,"LEVEL","NATIVEWORD"
"/st/snw/negative.mp3"     ,"negative"           ,"B2"   ,"tagadó, negatív, elutasító, nemleges"
"/st/snw/positive.mp3"     ,"positive"           ,"B2"   ,"pozitív, igenlő"
"/st/snw/sorry.mp3"        ,"sorry"              ,"B2"   ,"sajnos"
"/st/snw/actually.mp3"     ,"actually"           ,"B2"   ,"tulajdonképpen, valójában"
"/st/snw/exactly.mp3"      ,"exactly"            ,"B2"   ,"pontosan"
"/st/snw/hardly.mp3"       ,"hardly"             ,"B2"   ,"aligha"
"/st/snk/r1114.mp3"        ,"fair enough"        ,"B2"   ,"rendben"
"/st/snk/r77.mp3"          ,"I guess so/not"     ,"B2"   ,"úgy hiszem/nem hiszem"
"/st/snk/r78.mp3"          ,"I know"             ,"B2"   ,"szerintem is"
"/st/snk/r1973.mp3"        ,"not at all"         ,"B2"   ,"egyáltalán nem"
"/st/snk/r2057.mp3"        ,"on the contrary"    ,"B2"   ,"ellenkezőleg"
"/st/snk/r2684.mp3"        ,"that's it"          ,"B2"   ,"ez az, úgy van, helyes"
"/st/snw/accept.mp3"       ,"accept"             ,"B2"   ,"elfogad, belát, elismer, beismer, vállal vmit"
"/st/snw/compromise.mp3"   ,"compromise"         ,"B2"   ,"egyezségre jut, kompromisszumot köt"
"/st/snw/recognize.mp3"    ,"recognize"          ,"B2"   ,"elismer, elfogad vmit"
"/st/snw/support.mp3"      ,"support"            ,"B2"   ,"támogat vkit/vmit"
"/st/snw/agreement.mp3"    ,"agreement"          ,"B2"   ,"megállapodás, szerződés"
"/st/snw/agreement.mp3"    ,"agreement"          ,"B2"   ,"egyetértés"
"/st/snw/arrangement.mp3"  ,"arrangement"        ,"B2"   ,"megállapodás"
"/st/snw/compromise.mp3"   ,"compromise"         ,"B2"   ,"megegyezés, kompromisszum"
"/st/snw/disagreement.mp3" ,"disagreement"       ,"B2"   ,"nézeteltérés, véleménykülönbség"
"/st/snw/side.mp3"         ,"side"               ,"B2"   ,"oldal"
"/st/snw/support.mp3"      ,"support"            ,"B2"   ,"támogatás"
"/st/snw/controversial.mp3","controversial"      ,"B2"   ,"vitás, vitatható"
"/st/snw/divided.mp3"      ,"divided"            ,"B2"   ,"osztott, felosztott; megosztott"
"/st/snw/united.mp3"       ,"united"             ,"B2"   ,"egységes"
"/st/snw/against.mp3"      ,"against"            ,"B2"   ,"ellen"
"/st/snk/r527.mp3"         ,"be in favour of sth","B2"   ,"egyetért  vmivel"
