"AUDIOFILE"               ,"FOREIGNWORD"                          ,"LEVEL","NATIVEWORD"
"/st/snw/capture.mp3"     ,"capture"                              ,"B2"   ,"rögzít, megörökít"
"/st/snw/communicate.mp3" ,"communicate"                          ,"B2"   ,"kapcsolatot tart; megérteti magát"
"/st/snw/emphasize.mp3"   ,"emphasize"                            ,"B2"   ,"hangsúlyoz"
"/st/snw/express.mp3"     ,"express"                              ,"B2"   ,"kifejez vki vmit"
"/st/snw/highlight.mp3"   ,"highlight"                            ,"B2"   ,"hangsúlyoz, kiemel vmit"
"/st/snw/name.mp3"        ,"name"                                 ,"B2"   ,"megjelöl, megnevez"
"/st/snw/outline.mp3"     ,"outline"                              ,"B2"   ,"felvázol"
"/st/snw/react.mp3"       ,"react"                                ,"B2"   ,"reagál vmire vhogy; reakcióba lép vmivel"
"/st/snw/represent.mp3"   ,"represent"                            ,"B2"   ,"jelent vmit"
"/st/snw/specify.mp3"     ,"specify"                              ,"B2"   ,"pontosan meghatároz/megmond"
"/st/snw/stress.mp3"      ,"stress"                               ,"B2"   ,"hangsúlyoz"
"/st/snw/underline.mp3"   ,"underline"                            ,"B2"   ,"kihangsúlyoz vmit"
"/st/snw/expression.mp3"  ,"expression"                           ,"B2"   ,"kifejezés, kifejezése vminek"
"/st/snw/feedback.mp3"    ,"feedback"                             ,"B2"   ,"visszajelzés"
"/st/snw/hint.mp3"        ,"hint"                                 ,"B2"   ,"célzás, utalás"
"/st/snw/mention.mp3"     ,"mention"                              ,"B2"   ,"említés"
"/st/snw/reaction.mp3"    ,"reaction"                             ,"B2"   ,"reagálás vmire"
"/st/snw/summary.mp3"     ,"summary"                              ,"B2"   ,"összegzés"
"/st/snw/update_noun.mp3" ,"update"                               ,"B2"   ,"friss/újabb információ"
"/st/snw/detailed.mp3"    ,"detailed"                             ,"B2"   ,"részletes"
"/st/snw/meaningful.mp3"  ,"meaningful"                           ,"B2"   ,"jelentőségteljes"
"/st/snw/precise.mp3"     ,"precise"                              ,"B2"   ,"pontos, szabatos; precíz"
"/st/snw/so-called.mp3"   ,"so-called"                            ,"B2"   ,"úgynevezett"
"/st/snw/here.mp3"        ,"here"                                 ,"B2"   ,"itt, ezen a ponton"
"/st/snk/r2283.mp3"       ,"refer to sb/sth"                      ,"B2"   ,"utal  vkire/vmire"
"/st/snk/r2420.mp3"       ,"set out ↔ sth"                        ,"B2"   ,"kidolgoz, rendszerbe foglal, részletez  vkire/vmire"
"/st/snk/r2588.mp3"       ,"sum up ↔ (sth/sb)"                    ,"B2"   ,"összegez  vkire/vmire"
"/st/snk/r930.mp3"        ,"common knowledge"                     ,"B2"   ,"közismert tény"
"/st/snk/r1359.mp3"       ,"go into detail/s"                     ,"B2"   ,"részletekbe megy/bocsátkozik"
"/st/snk/r1524.mp3"       ,"in brief"                             ,"B2"   ,"röviden"
"/st/snk/r1576.mp3"       ,"in public"                            ,"B2"   ,"nyilvánosan"
"/st/snw/enquire.mp3"     ,"enquire"                              ,"B2"   ,"érdeklődik/tudakozódik"
"/st/snw/inquire.mp3"     ,"inquire"                              ,"B2"   ,"érdeklődik/tudakozódik"
"/st/snw/question.mp3"    ,"question"                             ,"B2"   ,"kérdés tesz fel vkinek; kikérdez"
"/st/snw/respond.mp3"     ,"respond"                              ,"B2"   ,"válaszol; reagál"
"/st/snw/query.mp3"       ,"query"                                ,"B2"   ,"kérdés; kétely"
"/st/snw/response.mp3"    ,"response"                             ,"B2"   ,"válasz; reagálás"
"/st/snw/in.mp3"          ,"in"                                   ,"B2"   ,"-va, -ve"
"/st/snk/r843.mp3"        ,"catch up"                             ,"B2"   ,"megbeszéli a legújabb híreket, fejleményeket"
"/st/snk/r48.mp3"         ,"Don't ask me"                         ,"B2"   ,"Ne engem kérdezz!     vmire vminek"
"/st/snk/r49.mp3"         ,"Don't ask!"                           ,"B2"   ,"Ne is kérdezd!     vmire vminek"
"/st/snk/r1105.mp3"       ,"exchange looks, opinions, views, etc.","B2"   ,"pillantást/véleményt/nézetet/stb. vált/cserél     vmire vminek"
"/st/snk/r1579.mp3"       ,"in response to"                       ,"B2"   ,"válaszolva/reagálva ; eleget téve     vmire vminek"
"/st/snw/declare.mp3"     ,"declare"                              ,"B2"   ,"bejelent, kijelent vmit"
"/st/snw/educate.mp3"     ,"educate"                              ,"B2"   ,"tájékoztat, felvilágosít"
"/st/snw/expose.mp3"      ,"expose"                               ,"B2"   ,"leleplez vmit/vkit"
"/st/snw/gossip.mp3"      ,"gossip"                               ,"B2"   ,"pletykál"
"/st/snw/reveal.mp3"      ,"reveal"                               ,"B2"   ,"felfed, elárul, leleplez"
"/st/snw/spread.mp3"      ,"spread"                               ,"B2"   ,"terjed; terjeszt"
"/st/snw/tell.mp3"        ,"tell"                                 ,"B2"   ,"mond vmit, elbeszél, elmesél vmit"
"/st/snw/code.mp3"        ,"code"                                 ,"B2"   ,"rejtjel, kód"
"/st/snw/gossip.mp3"      ,"gossip"                               ,"B2"   ,"pletyka; pletykálkodás; pletykafészek"
"/st/snw/rumour.mp3"      ,"rumour"                               ,"B2"   ,"szóbeszéd, kósza hír"
"/st/snw/mysterious.mp3"  ,"mysterious"                           ,"B2"   ,"titokzatos; titkolódzó"
"/st/snk/r907.mp3"        ,"come out"                             ,"B2"   ,"kijön, megjelenik"
"/st/snk/r1321.mp3"       ,"give away ↔ sth"                      ,"B2"   ,"elárul"
"/st/snk/r2183.mp3"       ,"point out ↔ sth"                      ,"B2"   ,"rámutat , felhívja a figyelmét"
"/st/snk/r2949.mp3"       ,"turn out"                             ,"B2"   ,"kiderül , kiderül róla"
"/st/snk/r1589.mp3"       ,"in secret"                            ,"B2"   ,"titokban      vminek"
"/st/snk/r1719.mp3"       ,"keep your mouth shut"                 ,"B2"   ,"befogja a száját      vminek"
