"AUDIOFILE"                ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/inspire.mp3"      ,"inspire"                            ,"B2"   ,"megihlet vkit, inspirál vkit/vmit"
"/st/snw/civilization.mp3" ,"civilization"                       ,"B2"   ,"az emberi civilizáció"
"/st/snw/classic.mp3"      ,"classic"                            ,"B2"   ,"klasszikus mű"
"/st/snw/costume.mp3"      ,"costume"                            ,"B2"   ,"viselet"
"/st/snw/inspiration.mp3"  ,"inspiration"                        ,"B2"   ,"ihlet, inspiráció"
"/st/snw/mixture.mp3"      ,"mixture"                            ,"B2"   ,"keverék, elegy"
"/st/snw/piece.mp3"        ,"piece"                              ,"B2"   ,"alkotás, műalkotás, darab ; cikk, újságcikk"
"/st/snw/show.mp3"         ,"show"                               ,"B2"   ,"bemutató, kiállítás"
"/st/snw/tradition.mp3"    ,"tradition"                          ,"B2"   ,"hagyomány, tradíció"
"/st/snw/work.mp3"         ,"work"                               ,"B2"   ,"mű, alkotás"
"/st/snw/abstract.mp3"     ,"abstract"                           ,"B2"   ,"absztrakt"
"/st/snw/artistic.mp3"     ,"artistic"                           ,"B2"   ,"művészi"
"/st/snw/artistic.mp3"     ,"artistic"                           ,"B2"   ,"művészeti"
"/st/snw/classic.mp3"      ,"classic"                            ,"B2"   ,"klasszikus ; tipikus"
"/st/snw/contemporary.mp3" ,"contemporary"                       ,"B2"   ,"kortárs ; korabeli"
"/st/snw/medieval.mp3"     ,"medieval"                           ,"B2"   ,"középkori"
"/st/snw/culturally.mp3"   ,"culturally"                         ,"B2"   ,"kulturálisan"
"/st/snw/traditionally.mp3","traditionally"                      ,"B2"   ,"hagyományosan, tradicionálisan"
"/st/snk/r331.mp3"         ,"arts"                               ,"B2"   ,"művészetek"
"/st/snw/award.mp3"        ,"award"                              ,"B2"   ,"odaítél, megítél"
"/st/snw/review.mp3"       ,"review"                             ,"B2"   ,"kritikát/ismertetőt ír vmiről"
"/st/snw/audience.mp3"     ,"audience"                           ,"B2"   ,"közönség; néző-/hallgató-/olvasótábor"
"/st/snw/award.mp3"        ,"award"                              ,"B2"   ,"díj, jutalom, kitüntetés"
"/st/snw/critic.mp3"       ,"critic"                             ,"B2"   ,"kritikus"
"/st/snw/fame.mp3"         ,"fame"                               ,"B2"   ,"hírnév"
"/st/snw/greatness.mp3"    ,"greatness"                          ,"B2"   ,"nagyság, kiválóság"
"/st/snw/icon.mp3"         ,"icon"                               ,"B2"   ,"bálvány"
"/st/snw/name.mp3"         ,"name"                               ,"B2"   ,"hírnév"
"/st/snw/personality.mp3"  ,"personality"                        ,"B2"   ,"ismert személyiség"
"/st/snw/popularity.mp3"   ,"popularity"                         ,"B2"   ,"népszerűség"
"/st/snw/distinguished.mp3","distinguished"                      ,"B2"   ,"kiváló ; előkelő"
"/st/snw/great.mp3"        ,"great"                              ,"B2"   ,"jelentős, kiváló"
"/st/snw/popular.mp3"      ,"popular"                            ,"B2"   ,"tömeg- , könnyen érthető"
"/st/snw/successful.mp3"   ,"successful"                         ,"B2"   ,"sikeres"
"/st/snw/unpopular.mp3"    ,"unpopular"                          ,"B2"   ,"népszerűtlen"
"/st/snk/r2624.mp3"        ,"take off"                           ,"B2"   ,"beindul"
"/st/snw/go.mp3"           ,"go"                                 ,"B2"   ,"hangzik vhogy"
"/st/snw/bestseller.mp3"   ,"bestseller"                         ,"B2"   ,"sikerkönyv"
"/st/snw/content_noun.mp3" ,"content"                            ,"B2"   ,"tartalom, mondanivaló"
"/st/snw/dialogue.mp3"     ,"dialogue"                           ,"B2"   ,"párbeszéd"
"/st/snw/legend.mp3"       ,"legend"                             ,"B2"   ,"legenda"
"/st/snw/message.mp3"      ,"message"                            ,"B2"   ,"mondanivaló"
"/st/snw/myth.mp3"         ,"myth"                               ,"B2"   ,"mítosz"
"/st/snw/novelist.mp3"     ,"novelist"                           ,"B2"   ,"regényíró"
"/st/snw/opening.mp3"      ,"opening"                            ,"B2"   ,"kezdet, eleje vminek"
"/st/snw/plot.mp3"         ,"plot"                               ,"B2"   ,"cselekmény"
"/st/snw/tale.mp3"         ,"tale"                               ,"B2"   ,"mese; mendemonda, szóbeszéd"
"/st/snw/theme.mp3"        ,"theme"                              ,"B2"   ,"téma, tárgy"
"/st/snw/verse.mp3"        ,"verse"                              ,"B2"   ,"versszak; vers, költemény"
"/st/snw/writing.mp3"      ,"writing"                            ,"B2"   ,"írás"
"/st/snw/literary.mp3"     ,"literary"                           ,"B2"   ,"irodalmi"
"/st/snw/cut.mp3"          ,"cut"                                ,"B2"   ,"megvág, kivág"
"/st/snw/present_verb.mp3" ,"present"                            ,"B2"   ,"előad"
"/st/snw/release.mp3"      ,"release"                            ,"B2"   ,"forgalomba hoz"
"/st/snw/appearance.mp3"   ,"appearance"                         ,"B2"   ,"fellépés, szereplés"
"/st/snw/cast.mp3"         ,"cast"                               ,"B2"   ,"szereposztás"
"/st/snw/costume.mp3"      ,"costume"                            ,"B2"   ,"jelmez"
"/st/snw/musical.mp3"      ,"musical"                            ,"B2"   ,"musical, zenés vígjáték"
"/st/snw/producer.mp3"     ,"producer"                           ,"B2"   ,"producer, gyártásvezető"
"/st/snw/production.mp3"   ,"production"                         ,"B2"   ,"előadás, produkció;  gyártás"
"/st/snw/recording.mp3"    ,"recording"                          ,"B2"   ,"hanglemez/filmkészítés"
"/st/snw/rehearsal.mp3"    ,"rehearsal"                          ,"B2"   ,"próba"
"/st/snw/script.mp3"       ,"script"                             ,"B2"   ,"szövegkönyv, forgatókönyv"
"/st/snw/set.mp3"          ,"set"                                ,"B2"   ,"díszlet ; színtér, forgatás helyszíne"
"/st/snw/setting.mp3"      ,"setting"                            ,"B2"   ,"környezet/kor"
"/st/snw/shot.mp3"         ,"shot"                               ,"B2"   ,"felvétel"
"/st/snw/soundtrack.mp3"   ,"soundtrack"                         ,"B2"   ,"filmzene; hangsáv, hanganyag"
"/st/snk/r828.mp3"         ,"capture sb/sth on camera/film, etc.","B2"   ,"képen/filmen/stb. megörökít  vkit/vmit"
"/st/snw/compose.mp3"      ,"compose"                            ,"B2"   ,"szerez"
"/st/snw/conduct.mp3"      ,"conduct"                            ,"B2"   ,"vezényel"
"/st/snw/whistle.mp3"      ,"whistle"                            ,"B2"   ,"fütyül; sípol; süvít"
"/st/snw/beat.mp3"         ,"beat"                               ,"B2"   ,"ritmus, ütem"
"/st/snw/choir.mp3"        ,"choir"                              ,"B2"   ,"énekkar"
"/st/snw/composer.mp3"     ,"composer"                           ,"B2"   ,"zeneszerző"
"/st/snw/composition.mp3"  ,"composition"                        ,"B2"   ,"zenemű"
"/st/snw/conductor.mp3"    ,"conductor"                          ,"B2"   ,"karmester"
"/st/snw/lyrics.mp3"       ,"lyrics"                             ,"B2"   ,"dalszöveg"
"/st/snw/release.mp3"      ,"release"                            ,"B2"   ,"forgalomban levő lemez"
"/st/snw/rhythm.mp3"       ,"rhythm"                             ,"B2"   ,"ütem, ritmus"
"/st/snw/solo.mp3"         ,"solo"                               ,"B2"   ,"szóló"
"/st/snw/track.mp3"        ,"track"                              ,"B2"   ,"szám, zeneszám"
"/st/snw/orchestral.mp3"   ,"orchestral"                         ,"B2"   ,"zenekari"
"/st/snw/solo.mp3"         ,"solo"                               ,"B2"   ,"egyéni, egyedüli, szóló-"
"/st/snk/r2705.mp3"        ,"the charts"                         ,"B2"   ,"slágerlista"
"/st/snw/background.mp3"   ,"background"                         ,"B2"   ,"háttér"
"/st/snw/cello.mp3"        ,"cello"                              ,"B2"   ,"cselló, gordonka"
"/st/snw/portrait.mp3"     ,"portrait"                           ,"B2"   ,"portré"
"/st/snw/string.mp3"       ,"string"                             ,"B2"   ,"húr"
"/st/snw/studio.mp3"       ,"studio"                             ,"B2"   ,"műterem"
