"AUDIOFILE"                 ,"FOREIGNWORD"    ,"LEVEL","NATIVEWORD"
"/st/snw/learner.mp3"       ,"learner"        ,"B2"   ,"tanuló"
"/st/snw/principal.mp3"     ,"principal"      ,"B2"   ,"igazgató"
"/st/snw/tutor.mp3"         ,"tutor"          ,"B2"   ,"magántanár; konzulens, tanár/oktató"
"/st/snw/acquire.mp3"       ,"acquire"        ,"B2"   ,"elsajátít vmit"
"/st/snw/copy.mp3"          ,"copy"           ,"B2"   ,"puskázik"
"/st/snw/correct.mp3"       ,"correct"        ,"B2"   ,"helyesbít, kijavít"
"/st/snw/educate.mp3"       ,"educate"        ,"B2"   ,"taníttat ; nevel"
"/st/snw/mark.mp3"          ,"mark"           ,"B2"   ,"értékel, osztályoz"
"/st/snw/qualify.mp3"       ,"qualify"        ,"B2"   ,"vmilyen képesítést/képzettséget szerez; képesítést/képzettséget nyújt"
"/st/snw/sit.mp3"           ,"sit"            ,"B2"   ,"vizsgázik"
"/st/snw/train.mp3"         ,"train"          ,"B2"   ,"betanít, képez, kiképez"
"/st/snw/train.mp3"         ,"train"          ,"B2"   ,"tanul vminek"
"/st/snw/command.mp3"       ,"command"        ,"B2"   ,"képesség, tudás"
"/st/snw/introduction.mp3"  ,"introduction"   ,"B2"   ,"bevezetés vmilyen témába"
"/st/snw/learning.mp3"      ,"learning"       ,"B2"   ,"tanulás"
"/st/snw/pass.mp3"          ,"pass"           ,"B2"   ,"sikeres vizsga, megfelelt fokozat"
"/st/snw/text.mp3"          ,"text"           ,"B2"   ,"olvasmány/téma"
"/st/snw/educational.mp3"   ,"educational"    ,"B2"   ,"nevelési, tanulmányi; ismeretterjesztő"
"/st/snw/rusty.mp3"         ,"rusty"          ,"B2"   ,"berozsdásodott"
"/st/snk/r1296.mp3"         ,"get through sth","B2"   ,"túljut"
"/st/snk/r787.mp3"          ,"by heart"       ,"B2"   ,"kívülről, könyv nélkül   vminek"
"/st/snk/r2695.mp3"         ,"the basics"     ,"B2"   ,"az alapok, az alapjai   vminek"
"/st/snw/graduate_verb.mp3" ,"graduate"       ,"B2"   ,"diplomát szerez"
"/st/snw/admission.mp3"     ,"admission"      ,"B2"   ,"felvétel vhova"
"/st/snw/branch.mp3"        ,"branch"         ,"B2"   ,"tudományág"
"/st/snw/campus.mp3"        ,"campus"         ,"B2"   ,"egyetem/főiskola épületei és területe"
"/st/snw/credit.mp3"        ,"credit"         ,"B2"   ,"kredit"
"/st/snw/electronics.mp3"   ,"electronics"    ,"B2"   ,"elektronika"
"/st/snw/field.mp3"         ,"field"          ,"B2"   ,"terület, szakterület"
"/st/snw/genetics.mp3"      ,"genetics"       ,"B2"   ,"genetika"
"/st/snw/graduate_noun.mp3" ,"graduate"       ,"B2"   ,"diplomás, okleveles"
"/st/snw/lecturer.mp3"      ,"lecturer"       ,"B2"   ,"előadó"
"/st/snw/philosopher.mp3"   ,"philosopher"    ,"B2"   ,"filozófus"
"/st/snw/philosophy.mp3"    ,"philosophy"     ,"B2"   ,"filozófia"
"/st/snw/psychology.mp3"    ,"psychology"     ,"B2"   ,"pszichológia; gondolkozásmód"
"/st/snw/seminar.mp3"       ,"seminar"        ,"B2"   ,"szeminárium ; konferencia"
"/st/snw/study.mp3"         ,"study"          ,"B2"   ,"tudomány, tudományág; tanulmány, tanulmányok"
"/st/snw/study.mp3"         ,"study"          ,"B2"   ,"tanulmányok"
"/st/snw/thesis.mp3"        ,"thesis"         ,"B2"   ,"diplomamunka; szakdolgozat;  disszertáció"
"/st/snw/academic.mp3"      ,"academic"       ,"B2"   ,"tanulmányi, oktatási; humán tudományokkal kapcsolatos; elméleti, elvi"
"/st/snw/biological.mp3"    ,"biological"     ,"B2"   ,"biológiai"
"/st/snw/mathematical.mp3"  ,"mathematical"   ,"B2"   ,"matematikai"
"/st/snw/scientifically.mp3","scientifically" ,"B2"   ,"tudományosan; módszeresen"
"/st/snk/r1267.mp3"         ,"get in"         ,"B2"   ,"bejut ; nyer, megnyer  vhová"
"/st/snk/r1269.mp3"         ,"get into sth"   ,"B2"   ,"bejut  vhová"
