"AUDIOFILE"                 ,"FOREIGNWORD"                  ,"LEVEL","NATIVEWORD"
"/st/snw/brake.mp3"         ,"brake"                        ,"B2"   ,"fékez"
"/st/snw/overtake.mp3"      ,"overtake"                     ,"B2"   ,"előz, megelőz vkit/vmit"
"/st/snw/reverse.mp3"       ,"reverse"                      ,"B2"   ,"tolat"
"/st/snw/steer.mp3"         ,"steer"                        ,"B2"   ,"kormányoz"
"/st/snw/bumper.mp3"        ,"bumper"                       ,"B2"   ,"lökhárító"
"/st/snw/cycle.mp3"         ,"cycle"                        ,"B2"   ,"kerékpár; motorkerékpár"
"/st/snw/gear.mp3"          ,"gear"                         ,"B2"   ,"sebesség, sebességváltó"
"/st/snw/helmet.mp3"        ,"helmet"                       ,"B2"   ,"sisak"
"/st/snw/horn.mp3"          ,"horn"                         ,"B2"   ,"duda, kürt"
"/st/snw/motor.mp3"         ,"motor"                        ,"B2"   ,"motor"
"/st/snw/motorist.mp3"      ,"motorist"                     ,"B2"   ,"autóvezető"
"/st/snw/pedal.mp3"         ,"pedal"                        ,"B2"   ,"pedál"
"/st/snw/steering_wheel.mp3","steering wheel"               ,"B2"   ,"kormánykerék"
"/st/snw/trolley.mp3"       ,"trolley"                      ,"B2"   ,"kézikocsi, tolókocsi;  bevásárlókocsi"
"/st/snk/r966.mp3"          ,"cut across sth"               ,"B2"   ,"átvág, keresztülvág  vmin"
"/st/snk/r2209.mp3"         ,"pull in/into sth"             ,"B2"   ,"félreáll ; befut  vmin"
"/st/snk/r2210.mp3"         ,"pull out"                     ,"B2"   ,"elindul  vmin"
"/st/snk/r2211.mp3"         ,"pull over"                    ,"B2"   ,"félreáll  vmin"
"/st/snk/r2214.mp3"         ,"pull up"                      ,"B2"   ,"megáll ; megállít  vmin"
"/st/snk/r1050.mp3"         ,"draw into/out/away, etc."     ,"B2"   ,"behúz/kihúz/elhúz stb.    vhova"
"/st/snk/r1173.mp3"         ,"first/second/third, etc. gear","B2"   ,"első/második/harmadik/stb. sebességfokozat    vhova"
"/st/snk/r1760.mp3"         ,"lead into/to/towards, etc."   ,"B2"   ,"/ felé/stb. vezet    vhova"
"/st/snk/r1903.mp3"         ,"make your way"                ,"B2"   ,"halad, megy    vhova"
"/st/snk/r2847.mp3"         ,"the wheel"                    ,"B2"   ,"kormánykerék    vhova"
"/st/snw/cover.mp3"         ,"cover"                        ,"B2"   ,"megtesz"
"/st/snw/cruise.mp3"        ,"cruise"                       ,"B2"   ,"körutazást tesz hajón"
"/st/snw/fly.mp3"           ,"fly"                          ,"B2"   ,"repülőgépet vezet"
"/st/snw/row_1.mp3"         ,"row"                          ,"B2"   ,"evez ; csónakkal elvisz"
"/st/snw/run.mp3"           ,"run"                          ,"B2"   ,"jár, közlekedik"
"/st/snw/sail.mp3"          ,"sail"                         ,"B2"   ,"hajózik ; siklik, száll"
"/st/snw/aircraft.mp3"      ,"aircraft"                     ,"B2"   ,"repülőgép; légi jármű"
"/st/snw/captain.mp3"       ,"captain"                      ,"B2"   ,"kapitány"
"/st/snw/connection.mp3"    ,"connection"                   ,"B2"   ,"csatlakozás"
"/st/snw/control.mp3"       ,"control"                      ,"B2"   ,"ellenőrzési pont"
"/st/snw/crossroads.mp3"    ,"crossroads"                   ,"B2"   ,"útkereszteződés"
"/st/snw/deck.mp3"          ,"deck"                         ,"B2"   ,"fedélzet ; utastér"
"/st/snw/jam.mp3"           ,"jam"                          ,"B2"   ,"torlódás, dugó"
"/st/snw/landing.mp3"       ,"landing"                      ,"B2"   ,"leszállás ; kikötés ; landolás"
"/st/snw/lane.mp3"          ,"lane"                         ,"B2"   ,"ösvény;  utca"
"/st/snw/lane.mp3"          ,"lane"                         ,"B2"   ,"sáv"
"/st/snw/rocket.mp3"        ,"rocket"                       ,"B2"   ,"rakéta, hordozórakéta"
"/st/snw/rush_hour.mp3"     ,"rush hour"                    ,"B2"   ,"csúcsforgalom"
"/st/snw/stopover.mp3"      ,"stopover"                     ,"B2"   ,"megszállás"
"/st/snw/subway.mp3"        ,"subway"                       ,"B2"   ,"aluljáró"
"/st/snw/terminal.mp3"      ,"terminal"                     ,"B2"   ,"végállomás, pályaudvar, repülőtéri terminál"
"/st/snw/trail.mp3"         ,"trail"                        ,"B2"   ,"ösvény, gyalogút"
"/st/snw/voyage.mp3"        ,"voyage"                       ,"B2"   ,"utazás"
"/st/snw/wing.mp3"          ,"wing"                         ,"B2"   ,"szárny"
"/st/snw/yacht.mp3"         ,"yacht"                        ,"B2"   ,"jacht, vitorlás hajó; motoros jacht"
"/st/snw/scheduled.mp3"     ,"scheduled"                    ,"B2"   ,"menetrendszerű"
"/st/snw/winding.mp3"       ,"winding"                      ,"B2"   ,"kanyargós"
"/st/snw/in.mp3"            ,"in"                           ,"B2"   ,"benn"
"/st/snk/r2566.mp3"         ,"stop over"                    ,"B2"   ,"útja során megszáll  vhol"
"/st/snk/r295.mp3"          ,"all the way"                  ,"B2"   ,"az egész úton, végig az úton"
"/st/snk/r3017.mp3"         ,"wind along/through, etc."     ,"B2"   ,"kanyarog"
