"AUDIOFILE"                ,"FOREIGNWORD"                             ,"LEVEL","NATIVEWORD"
"/st/snw/appear.mp3"       ,"appear"                                  ,"B2"   ,"megjelenik"
"/st/snw/disappear.mp3"    ,"disappear"                               ,"B2"   ,"kihal"
"/st/snw/emerge.mp3"       ,"emerge"                                  ,"B2"   ,"felbukkan, kiemelkedik"
"/st/snw/form.mp3"         ,"form"                                    ,"B2"   ,"kialakul ; kialakít"
"/st/snw/generate.mp3"     ,"generate"                                ,"B2"   ,"létrehoz; eredményez, okoz, kivált"
"/st/snw/hunt.mp3"         ,"hunt"                                    ,"B2"   ,"keres, köröz vkit/vmit"
"/st/snw/maintain.mp3"     ,"maintain"                                ,"B2"   ,"fenntart"
"/st/snw/preserve.mp3"     ,"preserve"                                ,"B2"   ,"megóv vmit; konzervál"
"/st/snw/return.mp3"       ,"return"                                  ,"B2"   ,"visszatér vmi"
"/st/snw/seek.mp3"         ,"seek"                                    ,"B2"   ,"keres, kutat vmit; kér, igénybe vesz vmit"
"/st/snw/skip.mp3"         ,"skip"                                    ,"B2"   ,"kihagy vmit"
"/st/snw/vanish.mp3"       ,"vanish"                                  ,"B2"   ,"eltűnik"
"/st/snw/absence.mp3"      ,"absence"                                 ,"B2"   ,"hiányzás, távollét"
"/st/snw/absence.mp3"      ,"absence"                                 ,"B2"   ,"hiány"
"/st/snw/appearance.mp3"   ,"appearance"                              ,"B2"   ,"megjelenés"
"/st/snw/creation.mp3"     ,"creation"                                ,"B2"   ,"létrehozás, alkotás"
"/st/snw/disappearance.mp3","disappearance"                           ,"B2"   ,"eltűnés; kihalás"
"/st/snw/existence.mp3"    ,"existence"                               ,"B2"   ,"létezés"
"/st/snw/gap.mp3"          ,"gap"                                     ,"B2"   ,"hézag, hiány, hiányzó rész"
"/st/snw/loss.mp3"         ,"loss"                                    ,"B2"   ,"veszteség, az elvesztése vminek"
"/st/snw/origin.mp3"       ,"origin"                                  ,"B2"   ,"származás, eredet"
"/st/snw/presence.mp3"     ,"presence"                                ,"B2"   ,"jelenlét, előfordulás"
