"AUDIOFILE"                 ,"FOREIGNWORD"                  ,"LEVEL","NATIVEWORD"
"/st/snw/fire.mp3"          ,"fire"                         ,"B2"   ,"kirúg vkit"
"/st/snw/hire.mp3"          ,"hire"                         ,"B2"   ,"alkalmaz vkit, felfogad vkit"
"/st/snw/make.mp3"          ,"make"                         ,"B2"   ,"keres"
"/st/snw/reject.mp3"        ,"reject"                       ,"B2"   ,"elutasít"
"/st/snw/resign.mp3"        ,"resign"                       ,"B2"   ,"lemond"
"/st/snw/sack.mp3"          ,"sack"                         ,"B2"   ,"elbocsát, kirúg"
"/st/snw/strike.mp3"        ,"strike"                       ,"B2"   ,"sztrájkol"
"/st/snw/bonus.mp3"         ,"bonus"                        ,"B2"   ,"bónusz, jutalom, prémium"
"/st/snw/candidate.mp3"     ,"candidate"                    ,"B2"   ,"jelölt, pályázó"
"/st/snw/earnings.mp3"      ,"earnings"                     ,"B2"   ,"kereset;  nyereség"
"/st/snw/opportunity.mp3"   ,"opportunity"                  ,"B2"   ,"lehetőség, álláslehetőség"
"/st/snw/overtime.mp3"      ,"overtime"                     ,"B2"   ,"túlóra; túlórázás; túlóradíj"
"/st/snw/position.mp3"      ,"position"                     ,"B2"   ,"állás"
"/st/snw/post.mp3"          ,"post"                         ,"B2"   ,"állás"
"/st/snw/profile.mp3"       ,"profile"                      ,"B2"   ,"leírás vkiről/vmiről"
"/st/snw/reference.mp3"     ,"reference"                    ,"B2"   ,"ajánlólevél"
"/st/snw/retirement.mp3"    ,"retirement"                   ,"B2"   ,"nyugdíjazás; visszavonulás"
"/st/snw/shift.mp3"         ,"shift"                        ,"B2"   ,"műszak"
"/st/snw/hourly.mp3"        ,"hourly"                       ,"B2"   ,"óránkénti, egy órára szóló"
"/st/snw/redundant.mp3"     ,"redundant"                    ,"B2"   ,"létszám feletti"
"/st/snw/vacant.mp3"        ,"vacant"                       ,"B2"   ,"üres, megüresedett"
"/st/snw/well-paid.mp3"     ,"well-paid"                    ,"B2"   ,"jól fizetett/fizető"
"/st/snk/r2625.mp3"         ,"take off ↔ sth"               ,"B2"   ,"kivesz    vkit vkit"
"/st/snk/r2626.mp3"         ,"take on ↔ sb"                 ,"B2"   ,"felvesz munkára , alkalmaz    vkit vkit"
"/st/snk/r804.mp3"          ,"call in sick"                 ,"B2"   ,"telefonon beteget jelent"
"/st/snk/r2025.mp3"         ,"off duty"                     ,"B2"   ,"szolgálaton kívül"
"/st/snk/r2040.mp3"         ,"on duty"                      ,"B2"   ,"ügyeletes, szolgálatban"
"/st/snk/r2074.mp3"         ,"on/off duty"                  ,"B2"   ,"ügyeletes, szolgálatban/szolgálaton kívül"
"/st/snk/r2814.mp3"         ,"the sack"                     ,"B2"   ,"elbocsátás, kirúgás"
"/st/snw/specialize.mp3"    ,"specialize"                   ,"B2"   ,"szakosodik vmire"
"/st/snw/analyst.mp3"       ,"analyst"                      ,"B2"   ,"elemző, szakértő"
"/st/snw/consultant.mp3"    ,"consultant"                   ,"B2"   ,"tanácsadó"
"/st/snw/craft.mp3"         ,"craft"                        ,"B2"   ,"mesterség, szakma"
"/st/snw/economist.mp3"     ,"economist"                    ,"B2"   ,"közgazdász"
"/st/snw/electrician.mp3"   ,"electrician"                  ,"B2"   ,"villanyszerelő"
"/st/snw/fisherman.mp3"     ,"fisherman"                    ,"B2"   ,"halász"
"/st/snw/gardener.mp3"      ,"gardener"                     ,"B2"   ,"kertész"
"/st/snw/inspector.mp3"     ,"inspector"                    ,"B2"   ,"felügyelő, ellenőr"
"/st/snw/operator.mp3"      ,"operator"                     ,"B2"   ,"kezelő, operátor"
"/st/snw/plumber.mp3"       ,"plumber"                      ,"B2"   ,"vízvezeték-szerelő"
"/st/snw/position.mp3"      ,"position"                     ,"B2"   ,"hely, helyzet, pozíció"
"/st/snw/pottery.mp3"       ,"pottery"                      ,"B2"   ,"fazekasmesterség"
"/st/snw/profession.mp3"    ,"profession"                   ,"B2"   ,"szakmabeliek, a szakma"
"/st/snw/promotion.mp3"     ,"promotion"                    ,"B2"   ,"előléptetés"
"/st/snw/researcher.mp3"    ,"researcher"                   ,"B2"   ,"kutató"
"/st/snw/specialist.mp3"    ,"specialist"                   ,"B2"   ,"szakértő, specialista"
"/st/snw/trade.mp3"         ,"trade"                        ,"B2"   ,"mesterség, szakma"
"/st/snw/trick.mp3"         ,"trick"                        ,"B2"   ,"trükk, fogás"
"/st/snw/chief.mp3"         ,"chief"                        ,"B2"   ,"első számú, fő"
"/st/snw/educated.mp3"      ,"educated"                     ,"B2"   ,"művelt, képzett"
"/st/snw/expert.mp3"        ,"expert"                       ,"B2"   ,"szakszerű; tapasztalt"
