"AUDIOFILE"                     ,"FOREIGNWORD"         ,"LEVEL","NATIVEWORD"
"/st/snw/feature.mp3"           ,"feature"             ,"B2"   ,"kiemelkedő szerepet ad ; főszerepben szerepeltet"
"/st/snw/print.mp3"             ,"print"               ,"B2"   ,"nyomtat, nyomtatásban kiad"
"/st/snw/print.mp3"             ,"print"               ,"B2"   ,"megjelentet"
"/st/snw/column.mp3"            ,"column"              ,"B2"   ,"hasáb"
"/st/snw/copy.mp3"              ,"copy"                ,"B2"   ,"példány"
"/st/snw/edition.mp3"           ,"edition"             ,"B2"   ,"kiadás"
"/st/snw/editor.mp3"            ,"editor"              ,"B2"   ,"szerkesztő, lapszerkesztő, rovatvezető"
"/st/snw/issue.mp3"             ,"issue"               ,"B2"   ,"példány, szám ; kiadás"
"/st/snw/item.mp3"              ,"item"                ,"B2"   ,"újságcikk"
"/st/snw/journalism.mp3"        ,"journalism"          ,"B2"   ,"újságírás, zsurnalisztika"
"/st/snw/publication.mp3"       ,"publication"         ,"B2"   ,"kiadvány, publikáció"
"/st/snw/publication.mp3"       ,"publication"         ,"B2"   ,"kiadás, közzététel"
"/st/snw/publisher.mp3"         ,"publisher"           ,"B2"   ,"kiadó, kiadóvállalat"
"/st/snw/story.mp3"             ,"story"               ,"B2"   ,"beszámoló, riport"
"/st/snw/tabloid.mp3"           ,"tabloid"             ,"B2"   ,"bulvárlap"
"/st/snw/tabloid.mp3"           ,"tabloid"             ,"B2"   ,"bulvár-"
"/st/snk/r1002.mp3"             ,"devote sth to sb/sth","B2"   ,"helyet szentel  vmire/vkire"
"/st/snk/r2770.mp3"             ,"the media"           ,"B2"   ,"a média"
"/st/snk/r2802.mp3"             ,"the press"           ,"B2"   ,"a sajtó"
"/st/snw/burn.mp3"              ,"burn"                ,"B2"   ,"CD-re ír/másol"
"/st/snw/crash.mp3"             ,"crash"               ,"B2"   ,"lefagy"
"/st/snw/display.mp3"           ,"display"             ,"B2"   ,"megjelenít"
"/st/snw/load.mp3"              ,"load"                ,"B2"   ,"betölt"
"/st/snw/run.mp3"               ,"run"                 ,"B2"   ,"programot futtat"
"/st/snw/store.mp3"             ,"store"               ,"B2"   ,"tárol"
"/st/snw/undo.mp3"              ,"undo"                ,"B2"   ,"visszacsinál vmit"
"/st/snw/update_verb.mp3"       ,"update"              ,"B2"   ,"korszerűsít"
"/st/snw/upgrade_verb.mp3"      ,"upgrade"             ,"B2"   ,"fejleszt, felújít ; frissebb modellre/verzióra vált"
"/st/snw/application.mp3"       ,"application"         ,"B2"   ,"alkalmazás"
"/st/snw/backup.mp3"            ,"backup"              ,"B2"   ,"biztonsági másolat"
"/st/snw/bug.mp3"               ,"bug"                 ,"B2"   ,"programhiba"
