"AUDIOFILE"                ,"FOREIGNWORD"                    ,"LEVEL","NATIVEWORD"
"/st/snw/female.mp3"       ,"female"                         ,"B2"   ,"nő, lány, asszony; nőstény"
"/st/snw/gender.mp3"       ,"gender"                         ,"B2"   ,"nem"
"/st/snw/identity.mp3"     ,"identity"                       ,"B2"   ,"személyazonosság, kiléte vkinek"
"/st/snw/male.mp3"         ,"male"                           ,"B2"   ,"férfi; hím"
"/st/snw/resident.mp3"     ,"resident"                       ,"B2"   ,"lakos"
"/st/snw/widow.mp3"        ,"widow"                          ,"B2"   ,"özvegyasszony"
"/st/snw/native.mp3"       ,"native"                         ,"B2"   ,"született; szülő-"
"/st/snk/r43.mp3"          ,"American/Italian, etc. by birth","B2"   ,"amerikai/olasz/stb. születésű"
"/st/snw/lifetime.mp3"     ,"lifetime"                       ,"B2"   ,"élet, élethossz ; élettartam"
"/st/snw/childish.mp3"     ,"childish"                       ,"B2"   ,"gyerekes"
"/st/snw/junior.mp3"       ,"junior"                         ,"B2"   ,"ifjúsági ; fiatalabb vkinél"
"/st/snk/r9.mp3"           ,"(be) in your eighties"          ,"B2"   ,"a nyolcvanas éveiben van"
"/st/snk/r10.mp3"          ,"(be) in your fifties"           ,"B2"   ,"az ötvenes éveiben van"
"/st/snk/r11.mp3"          ,"(be) in your forties"           ,"B2"   ,"a negyvenes éveiben van"
"/st/snk/r12.mp3"          ,"(be) in your nineties"          ,"B2"   ,"a kilencvenes éveiben van"
"/st/snk/r13.mp3"          ,"(be) in your seventies"         ,"B2"   ,"a hetvenes éveiben van"
"/st/snk/r14.mp3"          ,"(be) in your sixties"           ,"B2"   ,"a hatvanas éveiben van"
"/st/snk/r15.mp3"          ,"(be) in your thirties"          ,"B2"   ,"a harmincas éveiben van"
"/st/snk/r16.mp3"          ,"(be) in your twenties"          ,"B2"   ,"huszonéves, a húszas éveiben van/jár"
"/st/snk/r2373.mp3"        ,"sb's youth"                     ,"B2"   ,"ifjúkor, fiatalkor"
"/st/snk/r2721.mp3"        ,"the elder"                      ,"B2"   ,"az idősebb"
"/st/snk/r2723.mp3"        ,"the eldest"                     ,"B2"   ,"a legidősebb"
"/st/snk/r2850.mp3"        ,"the young"                      ,"B2"   ,"a fiatalok"
"/st/snw/figure.mp3"       ,"figure"                         ,"B2"   ,"személyiség"
"/st/snw/figure.mp3"       ,"figure"                         ,"B2"   ,"alak, figura"
