"AUDIOFILE"                ,"FOREIGNWORD"                              ,"LEVEL","NATIVEWORD"
"/st/snw/billion.mp3"      ,"billion"                                  ,"B2"   ,"milliárd"
"/st/snw/third.mp3"        ,"third"                                    ,"B2"   ,"harmad"
"/st/snw/calculate.mp3"    ,"calculate"                                ,"B2"   ,"kiszámít; úgy számol"
"/st/snw/double.mp3"       ,"double"                                   ,"B2"   ,"megdupláz, kettővel megszoroz; megduplázódik"
"/st/snw/estimate_verb.mp3","estimate"                                 ,"B2"   ,"becsül, felbecsül"
"/st/snw/take.mp3"         ,"take"                                     ,"B2"   ,"elvesz, kivon"
"/st/snw/underestimate.mp3","underestimate"                            ,"B2"   ,"alábecsül vmit"
"/st/snw/accuracy.mp3"     ,"accuracy"                                 ,"B2"   ,"pontosság, szabatosság"
"/st/snw/addition.mp3"     ,"addition"                                 ,"B2"   ,"összeadás, hozzáadás"
"/st/snw/calculation.mp3"  ,"calculation"                              ,"B2"   ,"számítás, kiszámítás"
"/st/snw/estimate_noun.mp3","estimate"                                 ,"B2"   ,"becslés ; árajánlat, költségvetés"
"/st/snw/percentage.mp3"   ,"percentage"                               ,"B2"   ,"százalék, százalékarány"
"/st/snw/point.mp3"        ,"point"                                    ,"B2"   ,"tizedespont"
"/st/snw/range.mp3"        ,"range"                                    ,"B2"   ,"tartomány"
"/st/snw/rate.mp3"         ,"rate"                                     ,"B2"   ,"mérték; arány, arányszám"
"/st/snw/sample.mp3"       ,"sample"                                   ,"B2"   ,"minta"
"/st/snw/statistics.mp3"   ,"statistics"                               ,"B2"   ,"statisztika"
"/st/snw/approximate.mp3"  ,"approximate"                              ,"B2"   ,"körülbelüli"
"/st/snw/estimated.mp3"    ,"estimated"                                ,"B2"   ,"becsült"
"/st/snw/fixed.mp3"        ,"fixed"                                    ,"B2"   ,"rögzített, véglegesített"
"/st/snw/inaccurate.mp3"   ,"inaccurate"                               ,"B2"   ,"pontatlan, hibás"
"/st/snw/limited.mp3"      ,"limited"                                  ,"B2"   ,"korlátozott"
"/st/snw/unlimited.mp3"    ,"unlimited"                                ,"B2"   ,"korlátlan"
"/st/snw/precisely.mp3"    ,"precisely"                                ,"B2"   ,"pontosan; pont, pontban"
"/st/snw/roughly.mp3"      ,"roughly"                                  ,"B2"   ,"durván, hozzávetőleg"
"/st/snw/together.mp3"     ,"together"                                 ,"B2"   ,"együtt"
"/st/snw/times.mp3"        ,"times"                                    ,"B2"   ,"-szor, -szer, -ször, szorozva"
"/st/snw/to.mp3"           ,"to"                                       ,"B2"   ,"-ig"
"/st/snw/within.mp3"       ,"within"                                   ,"B2"   ,"belül"
"/st/snk/r2606.mp3"        ,"take away ↔ sth"                          ,"B2"   ,"elvesz, kivon"
"/st/snk/r3043.mp3"        ,"work out ↔ sth"                           ,"B2"   ,"kiszámol"
"/st/snk/r1515.mp3"        ,"in all"                                   ,"B2"   ,"összesen    vmettől vmeddig"
"/st/snk/r2034.mp3"        ,"on average"                               ,"B2"   ,"átlagosan    vmettől vmeddig"
"/st/snk/r2263.mp3"        ,"range from sth to sth/between sth and sth","B2"   ,"terjed/tartalmaz    vmettől vmeddig"
"/st/snk/r2489.mp3"        ,"somewhere around/between, etc."           ,"B2"   ,"valahol ..., körülbelül, úgy    vmettől vmeddig"
"/st/snw/limit.mp3"        ,"limit"                                    ,"B2"   ,"korlátoz"
"/st/snw/block.mp3"        ,"block"                                    ,"B2"   ,"tömb"
"/st/snw/centigrade.mp3"   ,"centigrade"                               ,"B2"   ,"Celsius fok"
"/st/snw/dose.mp3"         ,"dose"                                     ,"B2"   ,"adag, dózis"
"/st/snw/level.mp3"        ,"level"                                    ,"B2"   ,"szint"
"/st/snw/pint.mp3"         ,"pint"                                     ,"B2"   ,"pint"
"/st/snw/pound.mp3"        ,"pound"                                    ,"B2"   ,"font"
"/st/snw/ton.mp3"          ,"ton"                                      ,"B2"   ,"tonna"
"/st/snw/volume.mp3"       ,"volume"                                   ,"B2"   ,"mennyiség"
"/st/snw/single.mp3"       ,"single"                                   ,"B2"   ,"egyetlen"
"/st/snw/that.mp3"         ,"that"                                     ,"B2"   ,"olyan, annyira"
"/st/snw/one.mp3"          ,"one"                                      ,"B2"   ,"egy, egyetlen"
"/st/snw/one.mp3"          ,"one"                                      ,"B2"   ,"az egyetlen, egyedüli"
"/st/snw/at.mp3"           ,"at"                                       ,"B2"   ,"-on, -en, -ön"
"/st/snw/by.mp3"           ,"by"                                       ,"B2"   ,"-val, -vel, -ként"
"/st/snk/r150.mp3"         ,"a dose of sth"                            ,"B2"   ,"egy adag"
"/st/snk/r170.mp3"         ,"a handful of"                             ,"B2"   ,"egy maréknyi"
"/st/snk/r199.mp3"         ,"a pile of/piles of sth"                   ,"B2"   ,"rengeteg, irtó sok"
"/st/snw/lack.mp3"         ,"lack"                                     ,"B2"   ,"nincs neki , hiányt szenved vmiből"
"/st/snw/balance.mp3"      ,"balance"                                  ,"B2"   ,"egyensúly, kiegyensúlyozottság"
"/st/snw/majority.mp3"     ,"majority"                                 ,"B2"   ,"többség"
"/st/snw/minority.mp3"     ,"minority"                                 ,"B2"   ,"kisebbség"
"/st/snw/share.mp3"        ,"share"                                    ,"B2"   ,"rész vmiből"
"/st/snw/shortage.mp3"     ,"shortage"                                 ,"B2"   ,"hiány"
"/st/snw/least.mp3"        ,"least"                                    ,"B2"   ,"legkevesebb"
"/st/snw/mere.mp3"         ,"mere"                                     ,"B2"   ,"merő, puszta; mindössze"
"/st/snw/modest.mp3"       ,"modest"                                   ,"B2"   ,"szerény, kisebb ; visszafogott"
"/st/snw/partial.mp3"      ,"partial"                                  ,"B2"   ,"részleges"
"/st/snw/slight.mp3"       ,"slight"                                   ,"B2"   ,"csekély, enyhe"
"/st/snw/tight.mp3"        ,"tight"                                    ,"B2"   ,"szűkös"
"/st/snw/every.mp3"        ,"every"                                    ,"B2"   ,"minden"
"/st/snw/half.mp3"         ,"half"                                     ,"B2"   ,"fele, jelentős/jó része vminek"
"/st/snw/least.mp3"        ,"least"                                    ,"B2"   ,"legkevesebb"
