"AUDIOFILE"                ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/must.mp3"         ,"must"                               ,"B2"   ,"bizonyára, bizonyosan"
"/st/snw/ought_to.mp3"     ,"ought to"                           ,"B2"   ,"kellene"
"/st/snw/coincidence.mp3"  ,"coincidence"                        ,"B2"   ,"véletlen"
"/st/snw/fortune.mp3"      ,"fortune"                            ,"B2"   ,"szerencse; sors"
"/st/snw/luck.mp3"         ,"luck"                               ,"B2"   ,"szerencse"
"/st/snw/accidental.mp3"   ,"accidental"                         ,"B2"   ,"véletlen"
"/st/snw/doubtful.mp3"     ,"doubtful"                           ,"B2"   ,"kétséges, kérdéses"
"/st/snw/fortunate.mp3"    ,"fortunate"                          ,"B2"   ,"szerencsés"
"/st/snw/probable.mp3"     ,"probable"                           ,"B2"   ,"valószínű"
"/st/snw/unfortunate.mp3"  ,"unfortunate"                        ,"B2"   ,"szerencsétlen"
"/st/snw/accidentally.mp3" ,"accidentally"                       ,"B2"   ,"véletlenül"
"/st/snk/r944.mp3"         ,"could have"                         ,"B2"   ,"megtörténhetett/megtörténhet  vmi"
"/st/snk/r946.mp3"         ,"couldn't have"                      ,"B2"   ,"nem volt lehetséges/nem történhetett meg  vmi"
"/st/snw/expectation.mp3"  ,"expectation"                        ,"B2"   ,"várakozás; remény; elvárás"
"/st/snw/potential.mp3"    ,"potential"                          ,"B2"   ,"képesség, potenciál"
"/st/snw/prediction.mp3"   ,"prediction"                         ,"B2"   ,"előrejelzés; jóslat"
"/st/snw/prospect.mp3"     ,"prospect"                           ,"B2"   ,"remény, kilátás vmire"
"/st/snw/expected.mp3"     ,"expected"                           ,"B2"   ,"várt"
"/st/snw/predictable.mp3"  ,"predictable"                        ,"B2"   ,"megjósolható;  kiszámítható"
"/st/snw/unpredictable.mp3","unpredictable"                      ,"B2"   ,"kiszámíthatatlan; előre nem látható"
"/st/snw/naturally.mp3"    ,"naturally"                          ,"B2"   ,"természetesen, érthetően"
"/st/snw/unexpectedly.mp3" ,"unexpectedly"                       ,"B2"   ,"váratlanul"
"/st/snk/r948.mp3"         ,"count on sth"                       ,"B2"   ,"számít  vmire   vmilyen"
"/st/snk/r518.mp3"         ,"be heading for sth"                 ,"B2"   ,"halad felé  vmire   vmilyen"
"/st/snk/r1812.mp3"        ,"live up to sth"                     ,"B2"   ,"várakozásnak/elvárásnak megfelel  vmire   vmilyen"
"/st/snk/r2200.mp3"        ,"promise to be sth"                  ,"B2"   ,"ígérkezik  vminek  vkinek"
"/st/snk/r2368.mp3"        ,"sb's prospects"                     ,"B2"   ,"kilátásai/lehetőségei  vminek  vkinek"
"/st/snk/r2638.mp3"        ,"take sb/sth for granted"            ,"B2"   ,"természetesnek vesz  vminek  vkinek"
"/st/snk/r3068.mp3"        ,"you never know"                     ,"B2"   ,"sosem lehet tudni  vminek  vkinek"
"/st/snw/demand.mp3"       ,"demand"                             ,"B2"   ,"igényel, követel vmi vmit"
"/st/snw/enable.mp3"       ,"enable"                             ,"B2"   ,"képessé tesz vkit vmire; lehetővé tesz vmit"
"/st/snw/can_2.mp3"        ,"can"                                ,"B2"   ,"-hat, -het"
"/st/snw/capacity.mp3"     ,"capacity"                           ,"B2"   ,"képesség vmire"
"/st/snw/need.mp3"         ,"need"                               ,"B2"   ,"szükség"
"/st/snw/obligation.mp3"   ,"obligation"                         ,"B2"   ,"kötelezettség"
"/st/snw/requirement.mp3"  ,"requirement"                        ,"B2"   ,"igény; követelmény"
"/st/snw/compulsory.mp3"   ,"compulsory"                         ,"B2"   ,"kötelező"
"/st/snw/desperate.mp3"    ,"desperate"                          ,"B2"   ,"rettenetesen szüksége van/vágyik vmire"
"/st/snw/optional.mp3"     ,"optional"                           ,"B2"   ,"választható, fakultatív"
"/st/snw/potential.mp3"    ,"potential"                          ,"B2"   ,"lehetséges, potenciális"
"/st/snw/necessarily.mp3"  ,"necessarily"                        ,"B2"   ,"szükségszerűen"
"/st/snw/potentially.mp3"  ,"potentially"                        ,"B2"   ,"lehetségesen, potenciálisan"
"/st/snk/r533.mp3"         ,"be in need of sth"                  ,"B2"   ,"szüksége van  vmire  vmire vmit  vminek"
"/st/snk/r574.mp3"         ,"be obliged to do sth"               ,"B2"   ,"kötelezve van , köteles megtenni  vmire  vmire vmit  vminek"
"/st/snk/r621.mp3"         ,"be supposed to be sth"              ,"B2"   ,"meg kell történnie  vmire  vmire vmit  vminek"
"/st/snk/r622.mp3"         ,"be supposed to do sth"              ,"B2"   ,"kell tennie  vmire  vmire vmit  vminek"
"/st/snk/r826.mp3"         ,"capable of sth/doing sth"           ,"B2"   ,"képes megtenni  vmire  vmire vmit  vminek"
"/st/snk/r1299.mp3"        ,"get to do sth"                      ,"B2"   ,"lehetősége/alkalma van megtenni  vmire  vmire vmit  vminek"
"/st/snk/r1946.mp3"        ,"needs"                              ,"B2"   ,"szükséglet  vmire  vmire vmit  vminek"
"/st/snk/r1960.mp3"        ,"no need"                            ,"B2"   ,"nem kell ; nem szükséges  vmire  vmire vmit  vminek"
"/st/snk/r2400.mp3"        ,"seize a chance/opportunity"         ,"B2"   ,"megragadja az alkalmat/lehetőséget  vmire  vmire vmit  vminek"
"/st/snk/r2651.mp3"        ,"take the/this opportunity to do sth","B2"   ,"megragadja az alkalmat  vmire  vmire vmit  vminek"
