"AUDIOFILE"                 ,"FOREIGNWORD"   ,"LEVEL","NATIVEWORD"
"/st/snw/bark.mp3"          ,"bark"          ,"B2"   ,"ugat"
"/st/snw/breed.mp3"         ,"breed"         ,"B2"   ,"tenyészt ; szaporodik"
"/st/snw/animal.mp3"        ,"animal"        ,"B2"   ,"állat"
"/st/snw/breed.mp3"         ,"breed"         ,"B2"   ,"fajta"
"/st/snw/cell.mp3"          ,"cell"          ,"B2"   ,"sejt"
"/st/snw/collar.mp3"        ,"collar"        ,"B2"   ,"nyakörv"
"/st/snw/crocodile.mp3"     ,"crocodile"     ,"B2"   ,"krokodil"
"/st/snw/deer.mp3"          ,"deer"          ,"B2"   ,"szarvas"
"/st/snw/eagle.mp3"         ,"eagle"         ,"B2"   ,"sas"
"/st/snw/egg.mp3"           ,"egg"           ,"B2"   ,"tojás, madártojás, pete"
"/st/snw/evolution.mp3"     ,"evolution"     ,"B2"   ,"törzsfejlődés, evolúció"
"/st/snw/feather.mp3"       ,"feather"       ,"B2"   ,"toll, madártoll"
"/st/snw/fox.mp3"           ,"fox"           ,"B2"   ,"róka"
"/st/snw/leopard.mp3"       ,"leopard"       ,"B2"   ,"párduc, leopárd"
"/st/snw/master.mp3"        ,"master"        ,"B2"   ,"gazda"
"/st/snw/owl.mp3"           ,"owl"           ,"B2"   ,"bagoly"
"/st/snw/paw.mp3"           ,"paw"           ,"B2"   ,"mancs"
"/st/snw/polar_bear.mp3"    ,"polar bear"    ,"B2"   ,"jegesmedve"
"/st/snw/population.mp3"    ,"population"    ,"B2"   ,"populáció"
"/st/snw/seal.mp3"          ,"seal"          ,"B2"   ,"fóka"
"/st/snw/species.mp3"       ,"species"       ,"B2"   ,"faj"
"/st/snw/swan.mp3"          ,"swan"          ,"B2"   ,"hattyú"
"/st/snw/tail.mp3"          ,"tail"          ,"B2"   ,"farok"
"/st/snw/track.mp3"         ,"track"         ,"B2"   ,"nyom"
"/st/snw/trap.mp3"          ,"trap"          ,"B2"   ,"csapda, kelepce"
"/st/snw/wasp.mp3"          ,"wasp"          ,"B2"   ,"darázs"
"/st/snw/wolf.mp3"          ,"wolf"          ,"B2"   ,"farkas"
"/st/snw/worm.mp3"          ,"worm"          ,"B2"   ,"féreg; kukac, giliszta"
"/st/snw/zebra.mp3"         ,"zebra"         ,"B2"   ,"zebra"
"/st/snw/endangered.mp3"    ,"endangered"    ,"B2"   ,"kipusztulással fenyegetett, veszélyeztetett"
"/st/snw/poisonous.mp3"     ,"poisonous"     ,"B2"   ,"mérges-"
"/st/snw/on.mp3"            ,"on"            ,"B2"   ,"-on, -en, -ön, -val, -vel"
"/st/snk/r1005.mp3"         ,"die out"       ,"B2"   ,"kihal, kipusztul ; kihal, megszűnik"
"/st/snk/r1754.mp3"         ,"lay eggs"      ,"B2"   ,"tojást rak"
"/st/snw/climate_change.mp3","climate change","B2"   ,"klímaváltozás"
"/st/snw/frost.mp3"         ,"frost"         ,"B2"   ,"fagy; dér, zúzmara"
"/st/snw/global_warming.mp3","global warming","B2"   ,"globális felmelegedés"
"/st/snw/mist.mp3"          ,"mist"          ,"B2"   ,"köd, pára"
"/st/snw/rainbow.mp3"       ,"rainbow"       ,"B2"   ,"szivárvány"
"/st/snw/tornado.mp3"       ,"tornado"       ,"B2"   ,"forgószél, tornádó"
"/st/snw/warmth.mp3"        ,"warmth"        ,"B2"   ,"melegség"
"/st/snw/bitter.mp3"        ,"bitter"        ,"B2"   ,"kegyetlen hideg, metsző"
"/st/snw/boiling.mp3"       ,"boiling"       ,"B2"   ,"forró"
"/st/snw/fierce.mp3"        ,"fierce"        ,"B2"   ,"heves, vad"
"/st/snw/grey.mp3"          ,"grey"          ,"B2"   ,"szürke, borús"
"/st/snw/misty.mp3"         ,"misty"         ,"B2"   ,"ködös, párás"
"/st/snw/rough.mp3"         ,"rough"         ,"B2"   ,"durva, viharos"
