"AUDIOFILE"                  ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/approve.mp3"        ,"approve"                                   ,"B2"   ,"helyesel vmit"
"/st/snw/approval.mp3"       ,"approval"                                  ,"B2"   ,"helyeslés, tetszés"
"/st/snw/discipline.mp3"     ,"discipline"                                ,"B2"   ,"fegyelem; fegyelmezés"
"/st/snw/justice.mp3"        ,"justice"                                   ,"B2"   ,"igazság; méltányosság, jogosság"
"/st/snw/manner.mp3"         ,"manner"                                    ,"B2"   ,"modor, viselkedés"
"/st/snw/right.mp3"          ,"right"                                     ,"B2"   ,"a jó, a helyes"
"/st/snw/appropriate.mp3"    ,"appropriate"                               ,"B2"   ,"megfelelő, alkalmas"
"/st/snw/moral.mp3"          ,"moral"                                     ,"B2"   ,"erkölcsi"
"/st/snw/right.mp3"          ,"right"                                     ,"B2"   ,"helyes, becsületes"
"/st/snw/unfair.mp3"         ,"unfair"                                    ,"B2"   ,"igazságtalan, méltánytalan, tisztességtelen"
"/st/snw/fairly.mp3"         ,"fairly"                                    ,"B2"   ,"igazságosan, korrektül"
"/st/snw/morally.mp3"        ,"morally"                                   ,"B2"   ,"erkölcsileg; erkölcsösen"
"/st/snw/unfairly.mp3"       ,"unfairly"                                  ,"B2"   ,"igazságtalanul"
"/st/snw/of.mp3"             ,"of"                                        ,"B2"   ,"-tól, -től"
"/st/snk/r275.mp3"           ,"agree with sth"                            ,"B2"   ,"egyetért  vmivel"
"/st/snk/r1907.mp3"          ,"manners"                                   ,"B2"   ,"modor, elfogadott viselkedési mód/illemszabály"
"/st/snw/admire.mp3"         ,"admire"                                    ,"B2"   ,"csodál, nagyra becsül vmit/vkit"
"/st/snw/appreciate.mp3"     ,"appreciate"                                ,"B2"   ,"értékel, becsül, megbecsül"
"/st/snw/copy.mp3"           ,"copy"                                      ,"B2"   ,"utánoz vkit"
"/st/snw/respect.mp3"        ,"respect"                                   ,"B2"   ,"tisztel, tiszteletben tart"
"/st/snw/think.mp3"          ,"think"                                     ,"B2"   ,"gondol vkire, tekintetbe vesz vkit"
"/st/snw/admiration.mp3"     ,"admiration"                                ,"B2"   ,"csodálat vki/vmi iránt"
"/st/snw/appreciation.mp3"   ,"appreciation"                              ,"B2"   ,"méltánylás, nagyrabecsülés, elismerés"
"/st/snw/courtesy.mp3"       ,"courtesy"                                  ,"B2"   ,"udvariasság, előzékenység"
"/st/snw/example.mp3"        ,"example"                                   ,"B2"   ,"példa vki számára"
"/st/snw/generosity.mp3"     ,"generosity"                                ,"B2"   ,"nagylelkűség, bőkezűség"
"/st/snw/honour.mp3"         ,"honour"                                    ,"B2"   ,"megtiszteltetés"
"/st/snw/politeness.mp3"     ,"politeness"                                ,"B2"   ,"udvariasság"
"/st/snw/decent.mp3"         ,"decent"                                    ,"B2"   ,"tisztességes, rendes ; az illemszabályoknak megfelelő"
"/st/snw/respectable.mp3"    ,"respectable"                               ,"B2"   ,"tiszteletre méltó, tisztességes"
"/st/snw/respected.mp3"      ,"respected"                                 ,"B2"   ,"tisztelt, megbecsült"
"/st/snw/sensitive.mp3"      ,"sensitive"                                 ,"B2"   ,"érzékeny, kényes"
"/st/snw/thoughtful.mp3"     ,"thoughtful"                                ,"B2"   ,"figyelmes, előzékeny"
"/st/snk/r1840.mp3"          ,"look up to sb"                             ,"B2"   ,"felnéz  vkire"
"/st/snk/r1550.mp3"          ,"in honour of sb/sth"                       ,"B2"   ,"tiszteletére  vkinek/vminek"
"/st/snk/r2412.mp3"          ,"set an example"                            ,"B2"   ,"példát mutat  vkinek/vminek"
"/st/snw/insult_verb.mp3"    ,"insult"                                    ,"B2"   ,"megsért, sérteget"
"/st/snw/offend.mp3"         ,"offend"                                    ,"B2"   ,"megbánt, megsért"
"/st/snw/swear.mp3"          ,"swear"                                     ,"B2"   ,"káromkodik"
"/st/snw/dishonesty.mp3"     ,"dishonesty"                                ,"B2"   ,"tisztességtelenség, becstelenség"
"/st/snw/insult_noun.mp3"    ,"insult"                                    ,"B2"   ,"sértés; gorombaság"
"/st/snw/offence.mp3"        ,"offence"                                   ,"B2"   ,"sértés, megbántás"
"/st/snw/scandal.mp3"        ,"scandal"                                   ,"B2"   ,"botrány, felháborító dolog"
"/st/snw/cheeky.mp3"         ,"cheeky"                                    ,"B2"   ,"szemtelen"
"/st/snw/dishonest.mp3"      ,"dishonest"                                 ,"B2"   ,"nem becsületes, tisztességtelen"
"/st/snw/immoral.mp3"        ,"immoral"                                   ,"B2"   ,"erkölcstelen"
"/st/snw/impolite.mp3"       ,"impolite"                                  ,"B2"   ,"udvariatlan"
"/st/snw/naughty.mp3"        ,"naughty"                                   ,"B2"   ,"rossz, haszontalan, engedetlen"
"/st/snw/offensive.mp3"      ,"offensive"                                 ,"B2"   ,"bántó, sértő"
"/st/snw/rude.mp3"           ,"rude"                                      ,"B2"   ,"durva, illetlen"
"/st/snw/wrong.mp3"          ,"wrong"                                     ,"B2"   ,"rossz, helytelen"
"/st/snw/wildly.mp3"         ,"wildly"                                    ,"B2"   ,"vadul, szertelenül"
"/st/snw/resist.mp3"         ,"resist"                                    ,"B2"   ,"ellenáll"
"/st/snw/patience.mp3"       ,"patience"                                  ,"B2"   ,"türelem"
"/st/snw/impatient.mp3"      ,"impatient"                                 ,"B2"   ,"türelmetlen"
"/st/snw/impatient.mp3"      ,"impatient"                                 ,"B2"   ,"alig várja"
"/st/snw/impatiently.mp3"    ,"impatiently"                               ,"B2"   ,"türelmetlenül"
"/st/snw/patiently.mp3"      ,"patiently"                                 ,"B2"   ,"türelmesen"
"/st/snk/r658.mp3"           ,"be/get carried away"                       ,"B2"   ,"elragadtatja magát"
"/st/snk/r1855.mp3"          ,"lose your temper"                          ,"B2"   ,"kijön a sodrából"
"/st/snk/r2549.mp3"          ,"steady/strong nerves"                      ,"B2"   ,"kemény/erős idegek"
"/st/snw/criticize.mp3"      ,"criticize"                                 ,"B2"   ,"bírál, kritizál"
"/st/snw/deny.mp3"           ,"deny"                                      ,"B2"   ,"tagad vmit"
"/st/snw/disapprove.mp3"     ,"disapprove"                                ,"B2"   ,"rosszall, helytelenít"
"/st/snw/excuse_verb.mp3"    ,"excuse"                                    ,"B2"   ,"mentesít vkit vmi alól; magyarázkodik, mentegetőzik"
"/st/snw/blame.mp3"          ,"blame"                                     ,"B2"   ,"felelősség"
"/st/snw/criticism.mp3"      ,"criticism"                                 ,"B2"   ,"bírálat, kritika"
"/st/snw/disgrace.mp3"       ,"disgrace"                                  ,"B2"   ,"szégyen"
"/st/snw/guilt.mp3"          ,"guilt"                                     ,"B2"   ,"bűntudat"
"/st/snw/regret.mp3"         ,"regret"                                    ,"B2"   ,"megbánás; sajnálat"
"/st/snw/critical.mp3"       ,"critical"                                  ,"B2"   ,"kritizáló, kritikus/bíráló hangvételű"
"/st/snk/r2672.mp3"          ,"tell off ↔ sb"                             ,"B2"   ,"megszid  vkit"
"/st/snk/r260.mp3"           ,"accept responsibility/blame"               ,"B2"   ,"felelősséget/vétkességet elfogad/elismer   vmiért  vki  vmiért   vkinek  vmiért"
"/st/snk/r380.mp3"           ,"at fault"                                  ,"B2"   ,"hibás   vmiért  vki  vmiért   vkinek  vmiért"
"/st/snk/r459.mp3"           ,"be ashamed of sb"                          ,"B2"   ,"szégyenkezik miatt   vmiért  vki  vmiért   vkinek  vmiért"
"/st/snk/r604.mp3"           ,"be responsible for sth/doing sth"          ,"B2"   ,"felelős   vmiért  vki  vmiért   vkinek  vmiért"
"/st/snk/r1673.mp3"          ,"justify yourself"                          ,"B2"   ,"igazolja magát   vmiért  vki  vmiért   vkinek  vmiért"
"/st/snk/r2128.mp3"          ,"owe sb an apology/explanation/favour, etc.","B2"   ,"tartozik egy bocsánatkéréssel/magyarázattal/szívességgel/stb.   vmiért  vki  vmiért   vkinek  vmiért"
"/st/snk/r2657.mp3"          ,"take/accept/claim responsibility for sth"  ,"B2"   ,"vállalja a felelősséget   vmiért  vki  vmiért   vkinek  vmiért"
"/st/snw/honesty.mp3"        ,"honesty"                                   ,"B2"   ,"becsületesség; őszinteség"
"/st/snw/honour.mp3"         ,"honour"                                    ,"B2"   ,"becsület, tisztelet"
"/st/snw/loyalty.mp3"        ,"loyalty"                                   ,"B2"   ,"hűség, lojalitás"
"/st/snw/reputation.mp3"     ,"reputation"                                ,"B2"   ,"hírnév, jó híre/hírneve vkinek"
"/st/snw/faithful.mp3"       ,"faithful"                                  ,"B2"   ,"hűséges"
"/st/snw/loyal.mp3"          ,"loyal"                                     ,"B2"   ,"hűséges, lojális"
"/st/snw/straight.mp3"       ,"straight"                                  ,"B2"   ,"egyenes, tisztességes"
"/st/snw/directly.mp3"       ,"directly"                                  ,"B2"   ,"egyenesen, nyíltan"
"/st/snw/frankly.mp3"        ,"frankly"                                   ,"B2"   ,"őszintén"
"/st/snw/honestly.mp3"       ,"honestly"                                  ,"B2"   ,"becsületesen"
"/st/snw/betray.mp3"         ,"betray"                                    ,"B2"   ,"elárul vkit/vmit; cserbenhagy"
"/st/snw/cheat.mp3"          ,"cheat"                                     ,"B2"   ,"csal; becsap vkit"
"/st/snw/deceive.mp3"        ,"deceive"                                   ,"B2"   ,"becsap vkit, elhitet vmit vkivel; ámítja magát"
"/st/snw/disguise.mp3"       ,"disguise"                                  ,"B2"   ,"álcáz"
"/st/snw/fool.mp3"           ,"fool"                                      ,"B2"   ,"becsap, bolondít"
"/st/snw/invent.mp3"         ,"invent"                                    ,"B2"   ,"kitalál"
"/st/snw/pretend.mp3"        ,"pretend"                                   ,"B2"   ,"színlel vmit, úgy tesz, mintha vmit csinálna; azt játssza"
"/st/snw/trick.mp3"          ,"trick"                                     ,"B2"   ,"beugrat, becsap"
"/st/snw/disguise.mp3"       ,"disguise"                                  ,"B2"   ,"álruha"
"/st/snw/liar.mp3"           ,"liar"                                      ,"B2"   ,"hazug"
"/st/snw/mask.mp3"           ,"mask"                                      ,"B2"   ,"álarc, maszk"
