"AUDIOFILE"                  ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/suit.mp3"           ,"suit"                                      ,"B2"   ,"megfelel vkinek"
"/st/snw/rubbish.mp3"        ,"rubbish"                                   ,"B2"   ,"szemét, vacak"
"/st/snw/adequate.mp3"       ,"adequate"                                  ,"B2"   ,"elfogadható"
"/st/snw/decent.mp3"         ,"decent"                                    ,"B2"   ,"megfelelő, rendes"
"/st/snw/dreadful.mp3"       ,"dreadful"                                  ,"B2"   ,"szörnyű"
"/st/snw/low.mp3"            ,"low"                                       ,"B2"   ,"alacsony, rossz"
"/st/snw/miserable.mp3"      ,"miserable"                                 ,"B2"   ,"rémes, elkeserítő"
"/st/snw/poor.mp3"           ,"poor"                                      ,"B2"   ,"silány, gyenge, gyatra, rossz"
"/st/snw/satisfactory.mp3"   ,"satisfactory"                              ,"B2"   ,"kielégítő, megfelelő"
"/st/snw/unacceptable.mp3"   ,"unacceptable"                              ,"B2"   ,"elfogadhatatlan"
"/st/snw/unattractive.mp3"   ,"unattractive"                              ,"B2"   ,"csúnya"
"/st/snw/unfit.mp3"          ,"unfit"                                     ,"B2"   ,"alkalmatlan"
"/st/snw/unsatisfactory.mp3" ,"unsatisfactory"                            ,"B2"   ,"nem kielégítő, nem megfelelő"
"/st/snw/unsuitable.mp3"     ,"unsuitable"                                ,"B2"   ,"alkalmatlan, nem megfelelő"
"/st/snw/adequately.mp3"     ,"adequately"                                ,"B2"   ,"kielégítően"
"/st/snw/appropriately.mp3"  ,"appropriately"                             ,"B2"   ,"megfelelően; találóan"
"/st/snw/suitably.mp3"       ,"suitably"                                  ,"B2"   ,"megfelelően"
"/st/snw/terribly.mp3"       ,"terribly"                                  ,"B2"   ,"szörnyen, borzalmasan, iszonyatosan"
"/st/snk/r2833.mp3"          ,"the trouble with sb/sth"                   ,"B2"   ,"gond, baj, probléma  vkivel/vmivel"
"/st/snw/impress.mp3"        ,"impress"                                   ,"B2"   ,"jó benyomást kelt"
"/st/snw/prove.mp3"          ,"prove"                                     ,"B2"   ,"bizonyul vmilyennek"
"/st/snw/aspect.mp3"         ,"aspect"                                    ,"B2"   ,"vonása vminek; vmilyen oldala vminek"
"/st/snw/category.mp3"       ,"category"                                  ,"B2"   ,"kategória"
"/st/snw/character.mp3"      ,"character"                                 ,"B2"   ,"jelleg"
"/st/snw/characteristic.mp3" ,"characteristic"                            ,"B2"   ,"jellegzetesség"
"/st/snw/feature.mp3"        ,"feature"                                   ,"B2"   ,"jellegzetesség, sajátosság"
"/st/snw/form.mp3"           ,"form"                                      ,"B2"   ,"forma, fajta; változat"
"/st/snw/image.mp3"          ,"image"                                     ,"B2"   ,"vkiről/vmiről kialakított kép, imázs"
"/st/snw/impression.mp3"     ,"impression"                                ,"B2"   ,"benyomás"
"/st/snw/impression.mp3"     ,"impression"                                ,"B2"   ,"benyomás, hatás"
"/st/snw/standard.mp3"       ,"standard"                                  ,"B2"   ,"színvonal, minőség; mérték, mérce"
"/st/snw/typically.mp3"      ,"typically"                                 ,"B2"   ,"jellegzetesen; rá jellemzően"
"/st/snk/r2949.mp3"          ,"turn out"                                  ,"B2"   ,"bizonyul ; lesz  vmilyennek vmilyen"
"/st/snk/r140.mp3"           ,"a certain"                                 ,"B2"   ,"valamiféle; valamennyi   vmit"
"/st/snk/r1143.mp3"          ,"feel different/strange, etc."              ,"B2"   ,"különbözőnek/furcsának/stb. érez   vmit"
"/st/snk/r1732.mp3"          ,"kind of"                                   ,"B2"   ,"-féle   vmit"
"/st/snw/heaven.mp3"         ,"heaven"                                    ,"B2"   ,"mennyország"
