"AUDIOFILE"              ,"FOREIGNWORD"                         ,"LEVEL","NATIVEWORD"
"/st/snw/determine.mp3"  ,"determine"                           ,"C1"   ,"megállapít"
"/st/snw/soak.mp3"       ,"soak"                                ,"C1"   ,"átáztat; átázik"
"/st/snw/brass.mp3"      ,"brass"                               ,"C1"   ,"sárgaréz"
"/st/snw/break.mp3"      ,"break"                               ,"C1"   ,"törés"
"/st/snw/bubble.mp3"     ,"bubble"                              ,"C1"   ,"buborék"
"/st/snw/coal.mp3"       ,"coal"                                ,"C1"   ,"szén, kőszén"
"/st/snw/component.mp3"  ,"component"                           ,"C1"   ,"alkotóelem, összetevő; vonás, jellegzetesség"
"/st/snw/draught.mp3"    ,"draught"                             ,"C1"   ,"huzat, léghuzat"
"/st/snw/fibre.mp3"      ,"fibre"                               ,"C1"   ,"rost; rostszál; rostanyag"
"/st/snw/flow.mp3"       ,"flow"                                ,"C1"   ,"folyás, ömlés; áramlás"
"/st/snw/ozone.mp3"      ,"ozone"                               ,"C1"   ,"ózon"
"/st/snw/pressure.mp3"   ,"pressure"                            ,"C1"   ,"nyomás"
"/st/snw/purity.mp3"     ,"purity"                              ,"C1"   ,"tisztaság"
"/st/snw/texture.mp3"    ,"texture"                             ,"C1"   ,"tapintás, tapintása vminek ; állag, az állaga vminek"
"/st/snw/harsh.mp3"      ,"harsh"                               ,"C1"   ,"kemény, bántó, éles"
"/st/snw/magnetic.mp3"   ,"magnetic"                            ,"C1"   ,"mágneses, mágnes-"
"/st/snw/solid.mp3"      ,"solid"                               ,"C1"   ,"szilárd"
"/st/snw/naturally.mp3"  ,"naturally"                           ,"C1"   ,"természetesen"
"/st/snk/r965.mp3"       ,"crystal clear"                       ,"C1"   ,"kristálytiszta    vmiből  vmilyen"
"/st/snk/r1222.mp3"      ,"free from/of sth"                    ,"C1"   ,"mentes    vmiből  vmilyen"
"/st/snk/r1462.mp3"      ,"high in sth"                         ,"C1"   ,"sokat tartalmazó    vmiből  vmilyen"
"/st/snk/r1606.mp3"      ,"in the form of sth"                  ,"C1"   ,"formában, változatban    vmiből  vmilyen"
"/st/snk/r2484.mp3"      ,"solid gold/silver/wood, etc."        ,"C1"   ,"színarany/színezüst/tömör fa stb., egyetlen anyagból készült    vmiből  vmilyen"
"/st/snw/crowd.mp3"      ,"crowd"                               ,"C1"   ,"megtölt, eláraszt"
"/st/snw/enclose.mp3"    ,"enclose"                             ,"C1"   ,"bezár; bekerít"
"/st/snw/exclude.mp3"    ,"exclude"                             ,"C1"   ,"kizár, kirekeszt"
"/st/snw/invade.mp3"     ,"invade"                              ,"C1"   ,"eláraszt, megszáll"
"/st/snw/measure.mp3"    ,"measure"                             ,"C1"   ,"vmilyen méretű"
"/st/snw/narrow.mp3"     ,"narrow"                              ,"C1"   ,"keskenyedik, elkeskenyedik; keskenyít, összehúz"
"/st/snw/shine.mp3"      ,"shine"                               ,"C1"   ,"csillog, ragyog"
"/st/snw/shorten.mp3"    ,"shorten"                             ,"C1"   ,"rövidít, megrövidít; rövidül, megrövidül"
"/st/snw/angle.mp3"      ,"angle"                               ,"C1"   ,"szög"
"/st/snw/bump.mp3"       ,"bump"                                ,"C1"   ,"egyenetlenség, hepehupa"
"/st/snw/density.mp3"    ,"density"                             ,"C1"   ,"sűrűség ; sűrűség, fajsúly"
"/st/snw/drop.mp3"       ,"drop"                                ,"C1"   ,"esési mélység"
"/st/snw/emission.mp3"   ,"emission"                            ,"C1"   ,"kibocsátás, kiáramlás"
"/st/snw/exposure.mp3"   ,"exposure"                            ,"C1"   ,"kitettség"
"/st/snw/pyramid.mp3"    ,"pyramid"                             ,"C1"   ,"gúla; piramis"
"/st/snw/radiation.mp3"  ,"radiation"                           ,"C1"   ,"sugárzás; sugárzás"
"/st/snw/rectangle.mp3"  ,"rectangle"                           ,"C1"   ,"téglalap"
"/st/snw/strip.mp3"      ,"strip"                               ,"C1"   ,"csík, szalag"
"/st/snw/bulky.mp3"      ,"bulky"                               ,"C1"   ,"vaskos, ormótlan"
"/st/snw/clear.mp3"      ,"clear"                               ,"C1"   ,"szabad, akadálytalan"
"/st/snw/dull.mp3"       ,"dull"                                ,"C1"   ,"tompa ; borús"
"/st/snw/fake.mp3"       ,"fake"                                ,"C1"   ,"hamis"
"/st/snw/neutral.mp3"    ,"neutral"                             ,"C1"   ,"semleges"
"/st/snw/obsolete.mp3"   ,"obsolete"                            ,"C1"   ,"elavult"
"/st/snw/overcrowded.mp3","overcrowded"                         ,"C1"   ,"túlzsúfolt"
"/st/snw/spacious.mp3"   ,"spacious"                            ,"C1"   ,"tágas"
"/st/snk/r882.mp3"       ,"close off ↔ sth"                     ,"C1"   ,"elzár, lezár  vmit"
"/st/snk/r1475.mp3"      ,"hold sb/sth back"                    ,"C1"   ,"visszatart/feltartóztat  vmit"
"/st/snk/r383.mp3"       ,"at hand"                             ,"C1"   ,"kéznél    vmi vhol/vmire"
"/st/snk/r7.mp3"         ,"(be) concentrated around/in/on, etc.","C1"   ,"koncentrálódik köré//stb.    vmi vhol/vmire"
"/st/snk/r693.mp3"       ,"behind the times"                    ,"C1"   ,"elavult, maradi    vmi vhol/vmire"
