"AUDIOFILE"               ,"FOREIGNWORD"              ,"LEVEL","NATIVEWORD"
"/st/snw/acknowledge.mp3" ,"acknowledge"              ,"C1"   ,"nyugtáz, visszaigazol"
"/st/snw/borrow.mp3"      ,"borrow"                   ,"C1"   ,"kölcsönt vesz fel"
"/st/snw/cater.mp3"       ,"cater"                    ,"C1"   ,"gondoskodik az étkeztetésről"
"/st/snw/cover.mp3"       ,"cover"                    ,"C1"   ,"biztosít,  biztosítást nyújt vmi ellen"
"/st/snw/cover.mp3"       ,"cover"                    ,"C1"   ,"fedez"
"/st/snw/deposit.mp3"     ,"deposit"                  ,"C1"   ,"pénzt bankba tesz;  letétbe helyez"
"/st/snw/price.mp3"       ,"price"                    ,"C1"   ,"áraz, beáraz, árat megállapít"
"/st/snw/refund_verb.mp3" ,"refund"                   ,"C1"   ,"visszatérít"
"/st/snw/stock.mp3"       ,"stock"                    ,"C1"   ,"raktáron tart"
"/st/snw/withdraw.mp3"    ,"withdraw"                 ,"C1"   ,"kivesz/felvesz"
"/st/snw/cover.mp3"       ,"cover"                    ,"C1"   ,"biztosítás vmi ellen"
"/st/snw/deposit.mp3"     ,"deposit"                  ,"C1"   ,"betét, bankbetét"
"/st/snw/deposit.mp3"     ,"deposit"                  ,"C1"   ,"kaució, letét, bánatpénz"
"/st/snw/interest.mp3"    ,"interest"                 ,"C1"   ,"kamat, kamatteher"
"/st/snw/interest.mp3"    ,"interest"                 ,"C1"   ,"kamat"
"/st/snw/joint.mp3"       ,"joint"                    ,"C1"   ,"hely"
"/st/snw/luxury.mp3"      ,"luxury"                   ,"C1"   ,"luxuscikk"
"/st/snw/overdraft.mp3"   ,"overdraft"                ,"C1"   ,"hiteltúllépés, banki folyószámlahitel"
"/st/snw/policy.mp3"      ,"policy"                   ,"C1"   ,"biztosítás, biztosítási kötvény"
"/st/snw/provider.mp3"    ,"provider"                 ,"C1"   ,"ellátó ; eltartó"
"/st/snw/retail.mp3"      ,"retail"                   ,"C1"   ,"kiskereskedelem"
"/st/snw/rip-off.mp3"     ,"rip-off"                  ,"C1"   ,"kész rablás, hihetetlen drága dolog"
"/st/snw/saving.mp3"      ,"saving"                   ,"C1"   ,"megtakarítás"
"/st/snw/stand.mp3"       ,"stand"                    ,"C1"   ,"stand, pult"
"/st/snw/vacancy.mp3"     ,"vacancy"                  ,"C1"   ,"szabad/kiadó szoba"
"/st/snw/affordable.mp3"  ,"affordable"               ,"C1"   ,"megfizethető"
"/st/snw/overdrawn.mp3"   ,"overdrawn"                ,"C1"   ,"hiteltúllépés"
"/st/snw/payable.mp3"     ,"payable"                  ,"C1"   ,"fizetendő"
"/st/snw/payable.mp3"     ,"payable"                  ,"C1"   ,"kifizethető"
"/st/snw/postal.mp3"      ,"postal"                   ,"C1"   ,"postai, posta-"
"/st/snw/unaffordable.mp3","unaffordable"             ,"C1"   ,"megfizethetetlen"
"/st/snw/unpaid.mp3"      ,"unpaid"                   ,"C1"   ,"kifizetetlen"
"/st/snk/r166.mp3"        ,"a good deal"              ,"C1"   ,"jó üzlet"
"/st/snk/r1525.mp3"       ,"in bulk"                  ,"C1"   ,"nagyban, nagy tételben"
"/st/snk/r1533.mp3"       ,"in demand"                ,"C1"   ,"kapós"
"/st/snk/r2046.mp3"       ,"on loan"                  ,"C1"   ,"kölcsönzött, kikölcsönzött"
"/st/snk/r2706.mp3"       ,"the cleaner's"            ,"C1"   ,"vegytisztító"
"/st/snk/r2957.mp3"       ,"two-star/three-star, etc.","C1"   ,"kétcsillagos/háromcsillagos/stb."
