"AUDIOFILE"                ,"FOREIGNWORD"                      ,"LEVEL","NATIVEWORD"
"/st/snw/call.mp3"         ,"call"                             ,"C1"   ,"hív vkit vhová, odahív"
"/st/snw/mingle.mp3"       ,"mingle"                           ,"C1"   ,"elvegyül"
"/st/snw/acquaintance.mp3" ,"acquaintance"                     ,"C1"   ,"ismerős"
"/st/snw/call.mp3"         ,"call"                             ,"C1"   ,"rövid látogatás"
"/st/snw/extrovert.mp3"    ,"extrovert"                        ,"C1"   ,"extrovertált, kifelé forduló ember"
"/st/snw/gathering.mp3"    ,"gathering"                        ,"C1"   ,"összejövetel"
"/st/snw/hospitality.mp3"  ,"hospitality"                      ,"C1"   ,"vendégszeretet"
"/st/snw/loneliness.mp3"   ,"loneliness"                       ,"C1"   ,"magány, magányosság; elhagyatottság"
"/st/snw/network.mp3"      ,"network"                          ,"C1"   ,"hálózat"
"/st/snw/networking.mp3"   ,"networking"                       ,"C1"   ,"hálózatépítés"
"/st/snw/peer.mp3"         ,"peer"                             ,"C1"   ,"egyenlő, egyen korú/képességű/-rangú/stb. ember"
"/st/snw/anti-social.mp3"  ,"anti-social"                      ,"C1"   ,"társaságkerülő, zárkózott"
"/st/snw/distant.mp3"      ,"distant"                          ,"C1"   ,"távolságtartó, kimért"
"/st/snw/hospitable.mp3"   ,"hospitable"                       ,"C1"   ,"vendégszerető"
"/st/snw/isolated.mp3"     ,"isolated"                         ,"C1"   ,"elszigetelt, magányos"
"/st/snw/outgoing.mp3"     ,"outgoing"                         ,"C1"   ,"közvetlen, barátságos, társaságkedvelő"
"/st/snw/alongside.mp3"    ,"alongside"                        ,"C1"   ,"együtt vkivel/vmivel"
"/st/snk/r765.mp3"         ,"bump into sb"                     ,"C1"   ,"véletlenül összefut  vkivel"
"/st/snk/r1176.mp3"        ,"fit in"                           ,"C1"   ,"beilleszkedik  vkivel"
"/st/snk/r1834.mp3"        ,"look on/upon sb/sth as sth"       ,"C1"   ,"tekint  vkivel"
"/st/snk/r1419.mp3"        ,"have a high/low opinion of sb/sth","C1"   ,"jó/rossz véleménnyel van  vmiről/vkiről"
"/st/snk/r1904.mp3"        ,"make yourself at home"            ,"C1"   ,"kényelembe helyezi magát, otthon érzi magát  vmiről/vkiről"
"/st/snw/bully.mp3"        ,"bully"                            ,"C1"   ,"megfélemlít, terrorizál"
"/st/snw/rear.mp3"         ,"rear"                             ,"C1"   ,"nevel, felnevel"
"/st/snw/spoil.mp3"        ,"spoil"                            ,"C1"   ,"elkényeztet, elront, félrenevel ; kényeztet vkit"
"/st/snw/underestimate.mp3","underestimate"                    ,"C1"   ,"alábecsül, lebecsül vkit"
"/st/snw/bully.mp3"        ,"bully"                            ,"C1"   ,"erőszakoskodó és kötekedő személy"
"/st/snw/closeness.mp3"    ,"closeness"                        ,"C1"   ,"közelség, bensőség"
"/st/snw/daycare.mp3"      ,"daycare"                          ,"C1"   ,"napközi ellátás; napköziotthon"
"/st/snw/friction.mp3"     ,"friction"                         ,"C1"   ,"súrlódás"
"/st/snw/home.mp3"         ,"home"                             ,"C1"   ,"otthon, menhely"
"/st/snw/origin.mp3"       ,"origin"                           ,"C1"   ,"származás"
"/st/snw/pregnancy.mp3"    ,"pregnancy"                        ,"C1"   ,"terhesség"
"/st/snw/protective.mp3"   ,"protective"                       ,"C1"   ,"óvó, védelmező"
"/st/snw/stormy.mp3"       ,"stormy"                           ,"C1"   ,"viharos"
"/st/snk/r849.mp3"         ,"cater for sb/sth"                 ,"C1"   ,"ellát , gondoskodik  vkit vkiről  vkit vhonnan  vkit/vmit  vkivel/vmivel"
"/st/snk/r1729.mp3"        ,"kick sb out"                      ,"C1"   ,"kirúg  vkit vkiről  vkit vhonnan  vkit/vmit  vkivel/vmivel"
"/st/snk/r2335.mp3"        ,"run down ↔ sb/sth"                ,"C1"   ,"ócsárol  vkit vkiről  vkit vhonnan  vkit/vmit  vkivel/vmivel"
"/st/snk/r2533.mp3"        ,"stand up to sb/sth"               ,"C1"   ,"megvédi magát szemben  vkit vkiről  vkit vhonnan  vkit/vmit  vkivel/vmivel"
"/st/snk/r414.mp3"         ,"attached to sb/sth"               ,"C1"   ,"ragaszkodik  vkihez/vmihez  vmit"
"/st/snk/r516.mp3"         ,"be good company"                  ,"C1"   ,"jó társalgó/szórakoztató ember  vkihez/vmihez  vmit"
"/st/snk/r1282.mp3"        ,"get rid of sb"                    ,"C1"   ,"megszabadul  vkihez/vmihez  vmit"
"/st/snk/r1441.mp3"        ,"have sth against sb/sth"          ,"C1"   ,"kifogása van ellen  vkihez/vmihez  vmit"
"/st/snk/r2644.mp3"        ,"take sth personally"              ,"C1"   ,"magára vesz , sértésnek vesz  vkihez/vmihez  vmit"
"/st/snk/r2788.mp3"        ,"the opposite sex"                 ,"C1"   ,"a másik nem  vkihez/vmihez  vmit"
